时间,今值,预测值
2017年9月22日 (九月)15:00, , 
2017年9月5日 (八月)15:50,54.9,55.5
2017年8月23日 (八月)15:00  ,55.5,55.8
2017年8月3日 (七月)15:50,56.0,55.9
2017年7月24日 (七月)15:00  ,55.9,56.7
2017年7月5日 (六月)15:50,56.9,55.3
2017年6月23日 (六月)15:00  ,55.3,57.0
2017年6月5日 (五月)15:50,57.2,58.0
2017年5月23日 (五月)15:00  ,58.0,56.5
2017年5月4日 (四月)15:50,56.7,57.7
2017年4月21日 (四月)15:00  ,57.7,57.1
2017年4月5日 (三月)15:50,57.5,58.5
2017年3月24日 (三月)16:00  ,58.5,56.1
2017年3月3日 (二月)16:50,56.4,56.7
2017年2月21日 (二月)16:00  ,56.7,53.8
2017年2月3日 (一月)16:50,54.1,53.9
2017年1月24日 (一月)16:00  ,53.9,53.2
2017年1月4日 (十二月)16:50,52.9,52.6
2016年12月15日 (十二月)16:00  ,52.6,52.0
2016年12月5日 (十一月)16:50,51.6,52.6
2016年11月23日 (十一月)16:00  ,52.6,51.9
2016年11月4日 (十月)16:50,51.4,52.1
2016年10月24日 (十月)15:00  ,52.1,53.0
2016年10月5日 (九月)15:50,53.3,54.1
2016年9月23日 (九月)15:00  ,54.1,52.0
2016年9月5日 (八月)15:50,52.3,52.0
2016年8月23日 (八月)15:00  ,52.0,50.5
2016年8月3日 (七月)15:50,50.5,50.3
2016年7月22日 (七月)15:00  ,50.3,49.5
2016年7月5日 (六月)15:50,49.9,49.9
2016年6月23日 (六月)15:00  ,49.9,51.7
2016年6月3日 (五月)15:50,51.6,51.8
2016年5月23日 (五月)15:00  ,51.8,50.6
2016年5月4日 (四月)15:50,50.6,50.8
2016年4月22日 (四月)15:00  ,50.8,50.2
2016年4月5日 (三月)15:50,49.9,51.2
2016年3月22日 (三月)16:00  ,51.2,49.5
2016年3月3日 (二月)16:50,49.2,49.8
2016年2月22日 (二月)16:00  ,49.8,50.3
2016年2月3日 (一月)16:50,50.3,50.6
2016年1月22日 (一月)16:00  ,50.6,50.2
2016年1月6日 (十二月)16:50,49.8,50.0
2015年12月16日 (十二月)16:00  ,50.0,50.8
2015年12月3日 (十一月)16:50,51.0,51.3
