时间,今值,预测值
2017年9月14日 (八月)14:45, ,1.0%
2017年8月31日 (八月)14:45  ,1.0%, 
2017年8月11日 (七月)14:45,0.8%,0.8%
2017年7月28日14:45  ,0.8%, 
2017年7月13日 (六月)14:45,0.8%,0.8%
2017年6月30日 (六月)14:45  ,0.8%, 
2017年6月15日 (五月)14:45,0.9%,0.9%
2017年5月31日 (五月)14:45  ,0.9%, 
2017年5月16日 (四月)14:45,1.4%,1.4%
2017年4月28日14:45  ,1.4%,1.4%
2017年4月13日 (三月)14:45,1.4%,1.4%
2017年3月31日 (三月)14:45  ,1.4%,1.3%
2017年3月15日 (二月)15:45,1.4%,1.4%
2017年2月28日 (一月)15:45  ,1.4%,1.6%
2017年2月21日 (一月)15:45,1.6%,1.6%
2017年1月31日15:45  ,1.6%,1.2%
2017年1月12日 (十二月)15:45,0.8%,0.8%
2017年1月3日 (十二月)15:45  ,0.8%,0.7%
2016年12月14日 (十一月)15:45,0.7%,0.7%
2016年11月30日15:45  ,0.7%,0.6%
2016年11月15日 (十月)15:45,0.5%,0.5%
2016年10月28日14:45  ,0.5%,0.6%
2016年10月12日 (九月)14:45,0.5%,0.5%
2016年9月30日 (九月)14:45  ,0.5%, 
2016年9月14日 (八月)14:45,0.4%,0.4%
2016年8月31日 (八月)14:45  ,0.4%,0.4%
2016年8月11日 (七月)14:45,0.4%,0.4%
2016年7月29日14:45  ,0.4%, 
2016年7月13日 (六月)14:45,0.3%,0.3%
2016年6月30日 (六月)14:45  ,0.3%,0.3%
2016年6月15日 (五月)14:45,0.1%,0.0%
2016年5月31日 (五月)14:45  ,0.0%,-0.2%
2016年5月12日 (四月)14:45,-0.1%,-0.1%
2016年4月29日14:45  ,-0.1%,0.0%
2016年4月13日 (三月)14:45,-0.1%,-0.1%
2016年3月31日14:45  ,-0.1%,0.6%
2016年3月15日 (二月)15:45,-0.1%,-0.1%
2016年2月18日 (一月)15:45,0.3%,0.4%
2016年1月29日15:45  ,0.4%,0.5%
2016年1月13日 (十二月)15:45,0.3%,0.2%
2015年12月10日 (十一月)15:45,0.1%,0.2%
2015年11月12日 (十月)15:45,0.2%,0.1%
2015年10月14日 (九月)14:45,0.1%,0.1%
2015年9月15日 (八月)14:45,0.1%,0.2%
2015年8月13日 (七月)14:45,0.2%,0.3%
2015年7月15日 (六月)14:45,0.3%,0.4%
2015年6月11日 (五月)14:45,0.3%,0.3%
2015年5月13日 (四月)14:45,0.1%,0.1%
2015年4月15日 (三月)14:45,0.0%,0.0%
2015年3月12日 (二月)15:45,-0.3%,-0.4%
2015年2月19日 (一月)15:45,-0.4%,-0.3%
2015年1月14日 (十二月)15:45,0.1%,-0.1%
2014年12月11日 (十一月)15:45,0.4%,0.5%
2014年11月13日 (十月)15:45,0.5%, 
2014年10月14日 (九月)14:45,0.4%,0.4%
2014年9月11日14:45,0.5%,0.5%
2014年8月13日14:45,0.6%,0.6%
2014年7月10日14:45,0.6%,0.8%
2014年6月12日14:45,0.8%,0.8%
2014年5月14日14:45,0.8%,0.9%
2014年4月1日 (三月)17:00,0.75%, 
2014年3月1日 (二月)17:00,1.06%, 
2014年2月1日 (一月)17:00,0.76%, 
2014年1月1日 (十二月)17:00,0.84%, 
2013年12月1日 (十一月)17:00,0.82%, 
2013年11月1日 (十月)17:00,0.68%, 
2013年10月1日 (九月)17:00,1.04%, 
2013年9月1日 (八月)17:00,0.98%, 
2013年8月1日 (七月)17:00,1.19%, 
2013年7月1日 (六月)17:00,1.02%, 
2013年6月1日 (五月)17:00,0.90%, 
2013年5月1日 (四月)17:00,0.79%, 
2013年4月1日 (三月)17:00,1.09%, 
2013年3月1日 (二月)17:00,1.20%, 
2013年2月1日 (一月)17:00,1.35%, 
2013年1月1日 (十二月)17:00,1.53%, 
2012年12月1日 (十一月)17:00,1.60%, 
2012年11月1日 (十月)17:00,2.09%, 
2012年10月1日 (九月)17:00,2.15%, 
2012年9月1日 (八月)17:00,2.38%, 
2012年8月1日 (七月)17:00,2.24%, 
2012年7月1日 (六月)17:00,2.26%, 
2012年6月1日 (五月)17:00,2.29%, 
2012年5月1日 (四月)17:00,2.42%, 
2012年4月1日 (三月)17:00,2.61%, 
2012年3月1日 (二月)17:00,2.55%, 
2012年2月1日 (一月)17:00,2.56%, 
2012年1月1日 (十二月)17:00,2.68%, 
2011年12月1日 (十一月)17:00,2.72%, 
2011年11月1日 (十月)17:00,2.55%, 
2011年10月1日 (九月)17:00,2.42%, 
2011年9月1日 (八月)17:00,2.41%, 
2011年8月1日 (七月)17:00,2.09%, 
2011年7月1日 (六月)17:00,2.26%, 
2011年6月1日 (五月)17:00,2.17%, 
2011年5月1日 (四月)17:00,2.24%, 
2011年4月1日 (三月)17:00,2.17%, 
2011年3月1日 (二月)17:00,1.83%, 
2011年2月1日 (一月)17:00,1.96%, 
2011年1月1日 (十二月)17:00,2.00%, 
2010年12月1日 (十一月)17:00,1.81%, 
2010年11月1日 (十月)17:00,1.83%, 
2010年10月1日 (九月)17:00,1.79%, 
2010年9月1日 (八月)17:00,1.60%, 
2010年8月1日 (七月)17:00,1.91%, 
2010年7月1日 (六月)17:00,1.74%, 
2010年6月1日 (五月)17:00,1.88%, 
2010年5月1日 (四月)17:00,1.89%, 
2010年4月1日 (三月)17:00,1.74%, 
2010年3月1日 (二月)17:00,1.41%, 
2010年2月1日 (一月)17:00,1.22%, 
2010年1月1日 (十二月)17:00,1.02%, 
2009年12月1日 (十一月)17:00,0.46%, 
2009年11月1日 (十月)17:00,-0.21%, 
2009年10月1日 (九月)17:00,-0.38%, 
2009年9月1日 (八月)17:00,-0.19%, 
2009年8月1日 (七月)17:00,-0.79%, 
2009年7月1日 (六月)17:00,-0.57%, 
2009年6月1日 (五月)17:00,-0.29%, 
2009年5月1日 (四月)17:00,0.14%, 
2009年4月1日 (三月)17:00,0.37%, 
2009年3月1日 (二月)17:00,0.96%, 
2009年2月1日 (一月)17:00,0.76%, 
2009年1月1日 (十二月)17:00,1.19%, 
2008年12月1日 (十一月)17:00,1.87%, 
2008年11月1日 (十月)17:00,3.01%, 
2008年10月1日 (九月)17:00,3.36%, 
2008年9月1日 (八月)17:00,3.53%, 
2008年8月1日 (七月)17:00,4.03%, 
2008年7月1日 (六月)17:00,3.98%, 
2008年6月1日 (五月)17:00,3.70%, 
2008年5月1日 (四月)17:00,3.37%, 
2008年4月1日 (三月)17:00,3.53%, 
2008年3月1日 (二月)17:00,3.20%, 
2008年2月1日 (一月)17:00,3.19%, 
2008年1月1日 (十二月)17:00,2.80%, 
2007年12月1日 (十一月)17:00,2.63%, 
2007年11月1日 (十月)17:00,2.14%, 
2007年10月1日 (九月)17:00,1.61%, 
2007年9月1日 (八月)17:00,1.28%, 
2007年8月1日 (七月)17:00,1.17%, 
2007年7月1日 (六月)17:00,1.31%, 
2007年6月1日 (五月)17:00,1.16%, 
2007年5月1日 (四月)17:00,1.32%, 
2007年4月1日 (三月)17:00,1.23%, 
2007年3月1日 (二月)17:00,1.21%, 
2007年2月1日 (一月)17:00,1.39%, 
2007年1月1日 (十二月)17:00,1.69%, 
2006年12月1日 (十一月)17:00,1.62%, 
2006年11月1日 (十月)17:00,1.24%, 
2006年10月1日 (九月)17:00,1.48%, 
2006年9月1日 (八月)17:00,2.11%, 
2006年8月1日 (七月)17:00,2.22%, 
2006年7月1日 (六月)17:00,2.24%, 
2006年6月1日 (五月)17:00,2.41%, 
2006年5月1日 (四月)17:00,1.98%, 
2006年4月1日 (三月)17:00,1.71%, 
2006年3月1日 (二月)17:00,1.97%, 
2006年2月1日 (一月)17:00,2.29%, 
2006年1月1日 (十二月)17:00,1.76%, 
2005年12月1日 (十一月)17:00,1.75%, 
2005年11月1日 (十月)17:00,2.01%, 
2005年10月1日 (九月)17:00,2.38%, 
2005年9月1日 (八月)17:00,2.02%, 
2005年8月1日 (七月)17:00,1.77%, 
2005年7月1日 (六月)17:00,1.76%, 
2005年6月1日 (五月)17:00,1.68%, 
2005年5月1日 (四月)17:00,2.04%, 
2005年4月1日 (三月)17:00,2.13%, 
2005年3月1日 (二月)17:00,1.87%, 
2005年2月1日 (一月)17:00,1.61%, 
2005年1月1日 (十二月)17:00,2.33%, 
2004年12月1日 (十一月)17:00,2.25%, 
2004年11月1日 (十月)17:00,2.33%, 
2004年10月1日 (九月)17:00,2.16%, 
2004年9月1日 (八月)17:00,2.53%, 
2004年8月1日 (七月)17:00,2.62%, 
2004年7月1日 (六月)17:00,2.72%, 
2004年6月1日 (五月)17:00,2.81%, 
2004年5月1日 (四月)17:00,2.35%, 
2004年4月1日 (三月)17:00,1.90%, 
2004年3月1日 (二月)17:00,1.91%, 
2004年2月1日 (一月)17:00,2.20%, 
2004年1月1日 (十二月)17:00,2.38%, 
2003年12月1日 (十一月)17:00,2.48%, 
2003年11月1日 (十月)17:00,2.30%, 
2003年10月1日 (九月)17:00,2.29%, 
2003年9月1日 (八月)17:00,2.03%, 
2003年8月1日 (七月)17:00,1.94%, 
2003年7月1日 (六月)17:00,1.94%, 
2003年6月1日 (五月)17:00,1.75%, 
2003年5月1日 (四月)17:00,1.94%, 
2003年4月1日 (三月)17:00,2.59%, 
2003年3月1日 (二月)17:00,2.51%, 
2003年2月1日 (一月)17:00,1.87%, 
2003年1月1日 (十二月)17:00,2.16%, 
2002年12月1日 (十一月)17:00,2.06%, 
2002年11月1日 (十月)17:00,1.87%, 
2002年10月1日 (九月)17:00,1.78%, 
2002年9月1日 (八月)17:00,1.78%, 
2002年8月1日 (七月)17:00,1.59%, 
2002年7月1日 (六月)17:00,1.50%, 
2002年6月1日 (五月)17:00,1.50%, 
2002年5月1日 (四月)17:00,2.08%, 
2002年4月1日 (三月)17:00,2.19%, 
2002年3月1日 (二月)17:00,2.29%, 
2002年2月1日 (一月)17:00,2.48%, 
2002年1月1日 (十二月)17:00,1.43%, 
2001年12月1日 (十一月)17:00,1.34%, 
2001年11月1日 (十月)17:00,1.81%, 
2001年10月1日 (九月)17:00,1.61%, 
2001年9月1日 (八月)17:00,2.01%, 
2001年8月1日 (七月)17:00,2.21%, 
2001年7月1日 (六月)17:00,2.20%, 
2001年6月1日 (五月)17:00,2.49%, 
2001年5月1日 (四月)17:00,2.02%, 
2001年4月1日 (三月)17:00,1.44%, 
2001年3月1日 (二月)17:00,1.45%, 
2001年2月1日 (一月)17:00,1.35%, 
2001年1月1日 (十二月)17:00,1.74%, 
2000年12月1日 (十一月)17:00,2.23%, 
2000年11月1日 (十月)17:00,2.13%, 
2000年10月1日 (九月)17:00,2.34%, 
2000年9月1日 (八月)17:00,1.95%, 
2000年8月1日 (七月)17:00,1.95%, 
2000年7月1日 (六月)17:00,1.86%, 
2000年6月1日 (五月)17:00,1.56%, 
2000年5月1日 (四月)17:00,1.36%, 
2000年4月1日 (三月)17:00,1.66%, 
2000年3月1日 (二月)17:00,1.47%, 
2000年2月1日 (一月)17:00,1.67%, 
2000年1月1日 (十二月)17:00,1.37%, 
1999年12月1日 (十一月)17:00,0.97%, 
1999年11月1日 (十月)17:00,0.79%, 
1999年10月1日 (九月)17:00,0.59%, 
