时间,今值,预测值
2017年9月14日 (八月)09:30, , 
2017年8月17日 (七月)09:30,-20.3K, 
2017年7月20日 (六月)09:30,62.0K, 
2017年6月15日 (五月)09:30,52.1K, 
2017年5月18日 (四月)09:30,-11.6K, 
2017年4月13日 (三月)09:30,74.5K, 
2017年3月16日 (二月)08:30,27.1K, 
2017年2月16日 (一月)08:30,-44.8K, 
2017年1月19日 (十二月)08:30,9.3K, 
2016年12月15日 (十一月)08:30,39.3K, 
2016年11月17日 (十月)08:30,41.5K, 
2016年10月20日 (九月)08:30,-53.0K, 
2016年9月15日 (八月)09:30,11.5K, 
2016年8月18日 (七月)09:30,-45.4K, 
2016年7月14日 (六月)09:30,38.4K, 
2016年6月16日 (五月)09:30,0.0K, 
2016年5月19日 (四月)09:30,-9.3K, 
2016年4月14日 (三月)09:30,-8.8K, 
2016年3月17日 (二月)08:30,15.9K, 
2016年2月18日 (一月)08:30,-40.6K, 
2016年1月14日 (十二月)08:30,17.6K, 
2015年12月10日 (十一月)08:30,41.6K, 
2015年11月12日 (十月)08:30,40.0K, 
2015年10月15日 (九月)08:30,-13.9K, 
2015年9月10日 (八月)09:30,11.5K, 
2015年8月6日 (七月)09:30,12.4K, 
2015年7月9日 (六月)09:30,24.5K, 
2015年6月11日 (五月)09:30,14.7K, 
2015年5月7日 (四月)09:30,-21.9K, 
2015年4月16日 (三月)09:30,31.5K, 
2015年3月12日 (二月)08:30,10.3K, 
2015年2月12日 (一月)08:30,-28.1K, 
2015年1月15日 (十二月)08:30,41.6K, 
2014年12月11日 (十一月)08:30,1.8K, 
2014年11月6日 (十月)08:30,33.4K, 
2014年10月9日 (九月)08:30,21.6K, 
2014年9月11日09:30,14.3K,22.9K
2014年8月7日09:30,14.5K, 
2014年7月10日09:30,-3.8K, 
2014年6月12日09:30,22.2K, 
2014年5月8日09:30,14.2K, 
2014年4月10日09:30,-22.1K, 
2014年3月13日08:30,80.5K, 
2014年2月13日08:30,-7.1K, 
2014年1月16日08:30,-31.6K, 
2013年12月12日08:30,15.5K, 
2013年11月7日08:30,-27.9K, 
2013年10月1日 (九月)17:00,6.60K, 
2013年9月1日 (八月)17:00,5.40K, 
2013年8月1日 (七月)17:00,-7.90K, 
2013年7月1日 (六月)17:00,3.70K, 
2013年6月1日 (五月)17:00,-16.60K, 
2013年5月1日 (四月)17:00,25.70K, 
2013年4月1日 (三月)17:00,-20.30K, 
2013年3月1日 (二月)17:00,-35.00K, 
2013年2月1日 (一月)17:00,24.90K, 
2013年1月1日 (十二月)17:00,-5.30K, 
2012年12月1日 (十一月)17:00,-9.40K, 
2012年11月1日 (十月)17:00,17.00K, 
2012年10月1日 (九月)17:00,42.40K, 
2012年9月1日 (八月)17:00,7.60K, 
2012年8月1日 (七月)17:00,6.70K, 
2012年7月1日 (六月)17:00,-22.90K, 
2012年6月1日 (五月)17:00,46.40K, 
2012年5月1日 (四月)17:00,-32.00K, 
2012年4月1日 (三月)17:00,18.30K, 
2012年3月1日 (二月)17:00,5.50K, 
2012年2月1日 (一月)17:00,18.10K, 
2012年1月1日 (十二月)17:00,38.10K, 
2011年12月1日 (十一月)17:00,-31.20K, 
2011年11月1日 (十月)17:00,23.30K, 
2011年10月1日 (九月)17:00,11.90K, 
2011年9月1日 (八月)17:00,-3.30K, 
2011年8月1日 (七月)17:00,-21.30K, 
2011年7月1日 (六月)17:00,73.20K, 
2011年6月1日 (五月)17:00,-42.10K, 
2011年5月1日 (四月)17:00,-59.20K, 
2011年4月1日 (三月)17:00,38.80K, 
2011年3月1日 (二月)17:00,49.00K, 
2011年2月1日 (一月)17:00,-10.90K, 
2011年1月1日 (十二月)17:00,0.80K, 
2010年12月1日 (十一月)17:00,63.20K, 
2010年11月1日 (十月)17:00,-17.00K, 
2010年10月1日 (九月)17:00,42.50K, 
2010年9月1日 (八月)17:00,57.30K, 
2010年8月1日 (七月)17:00,-1.30K, 
2010年7月1日 (六月)17:00,17.00K, 
2010年6月1日 (五月)17:00,22.50K, 
2010年5月1日 (四月)17:00,32.80K, 
2010年4月1日 (三月)17:00,19.20K, 
2010年3月1日 (二月)17:00,-8.50K, 
2010年2月1日 (一月)17:00,15.40K, 
2010年1月1日 (十二月)17:00,8.90K, 
2009年12月1日 (十一月)17:00,18.80K, 
2009年11月1日 (十月)17:00,10.70K, 
2009年10月1日 (九月)17:00,16.00K, 
2009年9月1日 (八月)17:00,-32.60K, 
2009年8月1日 (七月)17:00,-6.90K, 
2009年7月1日 (六月)17:00,-19.50K, 
2009年6月1日 (五月)17:00,-45.60K, 
2009年5月1日 (四月)17:00,39.90K, 
2009年4月1日 (三月)17:00,-36.30K, 
2009年3月1日 (二月)17:00,-59.00K, 
2009年2月1日 (一月)17:00,58.40K, 
2009年1月1日 (十二月)17:00,-38.40K, 
2008年12月1日 (十一月)17:00,-10.20K, 
2008年11月1日 (十月)17:00,-8.20K, 
2008年10月1日 (九月)17:00,-31.20K, 
2008年9月1日 (八月)17:00,8.10K, 
2008年8月1日 (七月)17:00,66.40K, 
2008年7月1日 (六月)17:00,37.80K, 
2008年6月1日 (五月)17:00,1.40K, 
2008年5月1日 (四月)17:00,6.60K, 
2008年4月1日 (三月)17:00,-1.60K, 
2008年3月1日 (二月)17:00,47.60K, 
2008年2月1日 (一月)17:00,3.90K, 
2008年1月1日 (十二月)17:00,20.60K, 
2007年12月1日 (十一月)17:00,-9.60K, 
2007年11月1日 (十月)17:00,72.30K, 
2007年10月1日 (九月)17:00,-4.40K, 
2007年9月1日 (八月)17:00,22.90K, 
2007年8月1日 (七月)17:00,12.30K, 
2007年7月1日 (六月)17:00,-15.20K, 
2007年6月1日 (五月)17:00,63.00K, 
2007年5月1日 (四月)17:00,-4.90K, 
2007年4月1日 (三月)17:00,45.30K, 
2007年3月1日 (二月)17:00,25.30K, 
2007年2月1日 (一月)17:00,11.40K, 
2007年1月1日 (十二月)17:00,47.10K, 
2006年12月1日 (十一月)17:00,19.30K, 
2006年11月1日 (十月)17:00,-34.10K, 
2006年10月1日 (九月)17:00,47.30K, 
2006年9月1日 (八月)17:00,19.20K, 
2006年8月1日 (七月)17:00,34.50K, 
2006年7月1日 (六月)17:00,18.30K, 
2006年6月1日 (五月)17:00,27.00K, 
2006年5月1日 (四月)17:00,24.00K, 
2006年4月1日 (三月)17:00,5.60K, 
2006年3月1日 (二月)17:00,3.40K, 
2006年2月1日 (一月)17:00,30.80K, 
2006年1月1日 (十二月)17:00,-12.70K, 
2005年12月1日 (十一月)17:00,45.80K, 
2005年11月1日 (十月)17:00,-20.60K, 
2005年10月1日 (九月)17:00,-5.90K, 
2005年9月1日 (八月)17:00,12.50K, 
2005年8月1日 (七月)17:00,-5.80K, 
2005年7月1日 (六月)17:00,45.80K, 
2005年6月1日 (五月)17:00,-27.30K, 
2005年5月1日 (四月)17:00,56.80K, 
2005年4月1日 (三月)17:00,0.90K, 
2005年3月1日 (二月)17:00,49.70K, 
2005年2月1日 (一月)17:00,23.50K, 
2005年1月1日 (十二月)17:00,16.80K, 
2004年12月1日 (十一月)17:00,7.20K, 
2004年11月1日 (十月)17:00,46.10K, 
2004年10月1日 (九月)17:00,20.60K, 
2004年9月1日 (八月)17:00,1.50K, 
2004年8月1日 (七月)17:00,12.50K, 
2004年7月1日 (六月)17:00,12.70K, 
2004年6月1日 (五月)17:00,1.20K, 
2004年5月1日 (四月)17:00,5.00K, 
2004年4月1日 (三月)17:00,37.80K, 
2004年3月1日 (二月)17:00,-24.90K, 
2004年2月1日 (一月)17:00,25.10K, 
2004年1月1日 (十二月)17:00,8.00K, 
2003年12月1日 (十一月)17:00,16.30K, 
2003年11月1日 (十月)17:00,25.00K, 
2003年10月1日 (九月)17:00,18.00K, 
2003年9月1日 (八月)17:00,37.20K, 
2003年8月1日 (七月)17:00,30.50K, 
2003年7月1日 (六月)17:00,-42.30K, 
2003年6月1日 (五月)17:00,21.90K, 
2003年5月1日 (四月)17:00,2.80K, 
2003年4月1日 (三月)17:00,-49.80K, 
