时间,今值,预测值
2017年9月7日 (七月)09:30,0.460B,0.875B
2017年8月3日 (六月)09:30,0.856B,1.800B
2017年7月6日 (五月)09:30,2.471B,1.100B
2017年6月8日 (四月)09:30,0.555B,1.950B
2017年5月4日 (三月)09:30,3.107B,3.400B
2017年4月4日 (二月)09:30,3.574B,1.800B
2017年3月2日 (一月)08:30,1.302B,3.800B
2017年2月2日 (十二月)08:30,3.511B,2.200B
2017年1月6日 (十一月)08:30,1.243B,-0.500B
2016年12月8日 (十月)08:30,-1.541B,-0.800B
2016年11月3日 (九月)08:30,-1.227B,-1.700B
2016年10月6日 (八月)08:30,-2.010B,-2.300B
2016年9月8日 (七月)09:30,-2.410B,-2.750B
2016年8月2日 (六月)09:30,-3.195B,-2.000B
2016年7月5日 (五月)09:30,-2.218B,-1.500B
2016年6月2日 (四月)09:30,-1.579B,-2.000B
2016年5月5日 (三月)09:30,-2.163B,-2.900B
2016年4月5日 (二月)09:30,-3.410B,-2.600B
2016年3月3日 (一月)08:30,-2.937B,-3.100B
2016年2月3日 (十二月)08:30,-3.535B,-2.500B
2016年1月7日 (十一月)08:30,-2.906B,-3.100B
2015年12月3日 (十月)08:30,-3.305B,-2.665B
2015年11月4日 (九月)08:30,-2.317B,-3.000B
2015年10月6日 (八月)08:30,-3.095B,-2.550B
2015年9月3日 (七月)09:30,-2.460B,-3.100B
2015年8月4日 (六月)09:30,-2.933B,-3.100B
2015年7月2日 (五月)09:30,-2.751B,-2.200B
2015年6月4日 (四月)09:30,-3.888B,-2.250B
2015年5月5日 (三月)09:30,-1.322B,-1.000B
2015年4月2日 (二月)08:30,-1.256B,-1.300B
2015年3月5日 (一月)08:30,-0.980B,-0.950B
2015年2月3日 (十二月)08:30,-0.436B,-0.775B
2015年1月6日 (十一月)08:30,-0.925B,-1.590B
2014年12月4日 (十月)08:30,-1.323B,-1.810B
2014年11月4日 (九月)08:30,-2.261B,-1.950B
2014年10月2日 (八月)09:30,-0.787B,-0.700B
2014年9月4日09:30,-1.359B,-1.510B
2014年8月5日09:30,-1.683B,-1.900B
2014年7月2日09:30,-1.911B,-0.120B
2014年6月5日09:30,-0.122B,0.300B
2014年5月6日09:30,0.731B,1.200B
2014年4月3日08:30,1.200B,0.850B
2014年3月6日08:30,1.433B,0.270B
2014年2月6日08:30,0.468B,-0.300B
2014年1月7日08:30,-0.118B,-0.300B
2013年12月5日08:30,-0.529B,-0.375B
2013年11月6日08:30,-0.284B,-0.450B
2013年10月2日09:30,-0.815B,-0.450B
2013年9月5日09:30,-0.765B,0.050B
2013年8月6日09:30,0.602B,0.800B
2013年7月3日09:30,0.670B,-0.050B
