时间,今值,预测值
2017年9月6日 (第二季度)09:30,1.8%,1.9%
2017年6月7日 (第一季度)09:30,1.7%,1.5%
2017年3月1日 (第四季度)08:30,2.4%,1.9%
2016年12月7日 (第三季度)08:30,1.8%,2.5%
2016年9月7日 (第二季度)09:30,3.3%,3.4%
2016年6月1日 (第一季度)09:30,3.1%,2.8%
2016年3月2日 (第四季度)08:30,3.0%,2.5%
2015年12月2日 (第三季度)08:30,2.5%,2.4%
2015年9月2日 (第二季度)09:30,2.0%,2.2%
2015年6月3日 (第一季度)09:30,2.3%,2.1%
2015年3月4日 (第四季度)08:30,2.5%,2.5%
2014年12月3日 (第三季度)08:30,2.7%,3.1%
2014年9月3日 (第二季度)09:30,3.1%,3.0%
2014年6月4日09:30,3.5%,3.3%
2014年3月5日08:30,2.8%,2.5%
2013年12月4日08:30,2.3%,2.6%
2013年9月4日09:30,2.6%,2.5%
2013年6月5日09:30,2.5%,2.7%
