时间,今值,预测值
2017年9月14日 (八月)09:30, , 
2017年8月17日 (七月)09:30,5.6%,5.6%
2017年7月20日 (六月)09:30,5.6%,5.6%
2017年6月15日 (五月)09:30,5.5%,5.7%
2017年5月18日 (四月)09:30,5.7%,5.9%
2017年4月13日 (三月)09:30,5.9%,5.9%
2017年3月16日 (二月)08:30,5.9%,5.7%
2017年2月16日 (一月)08:30,5.7%,5.8%
2017年1月19日 (十二月)08:30,5.8%,5.7%
2016年12月15日 (十一月)08:30,5.7%,5.6%
2016年11月17日 (十月)08:30,5.6%,5.6%
2016年10月20日 (九月)08:30,5.6%,5.7%
2016年9月15日 (八月)09:30,5.6%,5.7%
2016年8月18日 (七月)09:30,5.7%,5.8%
2016年7月14日 (六月)09:30,5.8%,5.8%
2016年6月16日 (五月)09:30,5.7%,5.7%
2016年5月19日 (四月)09:30,5.7%,5.8%
2016年4月14日 (三月)09:30,5.7%,5.9%
2016年3月17日 (二月)08:30,5.8%,6.0%
2016年2月18日 (一月)08:30,6.0%,5.8%
2016年1月14日 (十二月)08:30,5.8%,5.9%
2015年12月10日 (十一月)08:30,5.8%,6.0%
2015年11月12日 (十月)08:30,5.9%,6.2%
2015年10月15日 (九月)08:30,6.2%,6.3%
2015年9月10日 (八月)09:30,6.2%,6.2%
2015年8月6日 (七月)09:30,6.3%,6.0%
2015年7月9日 (六月)09:30,6.0%,6.1%
2015年6月11日 (五月)09:30,6.0%,6.2%
2015年5月7日 (四月)09:30,6.2%,6.2%
2015年4月16日 (三月)09:30,6.1%,6.3%
2015年3月12日 (二月)08:30,6.3%,6.3%
2015年2月12日 (一月)08:30,6.4%,6.2%
2015年1月15日 (十二月)08:30,6.1%,6.3%
2014年12月11日 (十一月)08:30,6.3%,6.3%
2014年11月6日 (十月)08:30,6.2%,6.1%
2014年10月9日 (九月)08:30,6.1%,6.1%
2014年9月11日09:30,6.1%,6.3%
2014年8月7日09:30,6.4%,6.0%
2014年7月10日09:30,6.0%,5.9%
2014年6月12日09:30,5.8%,5.9%
2014年5月8日09:30,5.8%,5.9%
2014年4月10日09:30,5.8%,6.0%
2014年3月13日08:30,6.0%,6.0%
2014年2月13日08:30,6.0%,5.8%
2014年1月16日08:30,5.8%,5.8%
2013年12月12日08:30,5.8%,5.8%
2013年11月7日08:30,5.7%,5.7%
2013年10月10日08:30,5.6%,5.8%
2013年9月12日09:30,5.8%,5.8%
2013年8月8日09:30,5.7%,5.8%
2013年7月11日09:30,5.7%,5.6%
2013年6月13日09:30,5.5%,5.6%
2013年5月9日09:30,5.5%,5.6%
2013年4月11日09:30,5.6%,5.4%
2013年3月14日08:30,5.4%,5.5%
2013年2月7日08:30,5.4%,5.5%
2013年1月17日08:30,5.4%,5.4%
2012年12月6日08:30,5.2%,5.5%
2012年11月8日08:30,5.4%,5.5%
2012年10月11日08:30,5.4%,5.3%
2012年9月6日09:30,5.1%,5.3%
2012年8月9日09:30,5.2%,5.3%
2012年7月12日09:30,5.2%,5.2%
2012年6月7日09:30,5.1%,5.1%
2012年5月10日09:30,4.9%,5.3%
2012年4月12日09:30,5.2%,5.3%
2012年3月8日08:30,5.2%,5.2%
2012年2月16日08:30,5.1%,5.3%
2012年1月19日08:30,5.2%,5.3%
2011年12月8日08:30,5.3%,5.2%
2011年11月10日08:30,5.2%,5.3%
2011年10月13日08:30,5.2%,5.3%
2011年9月8日09:30,5.3%,5.1%
2011年8月11日09:30,5.1%,4.9%
2011年7月7日09:30,4.9%,4.9%
2011年6月9日09:30,4.9%,4.9%
2011年5月12日09:30,4.9%,4.9%
2011年4月7日09:30,4.9%,5.0%
2011年3月10日08:30,5.0%,5.0%
2011年2月10日08:30,5.0%,5.0%
2011年1月13日08:30,5.0%,5.1%
2010年12月9日08:30,5.2%,5.2%
2010年11月11日08:30,5.4%,5.0%
2010年10月7日08:30,5.1%,5.1%
2010年9月9日09:30,5.1%,5.2%
2010年8月12日09:30,5.3%,5.1%
2010年7月8日09:30,5.1%,5.2%
2010年6月10日09:30,5.2%,5.4%
2010年5月13日09:30,5.4%,5.3%
2010年4月8日09:30,5.3%,5.3%
2010年3月11日08:30,5.3%,5.3%
2010年2月11日08:30,5.3%,5.6%
2010年1月14日08:30,5.5%,5.8%
2009年12月10日08:30,5.7%,5.9%
2009年11月12日08:30,5.8%,5.8%
2009年10月8日08:30,5.7%,6.0%
2009年9月10日09:30,5.8%,5.9%
2009年8月6日09:30,5.8%,6.0%
2009年7月9日09:30,5.8%,5.9%
2009年6月11日09:30,5.7%,5.7%
2009年5月7日09:30,5.4%,5.9%
2009年4月9日09:30,5.7%,5.4%
2009年3月12日08:30,5.2%,5.0%
2009年2月12日08:30,4.8%,4.7%
2009年1月15日08:30,4.5%,4.5%
2008年12月11日08:30,4.4%,4.4%
2008年11月6日08:30,4.3%,4.4%
2008年10月9日08:30,4.3%,4.3%
2008年9月11日09:30,4.1%,4.4%
2008年8月7日09:30,4.3%,4.3%
2008年7月10日09:30,4.2%,4.3%
2008年6月12日10:30,4.3%,4.2%
2008年5月8日09:30,4.2%,4.1%
2008年4月10日09:30,4.1%,4.1%
2008年3月13日08:30,4.0%,4.2%
2008年2月1日 (一月)17:00,4.20%, 
2008年1月1日 (十二月)17:00,4.30%, 
2007年12月1日 (十一月)17:00,4.40%, 
2007年11月1日 (十月)17:00,4.30%, 
2007年10月1日 (九月)17:00,4.20%, 
2007年9月1日 (八月)17:00,4.30%, 
2007年8月1日 (七月)17:00,4.30%, 
2007年7月1日 (六月)17:00,4.30%, 
2007年6月1日 (五月)17:00,4.30%, 
2007年5月1日 (四月)17:00,4.30%, 
2007年4月1日 (三月)17:00,4.40%, 
2007年3月1日 (二月)17:00,4.60%, 
2007年2月1日 (一月)17:00,4.50%, 
2007年1月1日 (十二月)17:00,4.60%, 
2006年12月1日 (十一月)17:00,4.50%, 
2006年11月1日 (十月)17:00,4.50%, 
2006年10月1日 (九月)17:00,4.70%, 
2006年9月1日 (八月)17:00,4.70%, 
2006年8月1日 (七月)17:00,4.70%, 
2006年7月1日 (六月)17:00,4.80%, 
2006年6月1日 (五月)17:00,4.80%, 
2006年5月1日 (四月)17:00,4.90%, 
2006年4月1日 (三月)17:00,4.90%, 
2006年3月1日 (二月)17:00,5.10%, 
2006年2月1日 (一月)17:00,5.10%, 
2006年1月1日 (十二月)17:00,5.10%, 
2005年12月1日 (十一月)17:00,5.00%, 
2005年11月1日 (十月)17:00,5.00%, 
2005年10月1日 (九月)17:00,5.00%, 
2005年9月1日 (八月)17:00,4.90%, 
