时间,今值,预测值
2017年9月14日 (八月)09:30, , 
2017年8月17日 (七月)09:30,65.1%,65.0%
2017年7月20日 (六月)09:30,65.0%,64.9%
2017年6月15日 (五月)09:30,64.9%,64.8%
2017年5月18日 (四月)09:30,64.8%,64.7%
2017年4月13日 (三月)09:30,64.8%,64.6%
2017年3月16日 (二月)08:30,64.6%,64.6%
2017年2月16日 (一月)08:30,64.6%,64.7%
2017年1月19日 (十二月)08:30,64.7%,64.6%
2016年12月15日 (十一月)08:30,64.6%,64.5%
2016年11月17日 (十月)08:30,64.4%,64.6%
2016年10月20日 (九月)08:30,64.5%,64.8%
2016年9月15日 (八月)09:30,64.7%,64.9%
2016年8月18日 (七月)09:30,64.9%,64.9%
2016年7月14日 (六月)09:30,64.9%,64.8%
2016年6月16日 (五月)09:30,64.8%,64.9%
2016年5月19日 (四月)09:30,64.8%,64.9%
2016年4月14日 (三月)09:30,64.9%,65.0%
2016年3月17日 (二月)08:30,64.9%,65.2%
2016年2月18日 (一月)08:30,65.2%,65.2%
2016年1月14日 (十二月)08:30,65.1%,65.2%
2015年12月10日 (十一月)08:30,65.3%,65.0%
2015年11月12日 (十月)08:30,65.0%,64.9%
2015年10月15日 (九月)08:30,64.9%,65.0%
2015年9月10日 (八月)09:30,65.0%,65.0%
2015年8月6日 (七月)09:30,65.1%,64.8%
2015年7月9日 (六月)09:30,64.8%,64.7%
2015年6月11日 (五月)09:30,64.7%,64.8%
2015年5月7日 (四月)09:30,64.8%,64.8%
2015年4月16日 (三月)09:30,64.8%,64.6%
2015年3月12日 (二月)08:30,64.6%,64.8%
2015年2月12日 (一月)08:30,64.8%,64.8%
2015年1月15日 (十二月)08:30,64.8%,64.7%
2014年12月11日 (十一月)08:30,64.7%,64.6%
2014年11月6日 (十月)08:30,64.6%,64.5%
2014年10月9日 (九月)08:30,64.5%,64.8%
2014年9月11日09:30,65.2%,64.8%
2014年8月7日09:30,64.8%,64.7%
2014年7月10日09:30,64.7%,64.6%
2014年6月12日09:30,64.6%,64.7%
2014年5月8日09:30,64.7%,64.7%
2014年4月10日09:30,64.7%,64.7%
2014年3月13日08:30,64.8%,64.5%
2014年2月13日08:30,64.5%,64.6%
2014年1月16日08:30,64.6%,64.8%
2013年12月12日08:30,64.8%,64.8%
2013年11月7日08:30,64.8%,64.9%
2013年10月1日 (九月)17:00,64.80%, 
2013年9月1日 (八月)17:00,64.90%, 
2013年8月1日 (七月)17:00,64.90%, 
2013年7月1日 (六月)17:00,65.10%, 
2013年6月1日 (五月)17:00,65.00%, 
2013年5月1日 (四月)17:00,65.10%, 
2013年4月1日 (三月)17:00,65.10%, 
2013年3月1日 (二月)17:00,65.20%, 
2013年2月1日 (一月)17:00,65.20%, 
2013年1月1日 (十二月)17:00,65.10%, 
2012年12月1日 (十一月)17:00,65.00%, 
2012年11月1日 (十月)17:00,65.10%, 
2012年10月1日 (九月)17:00,65.20%, 
2012年9月1日 (八月)17:00,64.90%, 
2012年8月1日 (七月)17:00,65.10%, 
2012年7月1日 (六月)17:00,65.10%, 
2012年6月1日 (五月)17:00,65.30%, 
2012年5月1日 (四月)17:00,65.00%, 
2012年4月1日 (三月)17:00,65.30%, 
2012年3月1日 (二月)17:00,65.20%, 
2012年2月1日 (一月)17:00,65.20%, 
2012年1月1日 (十二月)17:00,65.10%, 
2011年12月1日 (十一月)17:00,65.40%, 
2011年11月1日 (十月)17:00,65.40%, 
2011年10月1日 (九月)17:00,65.50%, 
2011年9月1日 (八月)17:00,65.40%, 
2011年8月1日 (七月)17:00,65.40%, 
2011年7月1日 (六月)17:00,65.30%, 
2011年6月1日 (五月)17:00,65.20%, 
2011年5月1日 (四月)17:00,65.30%, 
2011年4月1日 (三月)17:00,65.60%, 
2011年3月1日 (二月)17:00,65.50%, 
2011年2月1日 (一月)17:00,65.70%, 
2011年1月1日 (十二月)17:00,65.60%, 
2010年12月1日 (十一月)17:00,65.80%, 
2010年11月1日 (十月)17:00,65.60%, 
2010年10月1日 (九月)17:00,65.40%, 
2010年9月1日 (八月)17:00,65.30%, 
2010年8月1日 (七月)17:00,65.40%, 
2010年7月1日 (六月)17:00,65.20%, 
2010年6月1日 (五月)17:00,65.00%, 
2010年5月1日 (四月)17:00,65.30%, 
2010年4月1日 (三月)17:00,65.20%, 
2010年3月1日 (二月)17:00,65.20%, 
2010年2月1日 (一月)17:00,65.30%, 
2010年1月1日 (十二月)17:00,65.30%, 
2009年12月1日 (十一月)17:00,65.30%, 
2009年11月1日 (十月)17:00,65.20%, 
2009年10月1日 (九月)17:00,65.20%, 
