时间,今值,预测值
2017年9月1日 (八月)07:30,59.8, 
2017年8月1日 (七月)07:30,56.0, 
2017年7月3日 (五月)07:30,55.0, 
2017年6月1日 (五月)07:30,54.8, 
2017年5月1日 (四月)07:30,59.2, 
2017年4月3日 (三月)07:30,57.5, 
2017年3月1日 (二月)06:30,59.3, 
2017年2月2日 (一月)06:30,51.2, 
2017年2月1日 (一月)06:30,51.2, 
2017年1月3日06:30,55.4, 
2016年12月1日 (十一月)06:30,54.2, 
2016年11月1日 (十月)06:30,50.9, 
2016年10月3日 (九月)06:30,49.8, 
2016年9月1日 (八月)07:30,46.9, 
2016年8月1日 (七月)07:30,56.4, 
2016年7月1日 (六月)07:30,51.8, 
2016年6月2日 (五月)07:30,51.0, 
2016年6月1日 (五月)07:30,51.0, 
2016年5月2日 (四月)07:30,53.4, 
2016年4月1日 (三月)06:30,58.1, 
2016年3月1日 (二月)06:30,53.5, 
2016年2月1日 (一月)06:30,51.5, 
2016年1月4日 (十二月)06:30,51.9, 
2015年12月1日 (十一月)06:30,52.5, 
2015年11月2日 (十月)06:30,50.2, 
2015年10月1日 (九月)07:30,52.1, 
2015年9月1日 (八月)07:30,51.7, 
2015年8月3日 (七月)07:30,50.4, 
2015年7月1日 (六月)07:30,44.2, 
2015年6月1日 (五月)07:30,52.3, 
2015年5月1日 (四月)07:30,48.0, 
2015年4月1日 (三月)06:30,46.3, 
2015年3月2日 (二月)06:30,45.4, 
2015年2月2日 (一月)06:30,49.0, 
2015年1月5日06:30,46.9, 
2014年12月1日 (十一月)06:30,50.1, 
2014年11月3日 (十月)06:30,49.4, 
2014年10月1日07:30,46.5, 
2014年9月1日07:30,47.3, 
2014年8月1日07:30,50.7, 
2014年7月1日07:30,48.9, 
2014年6月2日07:30,49.2, 
2014年5月1日07:30,44.8, 
2014年4月1日06:30,47.9, 
2014年3月3日06:15,48.6, 
2014年2月3日06:30,46.7, 
2014年1月2日06:10,47.6, 
2013年12月2日06:30,47.7, 
2013年11月1日06:30,53.2, 
2013年10月1日07:30,51.7, 
2013年9月2日07:30,46.4, 
2013年8月1日07:30,42.0, 
2013年7月1日07:30,49.6, 
2013年6月3日07:30,43.8, 
2013年5月1日07:30,36.7, 
2013年4月2日06:30,44.4, 
2013年3月1日06:30,45.6, 
2013年2月1日06:30,40.2, 
2013年1月2日06:30,44.3, 
2012年12月3日06:30,43.6, 
2012年11月1日06:30,45.2, 
2012年10月1日07:30,44.1, 
2012年9月3日07:30,45.3, 
2012年8月1日07:30,40.3, 
2012年7月2日07:30,47.2, 
2012年6月1日07:30,42.4, 
2012年5月1日07:30,43.9, 
2012年4月2日07:30,49.5, 
2012年3月1日06:30,51.3, 
2012年2月1日06:30,51.6, 
2012年1月3日06:30,50.2, 
2011年12月1日06:30,47.8, 
2011年11月1日06:30,47.4, 
2011年10月3日06:30,42.3, 
2011年9月1日07:30,43.3, 
2011年8月1日07:30,43.4, 
2011年7月1日07:30,52.9, 
2011年6月1日07:30,47.7, 
2011年5月2日07:30,48.4, 
2011年4月1日06:30,47.9, 
2011年3月1日06:30,51.1, 
2011年2月1日06:30,46.7, 
2011年1月4日06:30,46.3, 
2010年12月1日06:30,47.6, 
2010年11月1日06:30,49.4, 
2010年10月1日07:30,47.3, 
2010年9月1日07:30,51.7, 
2010年8月2日07:30,54.4, 
2010年7月1日07:30,52.9, 
2010年6月1日07:30,56.3, 
2010年5月3日07:30,59.8, 
2010年4月1日06:30,50.2, 
2010年3月1日06:30,53.8, 
2010年2月1日06:30,51.0, 
2010年1月4日06:30,48.5, 
2009年12月1日06:30,51.2, 
2009年11月2日06:30,51.7, 
2009年10月1日07:30,52.0, 
2009年9月1日07:30,51.7, 
2009年8月3日07:30,44.5, 
2009年7月1日07:30,38.4, 
2009年6月1日07:30,37.5, 
2009年5月1日07:30,30.1, 
2009年4月1日06:30,33.4, 
2009年3月1日08:00,31.7, 
2009年2月1日08:00,36.6, 
2009年1月1日08:00,33.7, 
2008年11月3日06:30,40.4, 
2008年7月31日08:00,46.9, 
2008年7月1日07:30,47.0, 
2008年6月2日08:30,51.2, 
2008年5月1日07:30,52.7,0.0
2008年4月1日06:30,51.2,0.0
2008年3月3日06:30,51.4,0.0
2008年2月1日 (一月)17:00,46.95, 
2008年1月1日 (十二月)17:00,56.05, 
2007年12月1日 (十一月)17:00,54.90, 
2007年11月1日 (十月)17:00,51.95, 
2007年10月1日 (九月)17:00,49.65, 
2007年9月1日 (八月)17:00,51.61, 
2007年8月1日 (七月)17:00,57.58, 
2007年7月1日 (六月)17:00,52.72, 
2007年6月1日 (五月)17:00,55.23, 
2007年5月1日 (四月)17:00,52.05, 
2007年4月1日 (三月)17:00,53.84, 
2007年3月1日 (二月)17:00,57.88, 
2007年2月1日 (一月)17:00,52.90, 
2007年1月1日 (十二月)17:00,53.10, 
2006年12月1日 (十一月)17:00,53.72, 
2006年11月1日 (十月)17:00,51.10, 
2006年10月1日 (九月)17:00,52.28, 
2006年9月1日 (八月)17:00,49.52, 
2006年8月1日 (七月)17:00,49.00, 
2006年7月1日 (六月)17:00,54.99, 
2006年6月1日 (五月)17:00,48.39, 
2006年5月1日 (四月)17:00,51.24, 
2006年4月1日 (三月)17:00,52.91, 
2006年3月1日 (二月)17:00,48.33, 
2006年2月1日 (一月)17:00,49.86, 
2006年1月1日 (十二月)17:00,50.49, 
2005年12月1日 (十一月)17:00,44.73, 
2005年11月1日 (十月)17:00,47.15, 
2005年10月1日 (九月)17:00,51.02, 
2005年9月1日 (八月)17:00,43.92, 
2005年8月1日 (七月)17:00,50.12, 
2005年7月1日 (六月)17:00,54.64, 
2005年6月1日 (五月)17:00,50.84, 
2005年5月1日 (四月)17:00,52.62, 
2005年4月1日 (三月)17:00,51.29, 
2005年3月1日 (二月)17:00,52.15, 
2005年2月1日 (一月)17:00,55.65, 
2005年1月1日 (十二月)17:00,57.83, 
2004年12月1日 (十一月)17:00,53.69, 
2004年11月1日 (十月)17:00,52.51, 
2004年10月1日 (九月)17:00,50.38, 
2004年9月1日 (八月)17:00,52.32, 
2004年8月1日 (七月)17:00,55.55, 
2004年7月1日 (六月)17:00,51.42, 
2004年6月1日 (五月)17:00,53.15, 
2004年5月1日 (四月)17:00,58.17, 
2004年4月1日 (三月)17:00,53.98, 
2004年3月1日 (二月)17:00,52.26, 
2004年2月1日 (一月)17:00,57.42, 
2004年1月1日 (十二月)17:00,52.66, 
2003年12月1日 (十一月)17:00,57.61, 
2003年11月1日 (十月)17:00,56.60, 
2003年10月1日 (九月)17:00,51.17, 
2003年9月1日 (八月)17:00,52.35, 
2003年8月1日 (七月)17:00,52.45, 
2003年7月1日 (六月)17:00,50.15, 
2003年6月1日 (五月)17:00,52.74, 
2003年5月1日 (四月)17:00,53.98, 
2003年4月1日 (三月)17:00,51.03, 
2003年3月1日 (二月)17:00,55.67, 
2003年2月1日 (一月)17:00,54.23, 
2003年1月1日 (十二月)17:00,55.26, 
2002年12月1日 (十一月)17:00,58.03, 
2002年11月1日 (十月)17:00,56.33, 
2002年10月1日 (九月)17:00,53.86, 
2002年9月1日 (八月)17:00,58.27, 
2002年8月1日 (七月)17:00,53.38, 
2002年7月1日 (六月)17:00,58.42, 
