时间,今值,预测值
2017年9月7日 (八月)07:30,55.3, 
2017年8月7日 (七月)07:30,60.5, 
2017年7月7日 (六月)07:30,56.0, 
2017年6月7日 (五月)07:30,56.7, 
2017年5月5日 (四月)07:30,51.9, 
2017年4月7日 (三月)07:30,51.2, 
2017年3月7日 (二月)06:30,53.1, 
2017年2月7日 (一月)06:30,47.7, 
2017年1月9日 (十二月)06:30,47.0, 
2016年12月7日 (十一月)06:30,46.6, 
2016年11月7日 (十月)06:30,45.9, 
2016年10月7日 (九月)06:30,51.4, 
2016年9月7日 (八月)07:30,46.6, 
2016年8月5日07:30,51.6, 
2016年7月7日 (六月)07:30,53.2, 
2016年6月7日 (五月)07:30,46.7, 
2016年5月6日 (四月)07:30,50.8, 
2016年4月7日 (三月)07:30,45.2, 
2016年3月7日 (二月)06:30,46.1, 
2016年2月5日 (一月)06:30,46.3,46.8
2016年1月8日 (十二月)06:30,46.8, 
2015年12月7日 (十一月)06:30,50.7, 
2015年11月6日 (十月)06:30,52.1, 
2015年10月7日 (九月)06:30,51.9, 
2015年9月7日 (八月)07:30,53.8, 
2015年8月7日 (七月)07:30,47.1, 
2015年7月7日 (六月)07:30,46.4, 
2015年6月5日 (五月)07:30,47.8, 
2015年5月7日 (四月)07:30,47.0, 
2015年4月9日 (三月)07:30,50.1, 
2015年3月6日 (二月)06:30,43.9, 
2015年2月6日 (一月)06:30,45.9, 
2015年1月9日 (十二月)06:30,44.4, 
2014年12月5日 (十一月)06:30,45.4, 
2014年11月7日 (十月)06:30,53.4, 
2014年10月7日 (九月)06:30,59.1, 
2014年8月7日07:30,52.6, 
2014年7月7日07:30,51.8, 
2014年6月6日07:30,46.7, 
2014年5月7日07:30,45.9, 
2014年4月7日07:30,46.2, 
2014年3月7日06:20,44.2, 
2014年2月7日06:30,48.2, 
2014年1月8日06:20,50.8, 
2013年12月6日06:30,55.2, 
2013年11月7日06:30,54.4, 
2013年10月7日06:30,47.6, 
2013年9月6日07:30,43.7, 
2013年8月7日07:30,44.1, 
2013年7月5日07:30,39.5, 
2013年6月7日07:30,35.3, 
2013年5月7日07:30,35.2, 
2013年4月8日07:30,39.0, 
2013年3月7日06:30,45.6, 
2013年2月7日06:30,36.2, 
2013年1月8日06:30,38.8, 
2012年12月7日06:30,37.0, 
2012年11月7日06:30,35.8, 
2012年10月5日07:30,30.9, 
2012年9月7日07:30,32.2, 
2012年8月7日07:30,32.6, 
2012年7月6日07:30,34.8, 
2012年6月7日07:30,34.7, 
2012年5月7日07:30,34.9, 
2012年4月10日07:30,36.2, 
2012年3月7日06:30,35.6, 
2012年2月7日06:30,39.8, 
2012年1月9日06:30,41.0, 
2011年12月7日06:30,39.6, 
2011年11月7日06:30,34.7, 
2011年10月7日06:30,30.0, 
2011年9月7日07:30,32.1, 
2011年8月5日07:30,36.1, 
2011年7月7日07:30,35.8, 
2011年6月7日07:30,39.6, 
2011年5月6日07:30,37.9, 
2011年4月7日07:30,39.4, 
2011年3月7日06:30,44.6, 
2011年2月7日06:30,40.2, 
2011年1月10日06:30,43.8, 
2010年12月7日06:30,42.2, 
2010年11月5日06:30,44.0, 
2010年10月7日06:30,40.8, 
2010年9月7日07:30,43.2, 
2010年8月6日07:30,43.3, 
2010年7月7日07:30,46.4, 
2010年6月7日07:30,53.2, 
2010年5月7日07:30,55.8, 
2010年4月9日07:30,48.7, 
2010年3月5日06:30,52.8, 
2010年2月5日06:30,57.7, 
2010年1月8日06:30,49.3, 
2009年12月7日06:30,47.6, 
2009年11月6日06:30,50.9, 
2009年10月7日06:30,50.8, 
2009年9月7日07:30,42.4, 
2009年8月7日07:30,39.5, 
2009年7月7日07:30,42.6, 
2009年6月5日07:30,46.9, 
2009年5月7日07:30,36.5, 
2009年4月7日07:30,30.4, 
2009年3月6日06:30,29.5, 
2009年2月6日06:30,34.1, 
2009年1月8日06:30,30.9, 
2009年1月6日06:30,39.3, 
2008年12月5日06:30,32.0, 
2008年11月7日06:30,36.4, 
2008年10月7日06:30,31.8, 
2008年9月5日07:30,43.1, 
2008年7月7日07:30,40.3, 
2008年6月6日08:30,36.9, 
2008年5月7日07:30,42.6,0.0
2008年4月7日07:30,48.4,0.0
2008年3月7日06:30,53.9,0.0
2008年2月1日 (一月)17:00,54.00, 
2008年1月1日 (十二月)17:00,58.00, 
2007年12月1日 (十一月)17:00,54.00, 
2007年11月1日 (十月)17:00,54.00, 
2007年10月1日 (九月)17:00,53.00, 
2007年9月1日 (八月)17:00,50.00, 
2007年8月1日 (七月)17:00,49.00, 
2007年7月1日 (六月)17:00,50.00, 
2007年6月1日 (五月)17:00,48.00, 
2007年5月1日 (四月)17:00,52.00, 
2007年4月1日 (三月)17:00,54.00, 
2007年3月1日 (二月)17:00,52.00, 
2007年2月1日 (一月)17:00,44.00, 
2007年1月1日 (十二月)17:00,50.00, 
2006年12月1日 (十一月)17:00,50.00, 
2006年11月1日 (十月)17:00,48.00, 
2006年10月1日 (九月)17:00,51.00, 
2006年9月1日 (八月)17:00,47.00, 
2006年8月1日 (七月)17:00,54.00, 
2006年7月1日 (六月)17:00,55.00, 
2006年6月1日 (五月)17:00,50.00, 
2006年5月1日 (四月)17:00,48.00, 
2006年4月1日 (三月)17:00,51.00, 
2006年3月1日 (二月)17:00,53.00, 
2006年2月1日 (一月)17:00,55.00, 
2006年1月1日 (十二月)17:00,55.00, 
2005年12月1日 (十一月)17:00,54.00, 
2005年11月1日 (十月)17:00,54.00, 
2005年10月1日 (九月)17:00,55.00, 
