时间,今值,预测值
2017年9月5日 (八月)07:30,53.0, 
2017年8月3日 (七月)07:30,56.4, 
2017年7月5日 (六月)07:30,54.8, 
2017年6月5日 (五月)07:30,51.5, 
2017年5月3日 (四月)07:30,53.0, 
2017年4月5日 (三月)07:30,51.7, 
2017年3月3日 (二月)06:30,49.0, 
2017年2月3日 (一月)06:30,54.5, 
2017年1月5日 (十二月)06:30,57.7, 
2016年12月5日 (十一月)06:30,51.1, 
2016年11月3日 (十月)06:30,50.5, 
2016年10月5日 (九月)06:30,48.9, 
2016年9月5日 (八月)07:30,45.0, 
2016年8月3日 (七月)07:30,53.9, 
2016年7月5日 (六月)07:30,51.3, 
2016年6月3日 (五月)07:30,51.5, 
2016年5月4日 (四月)07:30,49.7, 
2016年4月5日 (三月)07:30,49.5, 
2016年3月3日 (二月)06:30,51.8, 
2016年2月3日 (一月)06:30,48.4, 
2016年1月6日 (十二月)06:30,46.3, 
2015年12月3日 (十一月)06:30,48.2, 
2015年11月4日 (十月)06:30,48.9, 
2015年10月5日 (九月)06:30,52.3, 
2015年9月3日 (八月)07:30,55.6, 
2015年8月5日 (七月)07:30,54.1, 
2015年7月3日 (六月)07:30,51.2, 
2015年6月3日 (五月)07:30,49.6, 
2015年5月5日 (四月)07:30,49.7, 
2015年4月7日 (三月)07:30,50.2, 
2015年3月4日 (二月)06:30,51.7, 
2015年2月4日 (一月)06:30,49.9, 
2015年1月7日06:30,47.5, 
2014年12月3日 (十一月)06:30,43.8, 
2014年11月5日 (十月)06:30,43.6, 
2014年10月3日07:30,45.4, 
2014年9月3日07:30,49.4, 
2014年8月5日07:30,49.3, 
2014年7月3日07:30,47.6, 
2014年6月4日07:30,49.9, 
2014年5月5日07:30,48.6, 
2014年4月3日06:30,48.9, 
2014年3月5日06:30,55.2, 
2014年2月5日06:30,49.3, 
2014年1月6日06:20,46.1, 
2013年12月4日06:10,48.9, 
2013年11月5日06:30,47.9, 
2013年10月3日07:30,47.1, 
2013年9月4日07:30,39.0, 
2013年8月5日07:30,39.4, 
2013年7月3日07:30,41.5, 
2013年6月5日07:30,40.6, 
2013年5月3日07:30,44.1, 
2013年4月4日06:30,49.6, 
2013年3月5日06:30,48.5, 
2013年2月5日06:30,45.3, 
2013年1月4日06:30,43.2, 
2012年12月5日06:30,47.1, 
2012年11月5日06:30,42.8, 
2012年10月3日07:30,41.9, 
2012年9月5日07:30,42.4, 
2012年8月3日07:30,46.5, 
2012年7月4日07:30,48.8, 
2012年6月5日07:30,43.5, 
2012年5月3日07:30,39.6, 
2012年4月4日07:30,47.0, 
2012年3月5日06:30,46.7, 
2012年2月3日06:30,51.9, 
2012年1月5日06:30,49.0, 
2011年12月5日06:30,47.7, 
2011年11月3日06:30,48.8, 
2011年10月5日06:30,50.3, 
2011年9月5日07:30,52.1, 
2011年8月3日07:30,48.8, 
2011年7月5日07:30,48.5, 
2011年6月3日07:30,49.9, 
2011年5月4日07:30,51.5, 
2011年4月5日07:30,46.5, 
2011年3月3日06:30,48.7, 
2011年2月3日06:30,45.5, 
2011年1月6日06:30,46.4, 
2010年12月3日06:30,46.2, 
2010年11月3日06:30,50.7, 
2010年10月5日06:30,45.6, 
2010年9月3日07:30,47.5, 
2010年8月4日07:30,46.6, 
2010年7月5日07:30,48.8, 
2010年6月3日07:30,47.5, 
2010年5月5日07:30,52.3, 
2010年4月7日07:30,48.4, 
2010年3月3日06:30,48.3, 
2010年2月3日06:30,47.4, 
2010年1月6日06:30,50.0, 
2009年12月3日06:30,52.5, 
2009年11月4日06:30,54.8, 
2009年10月5日06:30,49.3, 
2009年9月3日07:30,48.0, 
2009年8月5日07:30,44.1, 
2009年7月3日07:30,50.2, 
2009年6月3日07:30,39.9, 
2009年5月5日07:30,39.8, 
2009年4月3日06:30,35.6, 
2009年3月4日06:30,32.2, 
2009年2月4日06:30,41.0, 
2009年1月6日06:30,39.3, 
2008年12月3日06:30,37.8, 
