时间,今值,预测值
2017年9月4日09:30,2.0%, 
2017年8月7日09:30,1.5%, 
2017年7月3日09:30,2.7%, 
2017年6月5日09:30,0.4%, 
2017年5月8日09:30,1.4%, 
2017年4月3日09:30,0.3%, 
2017年3月6日08:30,-0.7%, 
2017年2月6日08:30,4.0%, 
2017年1月9日08:30,-1.9%, 
2016年12月5日08:30,1.7%, 
2016年11月7日08:30,1.0%, 
2016年10月4日08:30,-0.3%, 
2016年9月5日09:30,1.8%, 
2016年8月8日09:30,-0.8%, 
2016年7月4日09:30,0.5%, 
2016年6月6日09:30,2.4%, 
2016年5月9日09:30,-0.8%, 
2016年4月4日09:30,0.2%, 
2016年3月7日08:30,-1.2%, 
2016年2月8日08:30,1.0%, 
2016年1月11日08:30,-0.1%, 
2015年12月7日08:30,1.3%, 
2015年11月9日08:30,0.4%, 
2015年10月5日08:30,3.9%, 
2015年9月7日09:30,1.0%, 
2015年8月3日09:30,-0.4%, 
2015年7月6日09:30,1.3%, 
2015年6月9日09:30,0.0%, 
2015年5月4日09:30,2.3%, 
2015年4月7日09:30,-1.4%, 
2015年3月9日08:30,0.9%, 
2015年2月9日08:30,1.3%, 
2015年1月12日08:30,1.8%, 
2014年12月8日08:30,0.7%, 
2014年11月3日08:30,0.2%, 
2014年10月6日08:30,0.9%, 
2014年9月8日09:30,1.5%, 
2014年8月4日09:30,0.3%, 
2014年7月7日09:30,4.3%, 
2014年6月10日09:30,-5.6%, 
2014年5月5日09:30,2.2%, 
2014年4月7日09:30,1.4%, 
2014年3月3日08:30,5.1%, 
2014年2月3日08:30,-0.3%, 
2014年1月13日08:30,-0.7%, 
2013年12月9日08:30,-0.8%, 
2013年11月4日08:30,-0.1%, 
2013年10月8日08:30,0.20%, 
2013年9月9日09:30,-2.00%, 
2013年8月6日09:30,-1.10%, 
2013年7月8日09:30,-1.80%, 
2013年6月3日09:30,-2.40%, 
2013年5月6日09:30,-1.30%, 
2013年4月8日09:30,-1.50%, 
2013年3月4日08:30,3.00%, 
2013年2月4日08:30,-0.90%, 
2013年1月14日08:30,-3.80%, 
2012年12月3日08:30,-2.90%, 
2012年11月5日08:30,-4.60%, 
2012年10月8日08:30,-2.80%, 
2012年9月3日09:30,-2.30%, 
2012年8月6日09:30,-0.80%, 
2012年7月9日09:30,-1.20%, 
2012年6月4日09:30,-2.40%, 
2012年5月7日09:30,-3.10%, 
2012年4月10日09:30,1.00%, 
2012年3月5日08:30,3.30%, 
2012年2月6日08:30,6.00%, 
2012年1月16日08:30,-0.90%, 
2011年12月5日08:30,0.00%, 
2011年11月7日08:30,-0.70%, 
2011年10月10日08:30,-2.10%, 
2011年9月5日09:30,-0.60%, 
2011年8月8日09:30,-0.70%, 
2011年7月4日09:30,3.70%, 
2011年6月6日09:30,-6.50%, 
2011年5月9日09:30,1.00%, 
2011年4月4日09:30,1.30%, 
2011年3月7日08:30,1.20%, 
2011年2月7日08:30,2.40%, 
2011年1月11日08:30,2.00%, 
2010年12月6日08:30,2.90%, 
2010年11月8日08:30,0.60%, 
2010年10月5日08:30,0.70%, 
2010年9月6日09:30,2.60%, 
2010年8月9日09:30,1.30%, 
2010年7月5日09:30,2.70%, 
2010年6月7日09:30,4.30%, 
2010年5月10日09:30,-1.20%, 
2010年4月6日09:30,1.80%, 
2010年3月9日08:30,19.10%, 
2010年2月1日08:30,-8.10%, 
2010年1月11日08:30,6.00%, 
2009年12月7日08:30,5.20%, 
2009年11月9日08:30,-1.70%, 
2009年10月5日08:30,4.40%, 
2009年9月7日09:30,4.10%, 
2009年8月3日09:30,-1.70%, 
2009年7月6日09:30,-6.70%, 
2009年6月9日09:30,-0.20%, 
2009年5月4日09:30,-7.50%, 
2009年4月6日09:30,-8.50%, 
2009年3月10日09:30,-10.40%, 
2009年2月9日09:30,-6.30%, 
