时间,今值,预测值
2017年9月29日 (八月)09:30, , 
2017年8月31日 (七月)09:30,0.5%,0.5%
2017年7月31日 (六月)09:30,0.6%,0.4%
2017年6月30日 (五月)09:30,0.4%,0.4%
2017年5月31日 (四月)09:30,0.4%,0.4%
2017年4月28日 (三月)09:30,0.3%,0.5%
2017年3月31日 (二月)08:30,0.3%,0.5%
2017年2月28日 (一月)08:30,0.2%,0.5%
2017年1月31日 (十二月)08:30,0.7%,0.5%
2016年12月30日 (十一月)08:30,0.5%,0.5%
2016年11月30日 (十月)08:30,0.5%,0.4%
2016年10月31日 (九月)08:30,0.4%,0.4%
2016年9月30日 (八月)09:30,0.4%,0.5%
2016年8月31日 (七月)09:30,0.4%,0.4%
2016年7月29日 (六月)09:30,0.2%,0.5%
2016年6月30日 (五月)09:30,0.4%,0.5%
2016年5月31日 (四月)09:30,0.5%,0.4%
2016年4月29日 (三月)09:30,0.4%,0.6%
2016年3月31日 (二月)08:30,0.6%,0.5%
2016年2月29日 (一月)08:30,0.5%,0.5%
2016年1月29日08:30,0.5%,0.6%
2015年12月31日 (十一月)08:30,0.4%,0.6%
2015年11月30日 (十月)08:30,0.7%,0.6%
2015年10月30日 (九月)08:30,0.8%,0.5%
2015年9月30日 (八月)09:30,0.6%,0.5%
2015年8月31日 (七月)09:30,0.6%,0.5%
2015年7月31日 (六月)09:30,0.4%,0.5%
2015年6月30日 (五月)09:30,0.5%,0.5%
2015年5月29日 (四月)09:30,0.3%,0.5%
2015年4月30日 (三月)09:30,0.5%,0.5%
2015年3月31日 (二月)08:30,0.5%,0.5%
2015年2月27日 (一月)08:30,0.5%,0.5%
2015年1月30日 (十二月)08:30,0.5%,0.5%
2014年12月31日 (十一月)08:30,0.5%,0.5%
2014年11月28日 (十月)08:30,0.6%,0.5%
2014年10月31日 (九月)08:30,0.5%,0.4%
2014年9月30日 (八月)09:30,0.4%,0.4%
2014年8月29日09:30,0.4%,0.5%
2014年7月31日09:30,0.7%,0.4%
2014年6月30日09:30,0.4%,0.4%
2014年5月30日09:30,0.5%,0.4%
2014年4月30日09:30,0.4%,0.4%
2014年3月31日08:30,0.4%,0.4%
2014年2月28日08:30,0.4%,0.4%
2014年1月31日08:30,0.5%,0.4%
2013年12月31日08:30,0.3%,0.4%
2013年11月29日08:30,0.3%,0.3%
2013年10月31日08:30,0.3%,0.4%
2013年9月30日09:30,0.3%,0.4%
2013年8月30日09:30,0.4%,0.3%
2013年7月31日09:30,0.4%,0.3%
2013年6月28日09:30,0.3%,0.3%
2013年5月31日09:30,0.3%,0.3%
2013年4月30日09:30,0.2%,0.3%
2013年3月28日08:30,0.2%,0.3%
2013年2月28日08:30,0.2%,0.3%
2013年1月31日08:30,0.4%,0.2%
2012年12月31日08:30,0.0%,0.3%
2012年11月30日08:30,0.1%,0.3%
2012年10月31日08:30,0.3%,0.2%
2012年9月28日09:30,0.2%,0.3%
2012年8月31日09:30,0.2%,0.4%
2012年7月31日09:30,0.3%,0.4%
2012年6月29日09:30,0.5%,0.5%
2012年5月31日09:30,0.4%,0.3%
2012年4月30日09:30,0.4%,0.3%
2012年3月30日08:30,0.4%,0.3%
2012年2月29日08:30,0.2%,0.3%
2012年1月31日08:30,0.3%,0.3%
2011年12月30日08:30,0.3%,0.3%
2011年11月30日08:30,0.2%,0.4%
2011年10月31日08:30,0.5%,0.3%
2011年9月30日09:30,0.2%,0.2%
2011年8月31日09:30,0.2%,0.2%
2011年7月29日09:30,-0.1%,0.4%
2011年6月30日09:30,0.3%,0.4%
2011年5月31日09:30,0.0%,0.5%
2011年4月29日09:30,0.6%,0.4%
2011年3月31日08:30,0.5%,0.3%
2011年2月28日08:30,0.3%,0.3%
2011年1月31日08:30,0.2%,0.3%
2010年12月31日08:30,0.3%,0.2%
2010年11月30日08:30,0.1%,0.2%
2010年10月29日08:30,0.1%,0.3%
2010年9月30日09:30,0.1%,0.3%
2010年8月31日09:30,0.1%,0.3%
2010年7月30日09:30,0.2%,0.4%
2010年6月30日09:30,0.5%,0.4%
2010年5月31日09:30,0.2%,0.5%
2010年4月30日09:30,0.5%,0.4%
2010年3月31日08:30,0.4%,0.4%
2010年2月26日08:30,0.4%,0.2%
2010年1月29日08:30,0.3%,0.1%
2009年12月31日08:30,0.1%,0.1%
2009年11月30日08:30,0.0%,0.2%
2009年10月30日08:30,-0.2%,0.2%
2009年9月30日09:30,0.1%,0.2%
2009年8月31日09:30,0.2%,0.2%
2009年7月31日09:30,0.1%,0.1%
2009年6月30日09:30,-0.1%,0.2%
2009年5月29日09:30,0.1%,0.2%
2009年4月30日09:30,0.1%,0.3%
2009年3月31日08:30,0.0%,0.5%
2009年2月27日08:30,0.6%,0.3%
2009年1月30日08:30,-0.3%,0.5%
2008年12月31日08:30,0.4%,0.5%
2008年11月28日08:30,0.6%,0.5%
2008年10月31日08:30,0.7%,0.4%
2008年9月30日09:30,0.5%,0.5%
2008年8月29日09:30,0.5%,0.5%
2008年7月31日09:30,0.4%,0.5%
2008年7月1日 (六月)17:00,1.20%, 
2008年6月1日 (五月)17:00,1.00%, 
2008年5月1日 (四月)17:00,1.00%, 
2008年4月1日 (三月)17:00,1.20%, 
2008年3月1日 (二月)17:00,1.30%, 
2008年2月1日 (一月)17:00,1.40%, 
2008年1月1日 (十二月)17:00,1.60%, 
2007年12月1日 (十一月)17:00,2.30%, 
2007年11月1日 (十月)17:00,1.50%, 
2007年10月1日 (九月)17:00,1.50%, 
2007年9月1日 (八月)17:00,1.90%, 
2007年8月1日 (七月)17:00,1.10%, 
2007年7月1日 (六月)17:00,1.90%, 
2007年6月1日 (五月)17:00,0.40%, 
2007年5月1日 (四月)17:00,1.40%, 
2007年4月1日 (三月)17:00,1.00%, 
2007年3月1日 (二月)17:00,1.10%, 
2007年2月1日 (一月)17:00,1.20%, 
2007年1月1日 (十二月)17:00,1.10%, 
2006年12月1日 (十一月)17:00,1.10%, 
2006年11月1日 (十月)17:00,0.80%, 
2006年10月1日 (九月)17:00,1.00%, 
2006年9月1日 (八月)17:00,0.80%, 
2006年8月1日 (七月)17:00,1.40%, 
2006年7月1日 (六月)17:00,0.90%, 
2006年6月1日 (五月)17:00,1.00%, 
2006年5月1日 (四月)17:00,1.10%, 
2006年4月1日 (三月)17:00,0.80%, 
2006年3月1日 (二月)17:00,1.30%, 
2006年2月1日 (一月)17:00,1.30%, 
2006年1月1日 (十二月)17:00,1.20%, 
2005年12月1日 (十一月)17:00,1.00%, 
2005年11月1日 (十月)17:00,1.10%, 
2005年10月1日 (九月)17:00,1.00%, 
2005年9月1日 (八月)17:00,1.50%, 
2005年8月1日 (七月)17:00,0.80%, 
2005年7月1日 (六月)17:00,0.80%, 
2005年6月1日 (五月)17:00,1.10%, 
2005年5月1日 (四月)17:00,1.20%, 
2005年4月1日 (三月)17:00,1.00%, 
2005年3月1日 (二月)17:00,0.60%, 
2005年2月1日 (一月)17:00,1.10%, 
2005年1月1日 (十二月)17:00,1.00%, 
2004年12月1日 (十一月)17:00,0.80%, 
2004年11月1日 (十月)17:00,1.10%, 
2004年10月1日 (九月)17:00,0.40%, 
2004年9月1日 (八月)17:00,1.10%, 
2004年8月1日 (七月)17:00,0.80%, 
2004年7月1日 (六月)17:00,1.00%, 
2004年6月1日 (五月)17:00,1.10%, 
2004年5月1日 (四月)17:00,1.10%, 
2004年4月1日 (三月)17:00,1.00%, 
2004年3月1日 (二月)17:00,0.40%, 
2004年2月1日 (一月)17:00,1.00%, 
2004年1月1日 (十二月)17:00,1.00%, 
2003年12月1日 (十一月)17:00,0.90%, 
2003年11月1日 (十月)17:00,1.00%, 
2003年10月1日 (九月)17:00,1.20%, 
2003年9月1日 (八月)17:00,0.90%, 
2003年8月1日 (七月)17:00,-0.40%, 
2003年7月1日 (六月)17:00,1.00%, 
2003年6月1日 (五月)17:00,0.70%, 
2003年5月1日 (四月)17:00,0.10%, 
2003年4月1日 (三月)17:00,1.20%, 
2003年3月1日 (二月)17:00,1.10%, 
2003年2月1日 (一月)17:00,1.20%, 
2003年1月1日 (十二月)17:00,0.80%, 
2002年12月1日 (十一月)17:00,0.00%, 
2002年11月1日 (十月)17:00,0.20%, 
2002年10月1日 (九月)17:00,1.60%, 
2002年9月1日 (八月)17:00,0.60%, 
2002年8月1日 (七月)17:00,0.80%, 
2002年7月1日 (六月)17:00,1.10%, 
2002年6月1日 (五月)17:00,0.80%, 
2002年5月1日 (四月)17:00,2.80%, 
2002年4月1日 (三月)17:00,0.80%, 
2002年3月1日 (二月)17:00,0.60%, 
2002年2月1日 (一月)17:00,0.70%, 
2002年1月1日 (十二月)17:00,0.10%, 
2001年12月1日 (十一月)17:00,1.10%, 
2001年11月1日 (十月)17:00,0.50%, 
2001年10月1日 (九月)17:00,1.20%, 
2001年9月1日 (八月)17:00,0.70%, 
2001年8月1日 (七月)17:00,0.00%, 
2001年7月1日 (六月)17:00,0.60%, 
2001年6月1日 (五月)17:00,0.90%, 
2001年5月1日 (四月)17:00,0.00%, 
2001年4月1日 (三月)17:00,0.60%, 
2001年3月1日 (二月)17:00,1.40%, 
2001年2月1日 (一月)17:00,0.60%, 
2001年1月1日 (十二月)17:00,0.90%, 
2000年12月1日 (十一月)17:00,0.50%, 
2000年11月1日 (十月)17:00,0.90%, 
2000年10月1日 (九月)17:00,0.40%, 
2000年9月1日 (八月)17:00,1.10%, 
2000年8月1日 (七月)17:00,1.10%, 
2000年7月1日 (六月)17:00,1.10%, 
2000年6月1日 (五月)17:00,1.20%, 
2000年5月1日 (四月)17:00,0.60%, 
2000年4月1日 (三月)17:00,0.60%, 
2000年3月1日 (二月)17:00,1.30%, 
2000年2月1日 (一月)17:00,1.00%, 
2000年1月1日 (十二月)17:00,0.10%, 
1999年12月1日 (十一月)17:00,0.70%, 
1999年11月1日 (十月)17:00,0.80%, 
1999年10月1日 (九月)17:00,0.90%, 
1999年9月1日 (八月)17:00,0.60%, 
1999年8月1日 (七月)17:00,0.60%, 
1999年7月1日 (六月)17:00,0.70%, 
1999年6月1日 (五月)17:00,0.40%, 
1999年5月1日 (四月)17:00,1.00%, 
1999年4月1日 (三月)17:00,0.90%, 
1999年3月1日 (二月)17:00,0.50%, 
1999年2月1日 (一月)17:00,1.00%, 
1999年1月1日 (十二月)17:00,1.10%, 
1998年12月1日 (十一月)17:00,0.80%, 
1998年11月1日 (十月)17:00,0.60%, 
1998年10月1日 (九月)17:00,0.80%, 
1998年9月1日 (八月)17:00,0.50%, 
1998年8月1日 (七月)17:00,0.80%, 
1998年7月1日 (六月)17:00,0.80%, 
1998年6月1日 (五月)17:00,0.50%, 
1998年5月1日 (四月)17:00,0.80%, 
1998年4月1日 (三月)17:00,0.90%, 
1998年3月1日 (二月)17:00,0.50%, 
1998年2月1日 (一月)17:00,0.60%, 
1998年1月1日 (十二月)17:00,1.30%, 
1997年12月1日 (十一月)17:00,1.00%, 
1997年11月1日 (十月)17:00,0.70%, 
1997年10月1日 (九月)17:00,0.90%, 
1997年9月1日 (八月)17:00,0.80%, 
1997年8月1日 (七月)17:00,1.20%, 
1997年7月1日 (六月)17:00,0.70%, 
1997年6月1日 (五月)17:00,0.90%, 
1997年5月1日 (四月)17:00,0.70%, 
1997年4月1日 (三月)17:00,0.70%, 
1997年3月1日 (二月)17:00,0.30%, 
1997年2月1日 (一月)17:00,0.70%, 
1997年1月1日 (十二月)17:00,0.60%, 
1996年12月1日 (十一月)17:00,0.40%, 
1996年11月1日 (十月)17:00,0.80%, 
1996年10月1日 (九月)17:00,0.70%, 
1996年9月1日 (八月)17:00,0.50%, 
1996年8月1日 (七月)17:00,1.20%, 
1996年7月1日 (六月)17:00,0.80%, 
1996年6月1日 (五月)17:00,0.50%, 
1996年5月1日 (四月)17:00,0.90%, 
1996年4月1日 (三月)17:00,1.00%, 
1996年3月1日 (二月)17:00,1.20%, 
1996年2月1日 (一月)17:00,1.00%, 
1996年1月1日 (十二月)17:00,1.30%, 
1995年12月1日 (十一月)17:00,1.00%, 
1995年11月1日 (十月)17:00,0.80%, 
1995年10月1日 (九月)17:00,1.70%, 
1995年9月1日 (八月)17:00,0.80%, 
1995年8月1日 (七月)17:00,0.40%, 
1995年7月1日 (六月)17:00,0.90%, 
1995年6月1日 (五月)17:00,1.00%, 
1995年5月1日 (四月)17:00,0.70%, 
1995年4月1日 (三月)17:00,0.70%, 
1995年3月1日 (二月)17:00,0.80%, 
1995年2月1日 (一月)17:00,0.50%, 
1995年1月1日 (十二月)17:00,0.50%, 
1994年12月1日 (十一月)17:00,0.80%, 
1994年11月1日 (十月)17:00,1.10%, 
1994年10月1日 (九月)17:00,0.50%, 
1994年9月1日 (八月)17:00,0.90%, 
1994年8月1日 (七月)17:00,0.50%, 
1994年7月1日 (六月)17:00,0.90%, 
1994年6月1日 (五月)17:00,0.80%, 
1994年5月1日 (四月)17:00,0.80%, 
1994年4月1日 (三月)17:00,0.80%, 
1994年3月1日 (二月)17:00,0.50%, 
1994年2月1日 (一月)17:00,0.50%, 
1994年1月1日 (十二月)17:00,0.50%, 
1993年12月1日 (十一月)17:00,0.70%, 
1993年11月1日 (十月)17:00,0.40%, 
1993年10月1日 (九月)17:00,0.50%, 
1993年9月1日 (八月)17:00,0.50%, 
1993年8月1日 (七月)17:00,-0.10%, 
1993年7月1日 (六月)17:00,0.20%, 
1993年6月1日 (五月)17:00,0.40%, 
1993年5月1日 (四月)17:00,0.30%, 
1993年4月1日 (三月)17:00,0.30%, 
1993年3月1日 (二月)17:00,0.50%, 
1993年2月1日 (一月)17:00,0.60%, 
1993年1月1日 (十二月)17:00,-0.40%, 
1992年12月1日 (十一月)17:00,0.00%, 
