时间,今值,预测值
2017年8月30日 (七月)09:30,-1.7%,-5.0%
2017年8月2日 (六月)09:30,10.9%,1.5%
2017年7月3日 (五月)09:30,-5.6%,-1.3%
2017年5月30日 (四月)09:30,4.4%,3.0%
2017年5月8日 (三月)09:30,-13.4%,-4.0%
2017年4月3日 (二月)09:30,8.3%,-0.5%
2017年3月2日 (一月)08:30,1.8%,-0.4%
2017年2月2日 (十二月)08:30,-1.2%,-2.0%
2017年1月9日 (十一月)08:30,7.0%,4.6%
2016年11月30日 (十月)08:30,-12.6%,1.5%
2016年11月2日 (九月)08:30,-8.7%,-3.0%
2016年10月4日 (八月)08:30,-1.8%,-7.0%
2016年8月30日 (七月)09:30,11.3%,-0.5%
2016年8月2日 (六月)09:30,-2.9%,0.5%
2016年7月4日 (五月)09:30,-5.2%,-3.3%
2016年5月31日 (四月)09:30,3.0%,-3.0%
2016年5月3日 (三月)09:30,3.7%,-3.0%
2016年4月4日 (二月)09:30,3.1%,2.0%
2016年3月1日 (一月)08:30,-7.5%,-2.0%
2016年2月3日 (十二月)08:30,9.2%,5.0%
2016年1月7日 (十一月)08:30,-12.7%,-3.0%
2015年12月1日 (十月)08:30,3.9%,-2.3%
2015年11月2日 (九月)08:30,2.2%,2.0%
2015年9月30日 (八月)09:30,-6.9%,-2.0%
2015年9月1日 (七月)09:30,4.2%,2.5%
2015年7月30日 (六月)09:30,-8.2%,-0.8%
2015年7月1日 (五月)09:30,2.4%,1.0%
2015年6月1日 (四月)09:30,-4.4%,-2.0%
2015年5月4日 (三月)09:30,2.8%,-2.0%
2015年4月1日 (二月)08:30,-3.2%,-4.0%
2015年3月3日 (一月)08:30,7.9%,-1.8%
2015年2月3日 (十二月)08:30,-3.3%,-5.0%
2015年1月8日 (十一月)08:30,7.5%,-3.5%
2014年12月2日 (十月)08:30,11.4%,5.2%
2014年11月3日 (九月)08:30,-11.0%,-1.0%
2014年10月2日 (八月)09:30,3.0%,1.0%
2014年9月2日09:30,2.5%,1.5%
2014年7月31日09:30,-5.0%,-2.0%
2014年7月3日09:30,9.9%,3.0%
2014年6月2日09:30,-5.6%,1.8%
2014年5月5日09:30,-3.5%,1.0%
2014年4月2日08:30,-5.0%,-2.5%
2014年3月4日08:30,6.8%,2.0%
2014年2月3日08:30,-2.9%,-0.3%
2014年1月9日08:30,-1.5%,-1.0%
2013年12月2日08:30,-1.8%,-5.0%
2013年10月31日08:30,14.4%,2.7%
2013年10月2日09:30,-4.7%,-2.0%
2013年9月2日09:30,10.8%,4.0%
2013年7月30日09:30,-6.9%,2.3%
2013年7月4日09:30,-1.1%,-1.5%
2013年5月30日09:30,9.1%,4.0%
2013年5月2日09:30,-5.5%,1.3%
2013年4月4日08:30,3.1%,2.4%
2013年3月4日08:30,-2.4%,2.8%
2013年2月4日08:30,-4.4%,1.0%
2013年1月10日08:30,2.9%,5.0%
2012年12月4日08:30,-7.6%,-2.0%
2012年10月31日08:30,7.8%,1.0%
2012年10月4日09:30,6.4%,4.7%
2012年8月30日09:30,-17.3%,-5.0%
2012年7月31日09:30,-2.5%,-14.2%
2012年7月3日09:30,27.3%,5.1%
2012年5月31日09:30,-8.7%,0.7%
2012年5月7日09:30,7.4%,3.1%
2012年4月2日09:30,-7.8%,0.3%
2012年3月1日08:30,0.9%,2.1%
2012年2月2日08:30,-1.0%,2.1%
2012年1月10日08:30,8.4%,6.0%
2011年12月1日08:30,-10.7%,3.6%
2011年11月2日08:30,-13.6%,-4.7%
2011年10月4日08:30,11.4%,1.1%
2011年8月30日09:30,1.0%,2.1%
2011年8月2日09:30,-3.5%,3.0%
2011年7月4日09:30,-7.9%,-0.5%
2011年5月31日09:30,-1.3%,-1.8%
2011年5月5日09:30,9.1%,5.0%
2011年3月31日08:30,-7.4%,4.0%
2011年3月3日08:30,-15.9%,-3.1%
2011年2月3日08:30,8.7%,1.3%
2011年1月6日08:30,-4.2%,-3.5%
2010年11月30日08:30,9.3%,1.4%
2010年11月3日08:30,-6.6%,0.0%
2010年9月30日09:30,-4.7%,0.0%
2010年8月31日09:30,2.3%,-0.6%
2010年8月3日09:30,-3.3%,2.1%
2010年7月1日09:30,-6.6%,0.0%
2010年6月1日09:30,-14.8%,-4.9%
2010年5月5日09:30,15.3%,0.9%
2010年3月31日08:30,-3.3%,2.0%
2010年3月2日08:30,-7.0%,0.6%
2010年2月4日08:30,2.2%,0.0%
2010年1月6日08:30,5.9%,3.0%
2009年12月1日08:30,-0.6%,2.0%
2009年11月4日08:30,2.7%,2.4%
2009年9月30日09:30,-0.1%,2.7%
2009年9月1日09:30,7.7%,3.5%
2009年7月30日09:30,9.3%,8.0%
2009年7月1日09:30,-12.5%,3.2%
2009年6月2日09:30,5.1%,2.0%
2009年5月5日09:30,3.5%,2.8%
2009年4月1日08:30,7.8%,1.5%
2009年3月5日08:30,-3.7%,1.3%
2009年2月4日08:30,-2.9%,2.0%
2009年1月8日08:30,-12.8%,-1.3%
2008年12月4日08:30,-5.4%,0.2%
2008年11月5日08:30,-7.2%,-1.1%
2008年9月30日09:30,-3.7%,-1.0%
2008年9月2日09:30,-2.3%,0.3%
2008年7月30日09:30,-0.7%,1.0%
2008年7月2日09:30,-6.5%,-3.3%
2008年6月3日10:30,7.8%,-0.9%
2008年5月1日09:30,-5.7%,-0.4%
2008年4月7日09:30,0.1%,0.0%
2008年3月6日08:30,1.9%,5.5%
2008年2月1日 (一月)17:00,1.30%, 
2008年1月1日 (十二月)17:00,-3.00%, 
2007年12月1日 (十一月)17:00,7.40%, 
2007年11月1日 (十月)17:00,-0.70%, 
2007年10月1日 (九月)17:00,6.60%, 
2007年9月1日 (八月)17:00,-1.50%, 
2007年8月1日 (七月)17:00,-0.50%, 
2007年7月1日 (六月)17:00,4.90%, 
2007年6月1日 (五月)17:00,-1.40%, 
2007年5月1日 (四月)17:00,3.60%, 
2007年4月1日 (三月)17:00,-10.20%, 
2007年3月1日 (二月)17:00,9.00%, 
2007年2月1日 (一月)17:00,0.30%, 
2007年1月1日 (十二月)17:00,-2.00%, 
2006年12月1日 (十一月)17:00,6.30%, 
2006年11月1日 (十月)17:00,-6.50%, 
2006年10月1日 (九月)17:00,1.40%, 
2006年9月1日 (八月)17:00,-7.80%, 
2006年8月1日 (七月)17:00,3.10%, 
2006年7月1日 (六月)17:00,1.10%, 
2006年6月1日 (五月)17:00,6.70%, 
2006年5月1日 (四月)17:00,-4.70%, 
2006年4月1日 (三月)17:00,2.60%, 
2006年3月1日 (二月)17:00,-0.70%, 
2006年2月1日 (一月)17:00,1.30%, 
