时间,今值,预测值
2017年9月4日09:00,0.1%, 
2017年7月31日09:00,0.1%, 
2017年7月3日09:00,0.1%, 
2017年6月5日09:00,0.0%, 
2017年5月1日09:00,0.5%, 
2017年4月3日09:00,0.1%, 
2017年3月6日08:00,-0.3%, 
2017年2月6日08:00,0.6%, 
2017年1月16日08:00,0.5%, 
2016年12月5日08:00,0.1%, 
2016年10月31日08:00,0.2%, 
2016年10月3日08:00,0.4%, 
2016年9月5日 (八月)09:00,0.2%, 
2016年8月1日 (七月)09:00,-0.3%, 
2016年7月4日 (六月)09:00,0.6%, 
2016年6月6日 (五月)09:00,-0.2%, 
2016年5月2日 (四月)09:00,0.1%, 
2016年4月4日 (三月)09:00,0.0%, 
2016年2月29日 (二月)08:00,-0.2%, 
2016年2月1日07:30,0.4%, 
2016年1月18日 (十二月)07:30,0.2%, 
2015年11月30日 (十一月)07:30,0.1%, 
2015年11月2日 (十月)07:30,0.0%, 
2015年10月5日 (九月)07:30,0.3%, 
2015年8月31日 (八月)08:30,0.1%, 
2015年8月3日 (七月)08:30,0.2%, 
2015年7月6日 (六月)08:30,0.1%, 
2015年6月1日 (五月)08:30,0.3%, 
2015年5月4日 (四月)08:30,0.3%, 
2015年4月2日 (三月)07:30,0.4%, 
2015年3月2日 (二月)07:30,0.0%, 
2015年2月2日 (一月)07:30,0.1%, 
2015年1月19日 (十二月)07:30,0.0%, 
2014年12月1日07:30,0.1%, 
2014年11月3日07:30,0.2%, 
2014年10月6日07:30,0.1%, 
2014年9月1日08:30,0.0%, 
2014年8月4日08:30,0.2%, 
2014年6月30日08:30,0.0%, 
2014年6月2日08:30,0.3%, 
2014年5月5日08:30,0.4%, 
2014年3月31日07:30,0.2%, 
2014年3月3日07:30,0.2%, 
2014年2月3日07:30,0.1%, 
2014年1月20日07:30,0.7%, 
2013年12月2日07:30,0.2%, 
2013年11月4日07:30,0.1%, 
2013年9月30日08:30,0.2%, 
2013年9月2日08:30,0.1%, 
2013年8月5日08:30,0.5%, 
2013年7月1日08:30,0.0%, 
2013年6月3日08:30,0.2%, 
2013年5月6日08:30,0.3%, 
2013年3月28日07:30,0.2%, 
2013年3月4日07:30,0.0%, 
2013年2月4日07:30,0.3%, 
2013年1月14日07:30,0.4%, 
2012年12月3日07:30,-0.1%, 
2012年11月6日07:30,0.1%, 
2012年11月5日07:30,0.1%, 
2012年10月1日08:30,0.2%, 
2012年9月3日08:30,0.6%, 
2012年8月6日08:30,0.2%, 
2012年7月2日08:30,-0.2%, 
2012年6月4日08:30,0.0%, 
2012年4月30日08:30,0.3%, 
2012年4月2日08:30,0.5%, 
2012年3月5日07:30,0.1%, 
2012年2月6日07:30,0.2%, 
2012年1月16日07:30,0.5%, 
2011年12月5日07:30,-0.1%, 
2011年10月31日07:30,0.1%, 
2011年10月3日07:30,0.1%, 
2011年9月5日08:30,-0.1%, 
2011年8月1日08:30,0.3%, 
2011年7月4日08:30,0.0%, 
2011年6月6日08:30,0.2%, 
2011年5月2日08:30,0.3%, 
2011年4月4日08:30,0.6%, 
2011年2月28日07:30,0.2%, 
2011年1月31日07:30,0.4%, 
2011年1月17日07:30,0.2%, 
2010年12月6日07:30,0.4%, 
2010年11月1日07:30,0.3%, 
2010年10月4日07:30,0.1%, 
2010年9月6日08:30,0.2%, 
2010年8月2日08:30,0.1%, 
2010年7月5日08:30,0.3%, 
2010年5月31日08:30,0.5%, 
2010年5月3日08:30,0.4%, 
2010年4月1日07:30,0.5%, 
2010年3月1日07:30,0.1%, 
2010年2月1日07:30,0.8%, 
2010年1月18日07:30,0.3%, 
2009年11月30日07:30,0.3%, 
2009年11月2日07:30,-0.3%, 
2009年10月2日08:30,0.0%, 
2009年8月31日08:30,0.0%, 
2009年7月31日08:30,0.9%, 
2009年7月6日08:30,0.4%, 
2009年6月1日08:30,-0.3%, 
2009年5月4日08:30,0.0%, 
2009年4月6日08:30,-0.1%, 
2009年3月2日07:30,0.7%, 
2009年2月2日07:30,0.8%, 
2009年1月19日07:30,-0.2%, 
2008年12月1日07:30,-0.6%, 
2008年11月3日07:30,-0.2%, 
2008年10月3日08:30,0.4%, 
2008年9月1日08:30,0.1%, 
2008年8月1日09:30,0.4%, 
2008年6月30日08:30,0.5%, 
2008年6月2日09:30,0.3%, 
2008年5月5日08:30,0.5%,0.0%
2008年3月31日07:30,0.4%,0.0%
2008年3月3日07:30,0.3%,0.0%
2008年2月1日 (一月)17:00,0.30%, 
2008年1月1日 (十二月)17:00,0.60%, 
2007年12月1日 (十一月)17:00,0.30%, 
2007年11月1日 (十月)17:00,0.30%, 
2007年10月1日 (九月)17:00,0.20%, 
2007年9月1日 (八月)17:00,0.50%, 
2007年8月1日 (七月)17:00,0.60%, 
2007年7月1日 (六月)17:00,0.20%, 
2007年6月1日 (五月)17:00,0.10%, 
2007年5月1日 (四月)17:00,0.10%, 
2007年4月1日 (三月)17:00,0.50%, 
2007年3月1日 (二月)17:00,0.20%, 
2007年2月1日 (一月)17:00,0.00%, 
2007年1月1日 (十二月)17:00,0.30%, 
2006年12月1日 (十一月)17:00,0.20%, 
2006年11月1日 (十月)17:00,0.00%, 
2006年10月1日 (九月)17:00,0.00%, 
2006年9月1日 (八月)17:00,0.60%, 
2006年8月1日 (七月)17:00,0.20%, 
2006年7月1日 (六月)17:00,0.20%, 
2006年6月1日 (五月)17:00,0.60%, 
2006年5月1日 (四月)17:00,0.60%, 
2006年4月1日 (三月)17:00,0.30%, 
2006年3月1日 (二月)17:00,0.00%, 
2006年2月1日 (一月)17:00,0.70%, 
2006年1月1日 (十二月)17:00,0.00%, 
2005年12月1日 (十一月)17:00,-0.10%, 
2005年11月1日 (十月)17:00,-0.10%, 
2005年10月1日 (九月)17:00,0.70%, 
2005年9月1日 (八月)17:00,0.30%, 
2005年8月1日 (七月)17:00,0.40%, 
2005年7月1日 (六月)17:00,0.40%, 
2005年6月1日 (五月)17:00,-0.20%, 
2005年5月1日 (四月)17:00,0.20%, 
2005年4月1日 (三月)17:00,0.50%, 
2005年3月1日 (二月)17:00,0.20%, 
2005年2月1日 (一月)17:00,0.60%, 
2005年1月1日 (十二月)17:00,-0.10%, 
2004年12月1日 (十一月)17:00,0.40%, 
2004年11月1日 (十月)17:00,0.10%, 
2004年10月1日 (九月)17:00,0.20%, 
2004年9月1日 (八月)17:00,0.20%, 
2004年8月1日 (七月)17:00,0.00%, 
2004年7月1日 (六月)17:00,-0.20%, 
2004年6月1日 (五月)17:00,0.30%, 
2004年5月1日 (四月)17:00,0.10%, 
2004年4月1日 (三月)17:00,0.40%, 
2004年3月1日 (二月)17:00,0.10%, 
2004年2月1日 (一月)17:00,0.40%, 
2004年1月1日 (十二月)17:00,0.10%, 
2003年12月1日 (十一月)17:00,0.40%, 
2003年11月1日 (十月)17:00,-0.10%, 
2003年10月1日 (九月)17:00,0.20%, 
2003年9月1日 (八月)17:00,0.20%, 
2003年8月1日 (七月)17:00,0.00%, 
2003年7月1日 (六月)17:00,0.40%, 
2003年6月1日 (五月)17:00,0.00%, 
2003年5月1日 (四月)17:00,0.10%, 
2003年4月1日 (三月)17:00,0.10%, 
2003年3月1日 (二月)17:00,0.70%, 
2003年2月1日 (一月)17:00,0.20%, 
2003年1月1日 (十二月)17:00,0.60%, 
2002年12月1日 (十一月)17:00,0.00%, 
2002年11月1日 (十月)17:00,0.30%, 
2002年10月1日 (九月)17:00,0.20%, 
