时间,今值,预测值
2017年8月30日 (八月)20:15,237K,183K
2017年8月2日 (七月)20:15,178K,185K
2017年7月6日 (六月)20:15,158K,185K
2017年6月1日 (五月)20:15,253K,185K
2017年5月3日 (四月)20:15,177K,175K
2017年4月5日 (三月)20:15,263K,187K
2017年3月8日 (二月)21:15,298K,190K
2017年2月1日 (一月)21:15,246K,165K
2017年1月5日 (十二月)21:15,153K,170K
2016年11月30日 (十一月)21:15,216K,165K
2016年11月2日 (十月)20:15,147K,165K
2016年10月5日 (九月)20:15,154K,166K
2016年8月31日 (八月)20:15,177K,175K
2016年8月3日 (七月)20:15,179K,170K
2016年7月7日 (六月)20:15,172K,159K
2016年6月2日 (五月)20:15,173K,175K
2016年5月4日 (四月)20:15,156K,196K
2016年3月30日 (三月)20:15,200K,194K
2016年3月2日 (二月)21:15,214K,190K
2016年2月3日 (一月)21:15,205K,195K
2016年1月6日 (十二月)21:15,257K,192K
2015年12月2日 (十一月)21:15,217K,190K
2015年11月4日 (十月)21:15,182K,180K
2015年9月30日 (九月)20:15,200K,194K
2015年9月2日 (八月)20:15,190K,201K
2015年8月5日 (七月)20:15,185K,215K
2015年7月1日 (六月)20:15,237K,218K
2015年6月3日 (五月)20:15,201K,200K
2015年5月6日 (四月)20:15,169K,200K
2015年4月1日 (三月)20:15,189K,225K
2015年3月4日 (二月)21:15,212K,220K
2015年2月4日 (一月)21:15,213K,225K
2015年1月7日 (十二月)21:15,241K,226K
2014年12月3日 (十一月)21:15,208K,223K
2014年11月5日 (十月)21:15,230K,220K
2014年10月1日 (九月)20:15,213K,210K
2014年9月4日20:15,204K,220K
2014年7月30日20:15,218K,230K
2014年7月2日20:15,281K,200K
2014年6月4日20:15,179K,210K
2014年4月30日20:15,220K,210K
2014年4月2日20:15,191K,195K
2014年3月5日21:15,139K,160K
2014年2月5日21:15,175K,180K
2014年1月8日21:15,238K,200K
2013年12月4日21:15,215K,173K
2013年10月30日20:15,130K,150K
2013年10月2日20:15,166K,180K
2013年9月5日20:15,176K,180K
2013年7月31日20:15,200K,180K
2013年7月3日20:15,188K,160K
2013年6月5日20:15,135K,165K
2013年5月1日20:15,119K,150K
2013年4月3日20:15,158K,200K
2013年3月6日21:15,198K,170K
2013年1月30日21:15,192K,165K
2013年1月3日21:15,215K,133K
2012年12月5日21:15,118K,125K
2012年11月1日20:15,158K,135K
2012年10月3日20:15,162K,143K
2012年9月6日20:15,201K,140K
2012年8月1日20:15,163K,120K
