时间,今值,预测值
2017年9月12日 (七月)22:00, , 
2017年8月8日 (六月)22:00,6.163M,5.775M
2017年7月11日 (五月)22:00,5.666M,5.950M
2017年6月6日 (四月)22:00,6.044M,5.650M
2017年5月9日 (三月)22:00,5.743M,5.670M
2017年4月11日 (二月)22:00,5.743M,5.655M
2017年3月16日 (一月)22:00,5.626M,5.450M
2017年2月7日 (十二月)23:00,5.501M,5.568M
2017年1月10日 (十一月)23:00,5.522M,5.555M
2016年12月7日 (十月)23:00,5.534M,5.500M
2016年11月8日 (九月)23:00,5.486M,5.508M
2016年10月12日 (八月)22:00,5.443M,5.724M
2016年9月7日 (七月)22:00,5.871M,5.580M
2016年8月10日 (六月)22:00,5.624M,5.574M
2016年7月12日 (五月)22:00,5.500M,5.700M
2016年6月8日 (四月)22:00,5.788M,5.672M
2016年5月10日 (三月)22:00,5.757M,5.431M
2016年4月5日 (二月)22:00,5.445M,5.500M
2016年3月17日 (一月)22:00,5.541M,5.500M
2016年2月9日 (十二月)23:00,5.607M,5.400M
2016年1月12日23:00,5.431M,5.410M
2015年12月8日 (十月)23:00,5.383M,5.500M
2015年11月12日 (九月)23:00,5.530M,5.370M
2015年10月16日 (八月)22:00,5.370M,5.625M
2015年9月9日 (七月)22:00,5.753M,5.288M
2015年8月12日 (六月)22:00,5.249M,5.300M
2015年7月7日 (五月)22:00,5.363M,5.350M
2015年6月9日 (四月)22:00,5.376M,5.030M
2015年5月12日 (三月)22:00,4.994M,5.085M
2015年4月7日 (二月)22:00,5.133M,5.010M
2015年3月10日 (一月)22:00,4.998M,5.053M
2015年2月10日 (十二月)23:00,5.028M,4.990M
2015年1月13日 (十一月)23:00,4.972M,4.863M
2014年12月9日 (十月)23:00,4.834M,4.790M
2014年11月13日 (九月)23:00,4.735M,4.850M
2014年10月7日 (八月)22:00,4.835M,4.710M
2014年9月9日22:00,4.673M,4.720M
2014年8月12日22:00,4.67M,4.74M
2014年7月8日22:00,4.64M,4.53M
2014年6月10日22:00,4.46M,4.04M
2014年5月9日22:00,4.01M,4.21M
2014年4月8日22:00,4.17M,3.99M
2014年3月11日22:00,3.97M,4.03M
2014年2月11日23:00,3.99M,4.04M
2014年1月17日23:00,4.00M,3.97M
2013年12月10日23:00,3.93M,3.96M
2013年11月22日23:00,3.91M,3.89M
2013年10月24日23:00,3.88M,3.77M
2013年9月10日23:00,3.69M,3.96M
2013年8月6日23:00,3.94M,3.91M
2013年7月1日 (六月)17:00,3.86M, 
2013年6月1日 (五月)17:00,3.83M, 
2013年5月1日 (四月)17:00,3.84M, 
2013年4月1日 (三月)17:00,3.89M, 
2013年3月1日 (二月)17:00,4.02M, 
2013年2月1日 (一月)17:00,3.77M, 
2013年1月1日 (十二月)17:00,3.64M, 
2012年12月1日 (十一月)17:00,3.74M, 
2012年11月1日 (十月)17:00,3.73M, 
2012年10月1日 (九月)17:00,3.61M, 
2012年9月1日 (八月)17:00,3.64M, 
2012年8月1日 (七月)17:00,3.59M, 
2012年7月1日 (六月)17:00,3.79M, 
2012年6月1日 (五月)17:00,3.70M, 
2012年5月1日 (四月)17:00,3.63M, 
2012年4月1日 (三月)17:00,3.84M, 
2012年3月1日 (二月)17:00,3.52M, 
2012年2月1日 (一月)17:00,3.65M, 
2012年1月1日 (十二月)17:00,3.53M, 
2011年12月1日 (十一月)17:00,3.22M, 
2011年11月1日 (十月)17:00,3.42M, 
2011年10月1日 (九月)17:00,3.56M, 
2011年9月1日 (八月)17:00,3.14M, 
2011年8月1日 (七月)17:00,3.42M, 
2011年7月1日 (六月)17:00,3.19M, 
2011年6月1日 (五月)17:00,3.03M, 
2011年5月1日 (四月)17:00,3.10M, 
2011年4月1日 (三月)17:00,3.13M, 
2011年3月1日 (二月)17:00,3.07M, 
2011年2月1日 (一月)17:00,2.92M, 
2011年1月1日 (十二月)17:00,2.91M, 
2010年12月1日 (十一月)17:00,3.07M, 
2010年11月1日 (十月)17:00,3.03M, 
2010年10月1日 (九月)17:00,2.78M, 
2010年9月1日 (八月)17:00,2.87M, 
2010年8月1日 (七月)17:00,2.93M, 
2010年7月1日 (六月)17:00,2.73M, 
2010年6月1日 (五月)17:00,2.90M, 
2010年5月1日 (四月)17:00,3.10M, 
2010年4月1日 (三月)17:00,2.65M, 
2010年3月1日 (二月)17:00,2.56M, 
2010年2月1日 (一月)17:00,2.71M, 
2010年1月1日 (十二月)17:00,2.49M, 
2009年12月1日 (十一月)17:00,2.42M, 
2009年11月1日 (十月)17:00,2.38M, 
2009年10月1日 (九月)17:00,2.43M, 
2009年9月1日 (八月)17:00,2.29M, 
2009年8月1日 (七月)17:00,2.15M, 
2009年7月1日 (六月)17:00,2.39M, 
2009年6月1日 (五月)17:00,2.41M, 
2009年5月1日 (四月)17:00,2.27M, 
2009年4月1日 (三月)17:00,2.49M, 
2009年3月1日 (二月)17:00,2.79M, 
2009年2月1日 (一月)17:00,2.76M, 
2009年1月1日 (十二月)17:00,3.05M, 
2008年12月1日 (十一月)17:00,3.06M, 
