时间,今值,预测值
2017年9月6日 (八月)22:00,55.3,55.4
2017年8月3日 (七月)22:00,53.9,57.0
2017年7月6日 (六月)22:00,57.4,56.5
2017年6月5日 (五月)22:00,56.9,57.0
2017年5月3日 (四月)22:00,57.5,55.8
2017年4月5日 (三月)22:00,55.2,57.0
2017年3月3日 (二月)23:00,57.6,56.5
2017年2月3日 (一月)23:00,56.5,57.0
2017年1月5日 (十二月)23:00,57.2,56.6
2016年12月5日 (十一月)23:00,57.2,55.4
2016年11月3日 (十月)22:00,54.8,56.0
2016年10月5日 (九月)22:00,57.1,53.0
2016年9月6日 (八月)22:00,51.4,55.0
2016年8月3日 (七月)22:00,55.5,56.0
2016年7月6日 (六月)22:00,56.5,53.3
2016年6月3日 (五月)22:00,52.9,55.5
2016年5月4日 (四月)22:00,55.7,54.7
2016年4月5日 (三月)22:00,54.5,54.0
2016年3月3日 (二月)23:00,53.4,53.2
2016年2月3日 (一月)23:00,53.5,55.1
2016年1月6日 (十二月)23:00,55.3,56.0
2015年12月3日 (十一月)23:00,55.9,58.0
2015年11月4日 (十月)23:00,59.1,56.5
2015年10月5日 (九月)22:00,56.9,57.5
2015年9月3日 (八月)22:00,59.0,58.1
2015年8月5日 (七月)22:00,60.3,56.2
2015年7月6日 (六月)22:00,56.0,56.2
2015年6月3日 (五月)22:00,55.7,57.0
2015年5月5日 (四月)22:00,57.8,56.2
2015年4月6日 (三月)22:00,56.5,56.5
2015年3月4日 (二月)23:00,56.9,56.5
2015年2月4日 (一月)23:00,56.7,56.3
2015年1月6日 (十二月)23:00,56.2,58.0
2014年12月3日 (十一月)23:00,59.3,57.5
2014年11月5日 (十月)23:00,57.1,58.0
2014年10月3日 (九月)22:00,58.6,58.5
2014年9月4日22:00,59.6,57.5
2014年8月5日22:00,58.7,56.3
2014年7月3日22:00,56.0,56.3
2014年6月4日22:00,56.3,55.5
2014年5月5日22:00,55.2,54.1
2014年4月3日22:00,53.1,53.5
2014年3月5日23:00,51.6,53.5
2014年2月5日23:00,54.0,53.7
2014年1月6日23:00,53.0,54.5
2013年12月4日23:00,53.9,55.0
2013年11月5日23:00,55.4,54.0
2013年10月3日22:00,54.4,57.4
2013年9月5日22:00,58.6,55.0
2013年8月5日22:00,56.0,53.0
2013年7月3日22:00,52.2,54.0
2013年6月5日22:00,53.7,53.5
2013年5月3日22:00,53.1,54.0
2013年4月3日22:00,54.4,55.8
2013年3月5日23:00,56.0,55.0
2013年2月5日23:00,55.2,55.2
2013年1月4日23:00,56.1,54.2
2012年12月5日23:00,54.7,53.5
2012年11月5日23:00,54.2,54.5
2012年10月3日22:00,55.1,53.2
2012年9月6日22:00,53.7,52.5
2012年8月3日22:00,52.6,52.0
2012年7月5日22:00,52.1,53.0
2012年6月5日22:00,53.7,53.5
2012年5月3日22:00,53.5,55.5
2012年4月4日22:00,56.0,57.0
2012年3月5日23:00,57.3,56.1
2012年2月3日23:00,56.8,53.2
2012年1月5日23:00,52.6,53.0
2011年12月5日23:00,52.0,53.4
