时间,今值,预测值
2017年9月22日 (九月)21:45, , 
2017年9月6日 (八月)21:45,56.0,56.8
2017年8月23日 (八月)21:45  ,56.9,54.9
2017年8月3日 (七月)21:45,54.7,54.2
2017年7月24日 (七月)21:45  ,54.2,54.0
2017年7月6日 (六月)21:45,54.2,53.0
2017年6月23日 (六月)21:45  ,53.0,53.7
2017年6月5日 (五月)21:45,53.6,54.1
2017年5月23日 (五月)21:45  ,54.0,53.1
2017年5月3日 (四月)21:45,53.1,52.5
2017年4月21日 (四月)21:45  ,52.5,53.0
2017年4月5日 (三月)21:45,52.8,53.1
2017年3月24日 (三月)21:45  ,52.9,54.2
2017年3月3日 (二月)22:45,53.8,53.9
2017年2月21日 (二月)22:45  ,53.9,55.8
2017年2月3日 (一月)22:45,55.6,55.1
2017年1月26日 (一月)22:45  ,55.1,54.4
2017年1月5日 (十二月)22:45,53.9,53.4
2016年12月19日 (十二月)22:45  ,53.4,55.2
2016年12月5日 (十一月)22:45,54.6,54.9
2016年11月25日 (十一月)22:45  ,54.7,54.8
2016年11月3日 (十月)21:45,54.8,54.8
2016年10月26日 (十月)21:45  ,54.8,52.3
2016年10月5日 (九月)21:45,52.3,51.9
2016年9月27日 (九月)21:45  ,51.9,51.1
2016年9月3日18:55,51.0,50.9
2016年8月25日 (八月)21:45  ,50.9,52.0
2016年8月3日 (七月)21:45,51.4,51.0
2016年7月26日 (七月)21:45  ,50.9,52.0
2016年7月6日 (六月)21:45,51.4,51.5
2016年6月27日 (六月)21:45  ,51.3,52.0
2016年6月3日 (五月)21:45,51.3,51.2
2016年5月25日 (五月)21:45  ,51.2,53.1
2016年5月4日 (四月)21:45,52.8,52.1
2016年4月26日 (四月)21:45  ,52.1,52.3
2016年4月5日 (三月)21:45,51.3,51.0
2016年3月24日 (三月)21:45  ,51.0,51.3
2016年3月3日 (二月)22:45,49.7,49.8
2016年2月24日 (二月)22:45  ,49.8,53.5
2016年2月3日 (一月)22:45,53.2,53.7
2016年1月26日 (一月)22:45  ,53.7,54.0
2016年1月6日 (十二月)22:45,54.3,55.1
2015年12月18日 (十二月)22:45  ,53.7,56.0
2015年12月3日 (十一月)22:45,56.1,56.5
2015年11月25日 (十一月)22:45  ,56.5,55.0
2015年11月4日 (十月)22:45,54.8,54.6
2015年10月27日 (十月)21:45  ,54.4,55.1
2015年10月5日 (九月)21:45,55.1, 
2015年9月25日 (九月)21:45  ,55.6,55.6
2015年9月3日 (八月)21:45,56.1,55.2
2015年8月25日 (八月)21:45  ,55.2,56.0
2015年8月5日 (七月)21:45,55.7,55.2
2015年7月28日 (七月)21:45  ,55.2,55.0
2015年7月6日 (六月)21:45,54.8,54.8
2015年6月25日 (六月)21:45  ,54.8,56.7
2015年6月3日 (五月)21:45,56.2,56.5
2015年5月26日 (五月)21:45  ,56.4,56.8
2015年5月5日 (四月)21:45,57.4,57.8
2015年4月27日 (四月)21:45  ,57.8,59.5
2015年4月6日 (三月)21:45,59.2,58.6
2015年3月26日 (三月)21:45  ,58.6,57.2
2015年3月4日 (二月)22:45,57.1,57.0
2015年2月24日 (二月)22:45  ,57.0,54.1
2015年2月4日 (一月)22:45,54.2,54.3
2015年1月27日 (一月)22:45  ,54.0,53.8
2015年1月6日 (十二月)22:45,53.3,53.8
2014年12月18日 (十二月)22:45  ,53.6,57.1
2014年12月3日 (十一月)22:45,56.2,56.3
2014年11月24日 (十一月)22:45  ,56.3,57.3
2014年11月5日 (十月)22:45,57.1,57.3
2014年10月27日 (十月)21:45  ,57.3,58.0
2014年10月3日 (九月)21:45,58.9,58.5
2014年9月25日 (九月)21:45  ,58.5,59.0
2014年9月4日21:45,59.5, 
2014年8月25日21:45  ,58.5,59.5
2014年8月5日21:45,60.8,61.0
2014年7月28日21:45  ,61.0,59.8
2014年7月3日21:45,61.0,61.1
2014年6月25日21:45  ,61.2,58.6
2014年6月4日21:45,58.1,58.4
2014年5月27日21:45  ,58.4,55.6
2014年5月5日21:45,55.0,54.2
2014年4月25日21:45,54.2, 
2014年4月3日21:45,55.3,55.5
2014年3月26日21:45  ,55.5,54.2
2014年3月5日21:58,53.3,52.7
2014年2月24日21:00  ,52.7,56.9
2014年2月5日21:58,56.7,56.6
2014年1月27日21:00  ,56.6,56.2
2014年1月6日21:58,55.7,56.0
2013年12月18日22:00  ,56.0,56.4
2013年12月4日22:00,55.9,57.1
2013年11月25日22:00  ,57.1, 
2013年10月1日 (九月)17:00,57.70, 
2013年9月1日 (八月)17:00,56.70, 
2013年8月1日 (七月)17:00,57.20, 
2013年7月1日 (六月)17:00,56.30, 
2013年6月1日 (五月)17:00,54.90, 
2013年5月1日 (四月)17:00,53.80, 
2013年4月1日 (三月)17:00,53.20, 
2013年3月1日 (二月)17:00,53.90, 
2013年2月1日 (一月)17:00,53.10, 
2013年1月1日 (十二月)17:00,53.00, 
2012年12月1日 (十一月)17:00,53.80, 
2012年11月1日 (十月)17:00,52.70, 
2012年10月1日 (九月)17:00,50.70, 
2012年9月1日 (八月)17:00,52.00, 
2012年8月1日 (七月)17:00,51.20, 
2012年7月1日 (六月)17:00,53.20, 
