时间,今值,预测值
2017年9月6日 (八月)21:45,55.3, 
2017年8月3日 (七月)21:45,54.6, 
2017年7月6日 (六月)21:45,53.9, 
2017年6月5日 (五月)21:45,53.6, 
2017年5月3日 (四月)21:45,53.2, 
2017年4月5日 (三月)21:45,53.0, 
2017年3月3日 (二月)22:45,54.1, 
2017年2月3日 (一月)22:45,55.8, 
2017年1月5日 (十二月)22:45,54.1, 
2016年12月19日22:45  ,53.7, 
2016年12月5日 (十一月)22:45,54.9, 
2016年11月25日22:45  , , 
2016年11月3日 (十月)21:45,54.9, 
2016年10月5日 (九月)21:45,52.3,52.0
2016年9月3日18:55,51.5,51.8
2016年8月3日 (七月)21:45,51.8,51.2
2016年7月6日 (六月)21:45,51.2, 
2016年6月3日 (五月)21:45,50.9, 
2016年5月4日 (四月)21:45,52.4, 
2016年4月26日21:45  ,51.7, 
2016年4月5日 (三月)21:45,51.3, 
2016年3月3日 (二月)22:45,50.0, 
2016年2月3日 (一月)22:45,53.2, 
2016年1月6日 (十二月)22:45,54.0, 
2015年12月3日 (十一月)22:45,55.9, 
2015年11月4日 (十月)22:45,55.0, 
2015年10月5日 (九月)21:45,55.0, 
2015年9月3日 (八月)21:45,55.7, 
2015年8月25日 (八月)21:45  ,55.0,55.2
2015年8月5日 (七月)21:45,55.7,55.2
2015年7月6日 (六月)21:45,54.6,54.6
2015年6月3日 (五月)21:45,56.0,57.0
2015年5月5日 (四月)21:45,57.0, 
2015年4月6日 (三月)21:45,59.2, 
2015年3月4日 (二月)22:45,57.2, 
2015年2月4日 (一月)22:45,54.4, 
2015年1月6日 (十二月)22:45,53.5, 
2014年12月3日 (十一月)22:45,56.1, 
2014年11月5日 (十月)22:45,57.2,58.4
2014年10月3日21:45,59.0, 
2014年9月1日 (八月)17:00,59.70, 
2014年8月1日 (七月)17:00,60.60, 
2014年7月1日 (六月)17:00,61.00, 
2014年6月1日 (五月)17:00,58.40, 
2014年5月1日 (四月)17:00,55.60, 
2014年4月1日 (三月)17:00,55.70, 
2014年3月1日 (二月)17:00,54.10, 
2014年2月1日 (一月)17:00,56.20, 
2014年1月1日 (十二月)17:00,56.10, 
2013年12月1日 (十一月)17:00,56.20, 
2013年11月1日 (十月)17:00,49.60, 
2013年10月1日 (九月)17:00,57.30, 
2013年9月1日 (八月)17:00,56.00, 
2013年8月1日 (七月)17:00,56.80, 
2013年7月1日 (六月)17:00,55.80, 
2013年6月1日 (五月)17:00,54.50, 
2013年5月1日 (四月)17:00,53.80, 
2013年4月1日 (三月)17:00,53.80, 
2013年3月1日 (二月)17:00,54.50, 
2013年2月1日 (一月)17:00,53.80, 
2013年1月1日 (十二月)17:00,53.30, 
2012年12月1日 (十一月)17:00,53.80, 
2012年11月1日 (十月)17:00,52.50, 
2012年10月1日 (九月)17:00,50.70, 
2012年9月1日 (八月)17:00,51.90, 
2012年8月1日 (七月)17:00,51.30, 
2012年7月1日 (六月)17:00,53.20, 
