时间,今值,预测值
2017年9月13日 (八月)20:30, ,0.3%
2017年8月10日 (七月)20:30,-0.1%,0.1%
2017年7月13日 (六月)20:30,0.1%,-0.1%
2017年6月13日 (五月)20:30,0.0%,0.1%
2017年5月11日 (四月)20:30,0.5%,0.2%
2017年4月13日 (三月)20:30,-0.1%,0.0%
2017年3月14日 (二月)20:30,0.3%,0.1%
2017年2月14日 (一月)21:30,0.6%,0.3%
2017年1月13日 (十二月)21:30,0.3%,0.3%
2016年12月14日 (十一月)21:30,0.4%,0.1%
2016年11月16日 (十月)21:30,0.0%,0.3%
2016年10月14日 (九月)20:30,0.3%,0.2%
2016年9月15日 (八月)20:30,0.0%,0.1%
2016年8月12日 (七月)20:30,-0.4%,0.1%
2016年7月14日 (六月)20:30,0.5%,0.3%
2016年6月15日 (五月)20:30,0.4%,0.3%
2016年5月13日 (四月)20:30,0.2%,0.3%
2016年4月13日 (三月)20:30,-0.1%,0.2%
2016年3月15日 (二月)20:30,-0.2%,-0.2%
2016年2月17日 (一月)21:30,0.1%,-0.2%
2016年1月15日 (十二月)21:30,-0.2%,-0.2%
2015年12月11日 (十一月)21:30,0.3%,-0.1%
2015年11月13日 (十月)21:30,-0.4%,0.2%
2015年10月14日 (九月)20:30,-0.5%,-0.2%
2015年9月11日 (八月)20:30,0.0%,-0.1%
2015年8月14日 (七月)20:30,0.2%,0.1%
2015年7月15日 (六月)20:30,0.4%,0.2%
2015年6月12日 (五月)20:30,0.5%,0.4%
2015年5月14日 (四月)20:30,-0.4%,0.2%
2015年4月14日 (三月)20:30,0.2%,0.2%
2015年3月13日 (二月)20:30,-0.5%,0.3%
2015年2月18日 (一月)21:30,-0.8%,-0.4%
2015年1月15日 (十二月)21:30,-0.3%,-0.4%
2014年12月12日 (十一月)21:30,-0.2%,-0.1%
2014年11月18日 (十月)21:30,0.2%,-0.1%
2014年10月15日 (九月)20:30,-0.1%,0.1%
2014年9月16日 (八月)20:30,0.0%,0.1%
2014年8月15日20:30,0.1%,0.1%
2014年7月16日20:30,0.4%,0.2%
2014年6月13日20:30,-0.2%,0.1%
2014年5月14日20:30,0.6%,0.2%
2014年4月11日20:30,0.5%,0.1%
2014年3月14日20:30,-0.1%,0.2%
2014年2月19日21:30,0.2%,0.1%
2014年1月15日21:30,0.4%,0.4%
2013年12月13日21:30,-0.1%,-0.1%
2013年11月21日21:30,-0.2%,-0.2%
2013年10月29日20:30,-0.1%,0.2%
2013年9月13日20:30,0.3%,0.2%
2013年8月14日20:30,0.0%,0.3%
2013年7月12日20:30,0.8%,0.5%
2013年6月14日20:30,0.5%,0.1%
2013年5月15日20:30,-0.7%,-0.6%
2013年4月12日20:30,-0.6%,-0.2%
2013年3月14日20:30,0.7%,0.7%
2013年2月20日21:30,0.2%,0.4%
2013年1月15日21:30,-0.2%,-0.1%
2012年12月13日21:30,-0.8%,-0.5%
2012年11月14日21:30,-0.2%,0.2%
2012年10月12日20:30,1.1%,0.7%
2012年9月13日20:30,1.7%,1.1%
2012年8月14日20:30,0.3%,0.2%
2012年7月13日20:30,0.1%,-0.5%
2012年6月13日20:30,-1.0%,-0.6%
2012年5月11日20:30,-0.2%,0.0%
2012年4月12日20:30,0.0%,0.3%
2012年3月15日20:30,0.4%,0.5%
2012年2月16日21:30,0.1%,0.3%
2012年1月18日21:30,-0.1%,0.1%
2011年12月15日21:30,0.3%,0.3%
2011年11月15日21:30,-0.3%,-0.2%
2011年10月18日20:30,0.8%,0.2%
2011年9月14日20:30,0.0%,0.0%
2011年8月17日20:30,0.2%,0.1%
2011年7月14日20:30,-0.4%,-0.2%
2011年6月14日20:30,0.2%,0.1%
2011年5月12日20:30,0.8%,0.6%
2011年4月14日20:30,0.7%,1.0%
2011年3月16日20:30,1.6%,0.6%
2011年2月16日21:30,0.8%,0.8%
2011年1月13日21:30,1.1%,0.7%
2010年12月14日21:30,0.8%,0.5%
2010年11月16日21:30,0.4%,0.8%
2010年10月14日20:30,0.4%,0.2%
2010年9月16日20:30,0.4%,0.3%
2010年8月17日20:30,0.2%,0.2%
2010年7月15日20:30,-0.5%,-0.1%
2010年6月16日20:30,-0.3%,-0.5%
2010年5月18日20:30,-0.1%,0.1%
2010年4月22日20:30,0.7%,0.4%
2010年3月17日20:30,-0.6%,-0.2%
2010年2月18日21:30,1.4%,0.8%
2010年1月20日21:30,0.2%,0.1%
2009年12月15日21:30,1.8%,0.8%
2009年11月17日21:30,0.3%,0.6%
2009年10月20日20:30,-0.6%,0.0%
2009年9月15日20:30,1.7%,0.9%
2009年8月18日20:30,-0.9%,-0.2%
2009年7月14日20:30,1.8%,0.9%
2009年6月16日20:30,0.2%,0.6%
2009年5月14日20:30,0.3%,0.1%
2009年4月14日20:30,-1.2%,-0.1%
2009年3月17日20:30,0.1%,0.3%
2009年2月19日21:30,0.8%,0.2%
2009年1月15日21:30,-1.9%,-2.0%
2008年12月12日21:30,-2.2%,-2.0%
2008年11月18日21:30,-2.8%,-1.9%
2008年10月15日20:30,-0.4%,-0.4%
2008年9月12日20:30,-0.9%,-0.5%
2008年8月19日20:30,1.2%,0.6%
2008年7月15日20:30,1.8%,1.3%
2008年6月17日20:30,1.4%,1.0%
2008年5月20日21:30,0.2%,0.4%
2008年4月15日20:30,1.1%,0.6%
2008年3月18日20:30,0.3%,0.3%
2008年2月26日21:30,1.0%,0.4%
