时间,今值,预测值
2017年9月1日 (八月)20:30,36.0K,9.0K
2017年8月4日 (七月)20:30,16.0K,5.0K
2017年7月7日 (六月)20:30,1.0K,5.0K
2017年6月2日 (五月)20:30,-1.0K,5.0K
2017年5月5日 (四月)20:30,6.0K,10.0K
2017年4月7日 (三月)20:30,11.0K,15.0K
2017年3月10日 (二月)21:30,28.0K,10.0K
2017年2月3日 (一月)21:30,5.0K,4.0K
2017年1月6日 (十二月)21:30,17.0K,0.0K
2016年12月2日 (十一月)21:30,-4.0K,-3.0K
2016年11月4日 (十月)20:30,-9.0K,-5.0K
2016年10月7日 (九月)20:30,-13.0K,-5.0K
2016年9月2日 (八月)20:30,-14.0K,-2.0K
2016年8月5日 (七月)20:30,9.0K,4.0K
2016年7月8日 (六月)20:30,14.0K, 
2016年6月3日 (五月)20:30,-10.0K,-1.0K
2016年5月6日 (四月)20:30,4.0K,-5.0K
2016年4月1日 (三月)20:30,-29.0K,2.0K
2016年3月4日 (二月)21:30,-16.0K,5.0K
2016年2月5日 (一月)21:30,29.0K,-2.0K
2016年1月8日 (十二月)21:30,8.0K,-1.0K
2015年12月4日 (十一月)21:30,-1.0K,-1.0K
2015年11月6日 (十月)21:30,0.0K,-5.0K
2015年10月2日 (九月)20:30,-9.0K,4.0K
2015年9月4日 (八月)20:30,-17.0K,5.0K
2015年8月7日 (七月)20:30,15.0K,5.0K
2015年7月2日 (六月)20:30,4.0K,5.0K
2015年6月5日 (五月)20:30,7.0K,5.0K
2015年5月8日 (四月)20:30,1.0K,5.0K
2015年4月3日 (三月)20:30,-1.0K,10.0K
2015年3月6日 (二月)21:30,8.0K,12.0K
2015年2月6日 (一月)21:30,22.0K,12.0K
2015年1月9日 (十二月)21:30,17.0K,15.0K
2014年12月5日 (十一月)21:30,28.0K,15.0K
2014年11月7日 (十月)21:30,15.0K,10.0K
2014年10月3日20:30,4.0K,12.0K
2014年9月1日 (八月)17:00,14.00K, 
2014年8月1日 (七月)17:00,14.00K, 
2014年7月1日 (六月)17:00,23.00K, 
2014年6月1日 (五月)17:00,12.00K, 
2014年5月1日 (四月)17:00,11.00K, 
2014年4月1日 (三月)17:00,9.00K, 
2014年3月1日 (二月)17:00,20.00K, 
2014年2月1日 (一月)17:00,16.00K, 
2014年1月1日 (十二月)17:00,14.00K, 
2013年12月1日 (十一月)17:00,32.00K, 
2013年11月1日 (十月)17:00,18.00K, 
2013年10月1日 (九月)17:00,11.00K, 
2013年9月1日 (八月)17:00,28.00K, 
2013年8月1日 (七月)17:00,-22.00K, 
2013年7月1日 (六月)17:00,-2.00K, 
2013年6月1日 (五月)17:00,1.00K, 
2013年5月1日 (四月)17:00,0.00K, 
2013年4月1日 (三月)17:00,4.00K, 
2013年3月1日 (二月)17:00,22.00K, 
2013年2月1日 (一月)17:00,19.00K, 
2013年1月1日 (十二月)17:00,14.00K, 
