时间,今值,预测值
2017年9月1日 (八月)20:30,4.4%,4.3%
2017年8月4日 (七月)20:30,4.3%,4.3%
2017年7月7日 (六月)20:30,4.4%,4.3%
2017年6月2日 (五月)20:30,4.3%,4.4%
2017年5月5日 (四月)20:30,4.4%,4.6%
2017年4月7日 (三月)20:30,4.5%,4.7%
2017年3月10日 (二月)21:30,4.7%,4.7%
2017年2月3日 (一月)21:30,4.8%,4.7%
2017年1月6日 (十二月)21:30,4.7%,4.7%
2016年12月2日 (十一月)21:30,4.6%,4.9%
2016年11月4日 (十月)20:30,4.9%,4.9%
2016年10月7日 (九月)20:30,5.0%,4.9%
2016年9月2日 (八月)20:30,4.9%,4.8%
2016年8月5日 (七月)20:30,4.9%,4.8%
2016年7月8日 (六月)20:30,4.9%,4.8%
2016年6月3日 (五月)20:30,4.7%,4.9%
2016年5月6日 (四月)20:30,5.0%,5.0%
2016年4月1日 (三月)20:30,5.0%,4.9%
2016年3月4日 (二月)21:30,4.9%,4.9%
2016年2月5日 (一月)21:30,4.9%,5.0%
2016年1月8日 (十二月)21:30,5.0%,5.0%
2015年12月4日 (十一月)21:30,5.0%,5.0%
2015年11月6日 (十月)21:30,5.0%,5.1%
2015年10月2日 (九月)20:30,5.1%,5.1%
2015年9月4日 (八月)20:30,5.1%,5.2%
2015年8月7日 (七月)20:30,5.3%,5.3%
2015年7月2日 (六月)20:30,5.3%,5.4%
2015年6月5日 (五月)20:30,5.5%,5.4%
2015年5月8日 (四月)20:30,5.4%,5.4%
2015年4月3日 (三月)20:30,5.5%,5.5%
2015年3月6日 (二月)21:30,5.5%,5.6%
2015年2月6日 (一月)21:30,5.7%,5.6%
2015年1月9日 (十二月)21:30,5.6%,5.7%
2014年12月5日 (十一月)21:30,5.8%,5.8%
2014年11月7日 (十月)21:30,5.8%,5.9%
2014年10月3日 (九月)20:30,5.9%,6.1%
2014年9月5日20:30,6.1%,6.1%
2014年8月1日20:30,6.2%,6.1%
2014年7月3日20:30,6.1%,6.3%
2014年6月6日20:30,6.3%,6.4%
2014年5月2日20:30,6.3%,6.6%
2014年4月4日20:30,6.7%,6.6%
2014年3月7日21:30,6.7%,6.6%
2014年2月7日21:30,6.6%,6.7%
2014年1月10日21:30,6.7%,7.0%
2013年12月6日21:30,7.0%,7.2%
2013年11月8日21:30,7.3%,7.3%
2013年10月22日20:30,7.2%,7.3%
2013年9月6日20:30,7.3%,7.4%
2013年8月2日20:30,7.4%,7.5%
2013年7月5日20:30,7.6%,7.5%
2013年6月7日20:30,7.6%,7.5%
2013年5月3日20:30,7.5%,7.6%
2013年4月5日20:30,7.6%,7.7%
2013年3月8日21:30,7.7%,7.9%
2013年2月1日21:30,7.9%,7.8%
2013年1月4日21:30,7.8%,7.7%
2012年12月7日21:30,7.7%,7.9%
2012年11月2日20:30,7.9%,7.9%
2012年10月5日20:30,7.8%,8.2%
2012年9月7日20:30,8.1%,8.3%
2012年8月3日20:30,8.3%,8.2%
2012年7月6日20:30,8.2%,8.2%
2012年6月1日20:30,8.2%,8.1%
2012年5月4日20:30,8.1%,8.2%
2012年4月6日20:30,8.2%,8.3%
2012年3月9日21:30,8.3%,8.3%
2012年2月3日21:30,8.3%,8.5%
2012年1月6日21:30,8.5%,8.7%
2011年12月2日21:30,8.6%,9.0%
2011年11月4日20:30,9.0%,9.1%
2011年10月7日20:30,9.1%,9.1%
2011年9月2日20:30,9.1%,9.1%
2011年8月5日20:30,9.1%,9.2%
2011年7月8日20:30,9.2%,9.1%
2011年6月3日20:30,9.1%,9.0%
2011年5月6日20:30,9.0%,8.8%
2011年4月1日20:30,8.8%,8.9%
2011年3月4日21:30,8.9%,9.1%
2011年2月4日21:30,9.0%,9.6%
2011年1月7日21:30,9.4%,9.7%
2010年12月3日21:30,9.8%,9.6%
2010年11月5日20:30,9.6%,9.6%
2010年10月8日20:30,9.6%,9.7%
2010年9月3日20:30,9.6%,9.6%
2010年8月6日20:30,9.5%,9.6%
2010年7月2日20:30,9.5%,9.8%
2010年6月4日20:30,9.7%,9.8%
2010年5月7日20:30,9.9%,9.7%
2010年4月2日20:30,9.7%,9.7%
2010年3月5日21:30,9.7%,9.8%
2010年2月5日21:30,9.7%,10.0%
2010年1月8日21:30,10.0%,10.1%
2009年12月4日21:30,10.0%,10.2%
2009年11月6日21:30,10.2%,9.9%
2009年10月2日20:30,9.8%,9.8%
2009年9月4日20:30,9.7%,9.5%
2009年8月7日20:30,9.4%,9.6%
2009年7月2日20:30,9.5%,9.6%
2009年6月5日20:30,9.4%,9.2%
2009年5月8日20:30,8.9%,8.9%
2009年4月3日20:30,8.5%,8.5%
