时间,今值,预测值
2017年9月15日 (八月)21:15, ,0.2%
2017年8月17日 (七月)20:45,0.2%,0.3%
2017年7月14日 (六月)21:15,0.4%,0.3%
2017年6月15日 (五月)21:15,0.0%,0.2%
2017年5月16日 (四月)21:15,1.0%,0.4%
2017年4月18日 (三月)21:15,0.5%,0.5%
2017年3月17日 (二月)21:15,0.0%,0.2%
2017年2月15日 (一月)22:15,-0.3%,0.1%
2017年1月18日 (十二月)22:15,0.8%,0.6%
2016年12月14日 (十一月)22:15,-0.4%,-0.2%
2016年11月16日 (十月)22:15,0.0%,0.2%
2016年10月17日 (九月)21:15,0.1%,0.2%
2016年9月15日 (八月)21:15,-0.4%,-0.3%
2016年8月16日 (七月)21:15,0.7%,0.3%
2016年7月15日 (六月)21:15,0.6%,0.2%
2016年6月15日 (五月)21:15,-0.4%,-0.2%
2016年5月17日 (四月)21:15,0.7%,0.3%
2016年4月15日 (三月)21:15,-0.6%,-0.1%
2016年3月16日 (二月)21:15,-0.5%,-0.3%
2016年2月17日 (一月)22:15,0.9%,0.4%
2016年1月15日 (十二月)22:15,-0.4%,-0.2%
2015年12月16日 (十一月)22:15,-0.6%,-0.1%
2015年11月17日 (十月)22:15,-0.2%,0.1%
2015年10月16日 (九月)21:15,-0.2%,-0.2%
2015年9月15日 (八月)21:15,-0.4%,-0.2%
2015年8月14日 (七月)21:15,0.6%,0.3%
2015年7月15日 (六月)21:15,0.3%,0.2%
2015年6月15日 (五月)21:15,-0.2%,0.3%
2015年5月15日 (四月)21:15,-0.3%,0.1%
2015年4月15日 (三月)21:15,-0.6%,-0.3%
2015年3月16日 (二月)21:15,0.1%,0.2%
2015年2月18日 (一月)22:15,0.2%,0.3%
2015年1月16日 (十二月)22:15,-0.1%,0.1%
2014年12月15日 (十一月)22:15,1.3%,0.7%
2014年11月17日 (十月)22:15,-0.1%,0.2%
2014年10月16日 (九月)21:15,1.0%,0.4%
2014年9月15日 (八月)21:15,-0.1%,0.3%
2014年8月15日21:15,0.4%,0.3%
