时间,今值,预测值
2017年9月5日 (七月)22:00,-3.3%,-3.3%
2017年8月3日 (六月)22:00,3.0%,2.9%
2017年7月5日 (五月)22:00,-0.8%,-0.5%
2017年6月5日 (四月)22:00,-0.2%,-0.2%
2017年5月4日 (三月)22:00,0.2%,0.4%
2017年4月4日 (二月)22:00,1.0%,1.0%
2017年3月6日 (一月)23:00,1.2%,1.0%
2017年2月3日 (十二月)23:00,1.3%,1.0%
2017年1月6日 (十一月)23:00,-2.4%,-2.2%
2016年12月6日 (十月)23:00,2.7%,2.6%
2016年11月3日 (九月)22:00,0.3%,0.2%
2016年10月5日 (八月)22:00,0.2%,-0.1%
2016年9月2日 (七月)22:00,1.9%,2.0%
2016年8月4日 (六月)22:00,-1.5%,-1.8%
2016年7月5日 (五月)22:00,-1.0%,-0.9%
2016年6月3日 (四月)22:00,1.9%,0.9%
2016年5月4日 (三月)22:00,1.1%,0.6%
2016年4月4日 (二月)22:00,-1.7%,-1.7%
2016年3月3日 (一月)23:00,1.6%,2.0%
2016年2月4日 (十二月)23:00,-2.9%,-2.8%
2016年1月6日 (十一月)23:00,-0.2%,-0.2%
2015年12月3日 (十月)23:00,1.5%,1.4%
2015年11月3日 (九月)23:00,-1.0%,-0.9%
2015年10月2日 (八月)22:00,-1.7%,-1.2%
2015年9月2日 (七月)22:00,0.4%,0.9%
2015年8月4日 (六月)22:00,1.8%,1.8%
2015年7月2日 (五月)22:00,-1.0%,-0.5%
2015年6月2日 (四月)22:00,-0.4%,0.2%
2015年5月4日 (三月)22:00,2.1%,2.0%
2015年4月2日 (二月)22:00,0.2%,-0.5%
2015年3月5日 (一月)23:00,-0.2%,0.2%
2015年2月3日 (十二月)23:00,-3.4%,-2.2%
2015年1月6日 (十一月)23:00,-0.7%,-0.5%
2014年12月5日 (十月)23:00,-0.7%,-0.2%
2014年11月4日 (九月)23:00,-0.6%,-0.6%
2014年10月2日 (八月)22:00,-10.1%,-9.3%
2014年9月3日22:00,10.5%,11.0%
2014年8月5日22:00,1.1%,0.6%
2014年7月2日22:00,-0.5%,-0.3%
2014年6月3日22:00,0.7%,0.5%
2014年5月2日22:00,1.1%,1.4%
2014年4月2日22:00,1.6%,1.2%
2014年3月6日23:00,-0.7%,-0.4%
2014年2月4日23:00,-1.5%,-1.7%
2014年1月6日23:00,1.8%,1.8%
2013年12月5日23:00,-0.9%,-1.0%
2013年11月4日23:00,-0.1%,0.3%
2013年11月4日23:00,1.7%,1.7%
2013年9月5日22:00,-2.4%,-3.3%
2013年8月2日22:00,1.5%,2.3%
2013年7月2日22:00,2.1%,2.0%
2013年6月5日22:00,1.0%,1.5%
2013年5月3日22:00,-4.0%,-2.6%
2013年4月2日22:00,3.0%,2.9%
2013年3月6日23:00,-2.0%,-2.2%
2013年2月4日23:00,1.8%,2.2%
2013年1月4日23:00,0.0%,0.4%
2012年12月5日23:00,0.8%,0.1%
2012年11月2日22:00,4.8%,4.6%
2012年10月4日22:00,-5.2%,-5.8%
2012年8月31日22:00,2.8%,1.9%
2012年8月2日22:00,-0.5%,0.5%
2012年7月3日22:00,0.7%,0.2%
2012年6月4日22:00,-0.6%,0.2%
2012年5月2日22:00,-1.5%,-1.6%
2012年4月3日22:00,1.3%,1.5%
2012年3月5日23:00,-1.0%,-1.3%
2012年2月3日23:00,1.1%,1.5%
2012年1月4日23:00,1.8%,1.9%
2011年12月5日23:00,-0.4%,-0.3%
2011年11月3日22:00,0.3%,-0.1%
2011年10月4日22:00,-0.2%,-0.1%
2011年8月31日22:00,2.4%,1.0%
2011年8月3日22:00,-0.8%,-0.5%
2011年7月5日22:00,0.8%,1.0%
2011年6月2日22:00,-1.2%,-0.6%
2011年5月3日22:00,3.0%,1.9%
2011年3月31日22:00,-0.1%,0.5%
2011年3月4日23:00,3.1%,2.1%
2011年2月3日23:00,0.2%,-0.5%
2011年1月4日23:00,0.7%,-0.4%
2010年12月3日23:00,-0.9%,-1.2%
2010年11月3日22:00,2.1%,0.6%
2010年10月4日22:00,-0.5%,-0.4%
2010年9月2日22:00,0.1%,0.3%
2010年8月3日22:00,-1.2%,-0.5%
2010年7月2日22:00,-1.4%,-0.7%
2010年6月3日22:00,1.2%,1.7%
2010年5月4日22:00,1.3%,-0.1%
2010年3月31日22:00,0.6%,0.5%
2010年3月4日23:00,1.7%,1.2%
2010年2月4日23:00,1.0%,0.6%
2010年1月5日23:00,1.1%,0.5%
2009年12月4日23:00,0.6%,0.1%
2009年11月3日23:00,0.9%,1.0%
2009年10月2日22:00,-0.8%,-0.1%
2009年9月2日22:00,1.3%,1.5%
2009年8月5日22:00,0.4%,-0.5%
2009年7月2日22:00,1.2%,0.5%
2009年6月3日22:00,0.7%,0.7%
2009年5月1日22:00,-0.9%,-0.7%
2009年4月2日22:00,1.8%,1.5%
2009年3月5日23:00,-1.9%,-3.5%
2009年2月5日23:00,-3.9%,-3.1%
2009年1月6日23:00,-4.6%,-2.8%
2008年12月4日23:00,-5.1%,-4.0%
2008年11月4日23:00,-2.5%,-1.0%
2008年10月2日22:00,-4.0%,-2.6%
2008年9月3日22:00,1.3%,1.0%
2008年8月4日22:00,1.7%,0.7%
2008年7月2日22:00,0.6%,0.4%
2008年6月3日23:00,1.1%,0.0%
2008年5月2日22:00,1.4%,0.2%
2008年4月2日22:00,-1.3%,-0.8%
2008年3月5日23:00,-2.5%,-2.3%
2008年2月1日 (一月)17:00,-0.90%, 
2008年1月1日 (十二月)17:00,1.90%, 
2007年12月1日 (十一月)17:00,3.30%, 
2007年11月1日 (十月)17:00,1.80%, 
2007年10月1日 (九月)17:00,-1.10%, 
2007年9月1日 (八月)17:00,-1.20%, 
2007年8月1日 (七月)17:00,2.20%, 
2007年7月1日 (六月)17:00,0.80%, 
2007年6月1日 (五月)17:00,-0.60%, 
2007年5月1日 (四月)17:00,1.30%, 
2007年4月1日 (三月)17:00,2.60%, 
2007年3月1日 (二月)17:00,1.90%, 
2007年2月1日 (一月)17:00,-3.30%, 
2007年1月1日 (十二月)17:00,2.30%, 
2006年12月1日 (十一月)17:00,3.10%, 
2006年11月1日 (十月)17:00,-5.10%, 
2006年10月1日 (九月)17:00,3.90%, 
2006年9月1日 (八月)17:00,-0.10%, 
