时间,今值,预测值
2017年9月1日 (八月)20:30,34.4,34.5
2017年8月4日 (七月)20:30,34.5,34.5
2017年7月7日 (六月)20:30,34.5,34.4
2017年6月2日 (五月)20:30,34.4,34.4
2017年5月5日 (四月)20:30,34.4,34.4
2017年4月7日 (三月)20:30,34.3,34.4
2017年3月10日 (二月)21:30,34.4,34.4
2017年2月3日 (一月)21:30,34.4,34.3
2017年1月6日 (十二月)21:30,34.3,34.4
2016年12月2日 (十一月)21:30,34.4,34.4
2016年11月4日 (十月)20:30,34.4,34.4
2016年10月7日 (九月)20:30,34.4,34.4
2016年9月2日 (八月)20:30,34.3,34.5
2016年8月5日 (七月)20:30,34.5,34.4
2016年7月8日 (六月)20:30,34.4,34.4
2016年6月3日 (五月)20:30,34.4,34.5
2016年5月6日 (四月)20:30,34.5,34.5
2016年4月1日 (三月)20:30,34.4,34.5
2016年3月4日 (二月)21:30,34.4,34.6
2016年2月5日 (一月)21:30,34.6,34.5
2016年1月8日 (十二月)21:30,34.5,34.5
2015年12月4日 (十一月)21:30,34.5,34.5
2015年11月6日 (十月)21:30,34.5,34.5
2015年10月2日 (九月)20:30,34.5,34.6
2015年9月4日 (八月)20:30,34.6,34.5
2015年8月7日 (七月)20:30,34.6,34.5
2015年7月2日 (六月)20:30,34.5,34.5
2015年6月5日 (五月)20:30,34.5,34.5
2015年5月8日 (四月)20:30,34.5,34.5
2015年4月3日 (三月)20:30,34.5,34.6
2015年3月6日 (二月)21:30,34.6,34.6
2015年2月6日 (一月)21:30,34.6,34.6
2015年1月9日 (十二月)21:30,34.6,34.6
2014年12月5日 (十一月)21:30,34.6,34.6
2014年11月7日 (十月)21:30,34.6,34.6
2014年10月3日 (九月)20:30,34.6,34.5
2014年9月5日20:30,34.5,34.5
2014年8月1日20:30,34.5,34.5
2014年7月3日20:30,34.5,34.5
2014年6月6日20:30,34.5,34.5
2014年5月2日20:30,34.5,34.5
2014年4月4日20:30,34.5,34.4
2014年3月7日21:30,34.2,34.4
2014年2月7日21:30,34.4,34.4
2014年1月10日21:30,34.4,34.5
2013年12月6日21:30,34.5,34.5
2013年11月8日21:30,34.4,34.5
2013年10月22日20:30,34.5,34.5
2013年9月6日20:30,34.5,34.5
2013年8月2日20:30,34.4,34.5
2013年7月5日20:30,34.5,34.5
2013年6月7日20:30,34.5,34.5
2013年5月3日20:30,34.4,34.6
2013年4月5日20:30,34.6,34.5
2013年3月8日21:30,34.5,34.4
2013年2月1日21:30,34.4,34.5
2013年1月4日21:30,34.5,34.4
2012年12月7日21:30,34.4,34.4
2012年11月2日20:30,34.4,34.5
2012年10月5日20:30,34.5,34.4
2012年9月7日20:30,34.4,34.5
2012年8月3日20:30,34.5,34.5
2012年7月6日20:30,34.5,34.4
2012年6月1日20:30,34.4,34.5
2012年5月4日20:30,34.5,34.5
2012年4月6日20:30,34.5,34.5
2012年3月9日21:30,34.5,34.5
2012年2月3日21:30,34.5,34.4
2012年1月6日21:30,34.4,34.3
2011年12月2日21:30,34.3,34.3
2011年10月7日20:30,34.3,34.2
2011年9月2日20:30,34.2,34.3
2011年8月5日20:30,34.3,34.3
2011年7月8日20:30,34.3,34.4
2011年6月3日20:30,34.4,34.3
2011年5月6日20:30,34.3,34.3
2011年4月1日20:30,34.3,34.3
2011年3月4日21:30,34.2,34.3
2011年2月4日21:30,34.2,34.3
2011年1月7日21:30,34.3,34.3
2010年12月3日21:30,34.3,34.3
2010年11月5日20:30,34.3,34.2
2010年10月8日20:30,34.2,34.2
2010年9月3日20:30,34.2,34.2
2010年8月6日20:30,34.2,34.1
2010年7月2日20:30,34.1,34.2
2010年6月4日20:30,34.2,34.1
2010年5月7日20:30,34.1,34.0
2010年4月2日20:30,34.0,33.8
2010年3月5日21:30,33.8,33.7
2010年2月5日21:30,33.3,33.7
2010年1月8日21:30,33.2,33.2
2009年12月4日21:30,33.2,33.0
2009年11月6日21:30,33.0,33.1
2009年10月2日20:30,33.0,33.1
2009年9月4日20:30,33.1,33.1
2009年8月7日20:30,33.1,33.0
2009年7月2日20:30,33.0,33.1
2009年6月5日20:30,33.1,33.2
2009年5月8日20:30,33.2,33.2
2009年4月3日20:30,33.2,33.3
2009年2月6日20:30,33.3,33.3
2009年1月9日08:00,33.3,33.5
2008年12月5日08:00,33.5, 
2008年11月1日 (十月)17:00,34.40, 
2008年10月1日 (九月)17:00,34.40, 
2008年9月1日 (八月)17:00,34.50, 
2008年8月1日 (七月)17:00,34.50, 
2008年7月1日 (六月)17:00,34.50, 
2008年6月1日 (五月)17:00,34.50, 
2008年5月1日 (四月)17:00,34.50, 
2008年4月1日 (三月)17:00,34.60, 
2008年3月1日 (二月)17:00,34.50, 
2008年2月1日 (一月)17:00,34.50, 
2008年1月1日 (十二月)17:00,34.60, 
2007年12月1日 (十一月)17:00,34.50, 
2007年11月1日 (十月)17:00,34.50, 
2007年10月1日 (九月)17:00,34.60, 
2007年9月1日 (八月)17:00,34.60, 
2007年8月1日 (七月)17:00,34.60, 
2007年7月1日 (六月)17:00,34.60, 
2007年6月1日 (五月)17:00,34.60, 
2007年5月1日 (四月)17:00,34.50, 
2007年4月1日 (三月)17:00,34.60, 
2007年3月1日 (二月)17:00,34.50, 
2007年2月1日 (一月)17:00,34.50, 
2007年1月1日 (十二月)17:00,34.70, 
2006年12月1日 (十一月)17:00,34.50, 
2006年11月1日 (十月)17:00,34.50, 
2006年10月1日 (九月)17:00,34.50, 
2006年9月1日 (八月)17:00,34.50, 
2006年8月1日 (七月)17:00,34.50, 
2006年7月1日 (六月)17:00,34.60, 
2006年6月1日 (五月)17:00,34.50, 
2006年5月1日 (四月)17:00,34.60, 
2006年4月1日 (三月)17:00,34.40, 
