时间,今值,预测值
2017年9月1日 (八月)20:30,0.1%,0.2%
2017年8月4日 (七月)20:30,0.3%,0.3%
2017年7月7日 (六月)20:30,0.2%,0.3%
2017年6月2日 (五月)20:30,0.2%,0.2%
2017年5月5日 (四月)20:30,0.3%,0.3%
2017年4月7日 (三月)20:30,0.2%,0.2%
2017年3月10日 (二月)21:30,0.2%,0.3%
2017年2月3日 (一月)21:30,0.1%,0.3%
2017年1月6日 (十二月)21:30,0.4%,0.3%
2016年12月2日 (十一月)21:30,-0.1%,0.2%
2016年11月4日 (十月)20:30,0.4%,0.3%
2016年10月7日 (九月)20:30,0.2%,0.2%
2016年9月2日 (八月)20:30,0.1%,0.2%
2016年8月5日 (七月)20:30,0.3%,0.2%
2016年7月8日 (六月)20:30,0.1%,0.2%
2016年6月3日 (五月)20:30,0.2%,0.2%
2016年5月6日 (四月)20:30,0.3%,0.3%
2016年4月1日 (三月)20:30,0.3%,0.2%
2016年3月4日 (二月)21:30,-0.1%,0.2%
2016年2月5日 (一月)21:30,0.5%,0.3%
2016年1月8日 (十二月)21:30,0.0%,0.2%
2015年12月4日 (十一月)21:30,0.2%,0.2%
2015年11月6日 (十月)21:30,0.4%,0.2%
2015年10月2日 (九月)20:30,0.0%,0.2%
2015年9月4日 (八月)20:30,0.3%,0.2%
2015年8月7日 (七月)20:30,0.2%,0.2%
2015年7月2日 (六月)20:30,0.0%,0.2%
2015年6月5日 (五月)20:30,0.3%,0.2%
2015年5月8日 (四月)20:30,0.1%,0.2%
2015年4月3日 (三月)20:30,0.3%,0.2%
2015年3月6日 (二月)21:30,0.1%,0.2%
2015年2月6日 (一月)21:30,0.5%,0.3%
2015年1月9日 (十二月)21:30,-0.2%,0.2%
2014年12月5日 (十一月)21:30,0.4%,0.2%
2014年11月7日 (十月)21:30,0.1%,0.2%
2014年10月3日 (九月)20:30,0.0%,0.2%
2014年9月5日20:30,0.2%,0.2%
2014年8月1日20:30,0.0%,0.2%
2014年7月3日20:30,0.2%,0.2%
2014年6月6日20:30,0.2%,0.2%
2014年5月2日20:30,0.0%,0.2%
2014年4月4日20:30,0.0%,0.2%
2014年3月7日21:30,0.4%,0.2%
2014年2月7日21:30,0.2%,0.2%
2014年1月10日21:30,0.1%,0.2%
2013年12月6日21:30,0.2%,0.2%
2013年11月8日21:30,0.1%,0.2%
2013年10月22日20:30,0.1%,0.2%
2013年9月6日20:30,0.2%,0.2%
2013年8月2日20:30,-0.1%,0.2%
2013年7月5日20:30,0.4%,0.2%
2013年6月7日20:30,0.0%,0.2%
2013年5月3日20:30,0.2%,0.2%
2013年4月5日20:30,0.0%,0.2%
2013年3月8日21:30,0.2%,0.2%
2013年2月1日21:30,0.2%,0.2%
2013年1月4日21:30,0.3%,0.2%
2012年12月7日21:30,0.2%,0.2%
2012年11月2日20:30,0.0%,0.2%
2012年10月5日20:30,0.3%,0.2%
2012年9月7日20:30,0.0%,0.2%
2012年8月3日20:30,0.1%,0.2%
2012年7月6日20:30,0.3%,0.2%
2012年6月1日20:30,0.1%,0.2%
2012年5月4日20:30,0.0%,0.2%
2012年4月6日20:30,0.2%,0.2%
2012年3月9日21:30,0.1%,0.2%
2012年2月3日21:30,0.2%,0.2%
2012年1月6日21:30,0.2%,0.2%
2011年12月2日21:30,-0.1%,0.2%
2011年11月4日20:30,0.2%,0.2%
2011年10月7日20:30,0.2%,0.2%
2011年9月2日20:30,-0.1%,0.2%
2011年8月5日20:30,0.4%,0.2%
2011年7月8日20:30,0.0%,0.2%
2011年6月3日20:30,0.3%,0.2%
2011年5月6日20:30,0.1%,0.2%
2011年4月1日20:30,0.0%,0.2%
2011年3月4日21:30,0.0%,0.2%
2011年2月4日21:30,0.4%,0.2%
2011年1月7日21:30,0.1%,0.1%
2010年12月3日21:30,0.0%,0.1%
2010年11月5日20:30,0.2%,0.1%
2010年10月8日20:30,0.0%,0.1%
2010年9月3日20:30,0.3%,0.1%
2010年8月6日20:30,0.2%,0.1%
2010年7月2日20:30,-0.1%,0.1%
2010年6月4日20:30,0.3%,0.1%
2010年5月7日20:30,0.0%,0.2%
2010年4月2日20:30,-0.1%,0.2%
2010年3月5日21:30,0.1%,0.2%
2010年2月5日21:30,0.3%,0.2%
2010年1月8日21:30,0.2%,0.2%
