时间,今值,预测值
2017年9月27日 (八月)22:00, ,0.5%
2017年8月31日 (七月)22:00,-0.8%,0.5%
2017年7月31日 (六月)22:00,1.5%,0.7%
2017年6月28日 (五月)22:00,-0.8%,0.8%
2017年5月31日 (四月)22:00,-1.3%,0.5%
2017年4月27日 (三月)22:00,-0.8%,-1.0%
2017年3月29日 (二月)22:00,5.5%,2.4%
2017年2月27日 (一月)23:00,-2.8%,0.8%
2017年1月30日 (十二月)23:00,1.6%,1.1%
2016年12月28日 (十一月)23:00,-2.5%,0.5%
2016年11月30日 (十月)23:00,0.1%,0.2%
2016年10月27日 (九月)22:00,1.5%,1.2%
2016年9月29日 (八月)22:00,-2.4%,0.3%
2016年8月31日 (七月)22:00,1.3%,0.6%
2016年7月27日 (六月)22:00,0.2%,1.4%
2016年6月29日 (五月)22:00,-3.7%,-1.1%
2016年5月26日 (四月)22:00,5.1%,0.6%
2016年4月27日 (三月)22:00,1.4%,0.5%
2016年3月28日 (二月)22:00,3.5%,1.0%
2016年2月29日 (一月)23:00,-2.5%,0.5%
2016年1月28日 (十二月)23:00,0.1%,0.8%
2015年12月30日 (十一月)23:00,-0.9%,0.5%
2015年11月30日 (十月)23:00,0.2%,1.5%
2015年10月29日 (九月)22:00,-2.3%,1.0%
2015年9月28日 (八月)22:00,-1.4%,0.4%
2015年8月27日 (七月)22:00,0.5%,1.0%
2015年7月29日 (六月)22:00,-1.8%,1.0%
2015年6月29日 (五月)22:00,0.9%,1.2%
2015年5月28日 (四月)22:00,3.4%,0.9%
2015年4月29日 (三月)22:00,1.1%,1.0%
2015年3月30日 (二月)22:00,3.1%,0.4%
2015年2月27日 (一月)23:00,1.7%,2.0%
2015年1月29日 (十二月)23:00,-3.7%,0.5%
2014年12月31日 (十一月)23:00,0.8%,0.6%
2014年11月26日 (十月)23:00,-1.1%,0.9%
2014年10月27日 (九月)22:00,0.3%,0.5%
2014年9月29日 (八月)22:00,-1.0%,-0.1%
2014年8月28日22:00,3.3%,0.5%
2014年7月28日22:00,-1.1%,0.5%
2014年6月30日22:00,6.1%,1.5%
2014年5月29日22:00,0.4%,1.0%
