时间,今值,预测值
2017年8月25日 (七月)20:30,0.4%,0.3%
2017年7月27日 (六月)20:30,-0.1%,0.3%
2017年6月26日 (五月)20:30,-0.2%,0.3%
2017年5月26日 (四月)20:30,0.0%,0.5%
2017年4月27日 (三月)20:30,0.2%,0.5%
2017年3月24日 (二月)20:30,-0.1%,0.6%
2017年2月27日 (一月)21:30,-0.4%,0.5%
2017年1月27日 (十二月)21:30,0.8%,0.5%
2016年12月22日 (十一月)21:30,0.9%,0.3%
2016年11月23日 (十月)21:30,0.4%,0.4%
2016年10月27日 (九月)20:30,-1.2%,0.3%
2016年9月28日 (八月)20:30,0.6%,-0.2%
2016年8月25日 (七月)20:30,1.6%,0.3%
2016年7月27日 (六月)20:30,0.2%,0.3%
2016年6月24日 (五月)20:30,-0.7%,0.3%
2016年5月26日 (四月)20:30,-0.8%,0.4%
2016年4月26日 (三月)20:30,0.0%,0.8%
2016年3月24日 (二月)20:30,-1.8%,-0.1%
2016年2月25日 (一月)21:30,3.9%,1.0%
2016年1月28日 (十二月)21:30,-4.3%,-0.2%
2015年12月23日 (十一月)21:30,-0.4%,-0.1%
2015年11月25日 (十月)21:30,1.3%,0.4%
2015年10月27日 (九月)20:30,-0.3%,0.1%
2015年9月24日 (八月)20:30,-0.2%,-0.1%
2015年8月26日 (七月)20:30,2.2%,0.4%
2015年7月27日 (六月)20:30,0.9%,0.4%
2015年6月23日 (五月)20:30,0.4%,0.5%
2015年5月26日 (四月)20:30,1.0%,0.3%
2015年4月24日 (三月)20:30,-0.5%,0.3%
2015年3月25日 (二月)20:30,-1.4%,0.3%
2015年2月26日 (一月)21:30,0.6%,0.3%
2015年1月27日 (十二月)21:30,-0.6%,0.5%
2014年12月23日 (十一月)21:30,0.0%,1.4%
2014年11月26日 (十月)21:30,-1.3%,0.8%
2014年10月28日 (九月)20:30,-1.7%,0.6%
2014年9月25日 (八月)20:30,0.6%,0.5%
2014年8月26日20:30,-0.5%,0.5%
2014年7月25日20:30,1.4%,0.5%
2014年6月25日20:30,0.7%,0.5%
2014年5月27日20:30,-1.2%,0.2%
2014年4月24日20:30,2.2%,1.5%
2014年3月26日20:30,-1.3%,0.7%
2014年2月27日21:30,1.7%,-0.5%
2014年1月28日21:30,-1.3%,0.5%
2013年12月24日21:30,4.5%,0.7%
2013年11月27日21:30,-1.2%,0.6%
2013年10月25日20:30,-1.1%,0.6%
2013年9月1日 (八月)17:00,1.50%, 
2013年8月1日 (七月)17:00,-3.30%, 
2013年7月1日 (六月)17:00,0.70%, 
2013年6月1日 (五月)17:00,1.10%, 
2013年5月1日 (四月)17:00,1.20%, 
2013年4月1日 (三月)17:00,0.20%, 
2013年3月1日 (二月)17:00,-2.70%, 
2013年2月1日 (一月)17:00,6.30%, 
2013年1月1日 (十二月)17:00,0.20%, 
2012年12月1日 (十一月)17:00,2.70%, 
2012年11月1日 (十月)17:00,1.70%, 
2012年10月1日 (九月)17:00,0.00%, 
2012年9月1日 (八月)17:00,1.10%, 
2012年8月1日 (七月)17:00,-3.40%, 
2012年7月1日 (六月)17:00,-1.40%, 
2012年6月1日 (五月)17:00,1.60%, 
2012年5月1日 (四月)17:00,-1.90%, 
2012年4月1日 (三月)17:00,-0.80%, 
2012年3月1日 (二月)17:00,1.20%, 
2012年2月1日 (一月)17:00,-4.50%, 
2012年1月1日 (十二月)17:00,2.90%, 
2011年12月1日 (十一月)17:00,-1.20%, 
2011年11月1日 (十月)17:00,-1.80%, 
2011年10月1日 (九月)17:00,2.40%, 
2011年9月1日 (八月)17:00,1.10%, 
2011年8月1日 (七月)17:00,-1.50%, 
2011年7月1日 (六月)17:00,-0.40%, 
2011年6月1日 (五月)17:00,1.60%, 
2011年5月1日 (四月)17:00,-2.60%, 
2011年4月1日 (三月)17:00,3.70%, 
2011年3月1日 (二月)17:00,-1.30%, 
2011年2月1日 (一月)17:00,-6.90%, 
2011年1月1日 (十二月)17:00,1.40%, 
2010年12月1日 (十一月)17:00,2.60%, 
2010年11月1日 (十月)17:00,-4.50%, 
2010年10月1日 (九月)17:00,-0.60%, 
2010年9月1日 (八月)17:00,4.10%, 
2010年8月1日 (七月)17:00,-8.00%, 
2010年7月1日 (六月)17:00,0.60%, 
2010年6月1日 (五月)17:00,2.10%, 
2010年5月1日 (四月)17:00,-2.40%, 
2010年4月1日 (三月)17:00,4.00%, 
2010年3月1日 (二月)17:00,1.10%, 
2010年2月1日 (一月)17:00,-2.90%, 
2010年1月1日 (十二月)17:00,1.30%, 
2009年12月1日 (十一月)17:00,2.90%, 
2009年11月1日 (十月)17:00,-2.90%, 
2009年10月1日 (九月)17:00,2.00%, 
2009年9月1日 (八月)17:00,-0.40%, 
2009年8月1日 (七月)17:00,-0.30%, 
2009年7月1日 (六月)17:00,1.40%, 
2009年6月1日 (五月)17:00,4.80%, 
2009年5月1日 (四月)17:00,-1.50%, 
2009年4月1日 (三月)17:00,1.50%, 
2009年3月1日 (二月)17:00,6.60%, 
2009年2月1日 (一月)17:00,-5.40%, 
2009年1月1日 (十二月)17:00,-2.80%, 
2008年12月1日 (十一月)17:00,4.70%, 
2008年11月1日 (十月)17:00,-4.00%, 
2008年10月1日 (九月)17:00,-1.40%, 
