时间,今值,预测值
2017年9月14日20:30, ,"1,985K"
2017年9月7日20:30,"1,940K","1,950K"
2017年8月31日20:30,"1,942K","1,950K"
2017年8月24日20:30,"1,954K","1,950K"
2017年8月17日20:30,"1,953K","1,953K"
2017年8月10日20:30,"1,951K","1,960K"
2017年8月3日20:30,"1,968K","1,955K"
2017年7月27日20:30,"1,964K","1,950K"
2017年7月20日20:30,"1,977K","1,950K"
2017年7月13日20:30,"1,945K","1,950K"
2017年7月6日20:30,"1,956K","1,939K"
2017年6月29日20:30,"1,948K","1,940K"
2017年6月22日20:30,"1,944K","1,928K"
2017年6月15日20:30,"1,935K","1,923K"
2017年6月8日20:30,"1,917K","1,920K"
2017年6月1日20:30,"1,915K","1,920K"
2017年5月25日20:30,"1,923K","1,925K"
2017年5月18日20:30,"1,898K","1,960K"
2017年5月11日20:30,"1,918K","1,980K"
2017年5月4日20:30,"1,964K","2,000K"
2017年4月27日20:30,"1,988K","2,005K"
2017年4月20日20:30,"1,979K","2,020K"
2017年4月13日20:30,"2,028K","2,028K"
2017年4月6日20:30,"2,028K","2,040K"
2017年3月30日20:30,"2,052K","2,020K"
2017年3月23日20:30,"2,000K","2,035K"
2017年3月16日20:30,"2,030K","2,050K"
2017年3月9日21:30,"2,058K","2,060K"
2017年3月2日21:30,"2,066K","2,065K"
2017年2月23日21:30,"2,060K","2,068K"
2017年2月16日21:30,"2,076K","2,051K"
2017年2月9日21:30,"2,078K","2,060K"
2017年2月2日21:30,"2,064K","2,065K"
2017年1月26日21:30,"2,100K","2,040K"
2017年1月19日21:30,"2,046K","2,073K"
2017年1月12日21:30,"2,087K","2,118K"
2017年1月5日21:30,"2,112K","2,051K"
2016年12月29日21:30,"2,102K","2,030K"
2016年12月22日21:30,"2,036K","2,015K"
2016年12月15日21:30,"2,018K","2,025K"
2016年12月8日21:30,"2,005K","2,059K"
2016年12月1日21:30,"2,081K","2,040K"
2016年11月23日21:30,"2,043K","2,030K"
2016年11月17日21:30,"1,977K","2,038K"
2016年11月10日21:30,"2,041K","2,030K"
2016年11月3日20:30,"2,026K","2,044K"
2016年10月27日20:30,"2,039K","2,068K"
2016年10月20日20:30,"2,057K","2,050K"
2016年10月13日20:30,"2,046K", 
2016年10月6日20:30,"2,058K","2,090K"
2016年9月29日20:30,"2,062K","2,130K"
2016年9月22日20:30,"2,113K","2,143K"
2016年9月15日20:30,"2,143K","2,140K"
2016年9月8日20:30,"2,144K","2,153K"
2016年9月1日20:30,"2,159K","2,145K"
2016年8月25日20:30,"2,145K","2,153K"
2016年8月18日20:30,"2,175K","2,140K"
