时间,今值,预测值
2017年9月14日 (八月)20:30, ,0.2%
2017年8月11日 (七月)20:30,0.1%,0.2%
2017年7月14日 (六月)20:30,0.1%,0.2%
2017年6月14日 (五月)20:30,0.1%,0.2%
2017年5月12日 (四月)20:30,0.1%,0.2%
2017年4月14日 (三月)20:30,-0.1%,0.2%
2017年3月15日 (二月)20:30,0.2%,0.2%
2017年2月15日 (一月)21:30,0.3%,0.2%
2017年1月18日 (十二月)21:30,0.2%,0.2%
2016年12月15日 (十一月)21:30,0.2%,0.2%
2016年11月17日 (十月)21:30,0.1%,0.2%
2016年10月18日 (九月)20:30,0.1%,0.2%
2016年9月16日 (八月)20:30,0.3%,0.2%
2016年8月16日 (七月)20:30,0.1%,0.2%
2016年7月15日 (六月)20:30,0.2%,0.2%
2016年6月16日 (五月)20:30,0.2%,0.2%
2016年5月17日 (四月)20:30,0.2%,0.2%
2016年4月14日 (三月)20:30,0.1%,0.2%
2016年3月16日 (二月)20:30,0.3%,0.2%
2016年2月19日 (一月)21:30,0.3%,0.2%
2016年1月20日 (十二月)21:30,0.1%,0.2%
2015年12月15日 (十一月)21:30,0.2%,0.2%
2015年11月17日 (十月)21:30,0.2%,0.2%
2015年10月15日 (九月)20:30,0.2%,0.1%
2015年9月16日 (八月)20:30,0.1%,0.1%
2015年8月19日 (七月)20:30,0.1%,0.2%
2015年7月17日 (六月)20:30,0.2%,0.2%
2015年6月18日 (五月)20:30,0.1%,0.2%
2015年5月22日 (四月)20:30,0.3%,0.2%
2015年4月17日 (三月)20:30,0.2%,0.2%
2015年3月24日 (二月)20:30,0.2%,0.1%
2015年2月26日 (一月)21:30,0.2%,0.1%
2015年1月16日 (十二月)21:30,0.0%,0.1%
2014年12月17日 (十一月)21:30,0.1%,0.1%
2014年11月20日 (十月)21:30,0.2%,0.2%
2014年10月22日 (九月)20:30,0.1%,0.2%
2014年9月17日 (八月)20:30,0.0%,0.2%
2014年8月19日20:30,0.1%,0.2%
2014年7月22日20:30,0.1%,0.2%
2014年6月17日20:30,0.3%,0.2%
2014年5月15日20:30,0.2%,0.1%
2014年4月15日20:30,0.2%,0.1%
2014年3月18日20:30,0.1%,0.1%
2014年2月20日21:30,0.1%,0.1%
2014年1月16日21:30,0.1%,0.1%
2013年12月17日21:30,0.2%,0.1%
2013年11月20日21:30,0.1%,0.1%
2013年10月30日20:30,0.1%,0.2%
2013年9月17日20:30,0.1%,0.1%
2013年8月15日20:30,0.2%,0.2%
2013年7月16日20:30,0.2%,0.2%
2013年6月18日20:30,0.2%,0.2%
2013年5月16日20:30,0.1%,0.2%
2013年4月16日20:30,0.1%,0.2%
2013年3月15日20:30,0.2%,0.2%
2013年2月21日21:30,0.3%,0.2%
2013年1月16日21:30,0.1%,0.2%
2012年12月14日21:30,0.1%,0.2%
2012年11月15日21:30,0.2%,0.1%
2012年10月16日20:30,0.1%,0.2%
2012年9月14日20:30,0.1%,0.2%
2012年8月15日20:30,0.1%,0.2%
2012年7月17日20:30,0.2%,0.2%
2012年6月14日20:30,0.2%,0.2%
2012年5月15日20:30,0.2%,0.2%
2012年4月13日20:30,0.2%,0.2%
2012年3月16日20:30,0.1%,0.2%
2012年2月17日21:30,0.2%,0.3%
2012年1月19日21:30,0.1%,0.1%
2011年12月16日21:30,0.2%,0.2%
2011年11月16日21:30,0.1%,0.1%
2011年10月19日20:30,0.1%,0.2%
2011年9月15日20:30,0.2%,0.2%
2011年8月18日20:30,0.2%,0.2%
2011年7月15日20:30,0.3%,0.2%
2011年6月15日20:30,0.3%,0.2%
2011年5月13日20:30,0.2%,0.2%
2011年4月15日20:30,0.1%,0.2%
2011年3月17日20:30,0.2%,0.1%
2011年2月17日21:30,0.2%,0.1%
2011年1月14日21:30,0.1%,0.1%
2010年12月15日21:30,0.1%,0.1%
2010年11月17日21:30,0.0%,0.1%
2010年10月15日20:30,0.0%,0.1%
2010年9月17日20:30,0.0%,0.1%
2010年8月13日20:30,0.1%,0.1%
2010年7月16日20:30,0.2%,0.1%
2010年6月17日20:30,0.1%,0.1%
2010年5月19日20:30,0.0%,0.1%
2010年4月14日20:30,0.0%,0.1%
2010年3月18日20:30,0.1%,0.1%
2010年2月19日21:30,-0.1%,0.2%
2010年1月15日21:30,0.1%,0.1%
2009年12月16日21:30,0.0%,0.1%
2009年11月18日21:30,0.2%,0.1%
2009年10月15日20:30,0.2%,0.1%
2009年9月16日20:30,0.1%,0.1%
2009年8月14日20:30,0.1%,0.1%
2009年7月15日20:30,0.2%,0.2%
2009年6月17日20:30,0.1%,0.1%
2009年5月15日20:30,0.3%,0.1%
2009年4月15日20:30,0.2%,0.1%
2009年3月18日20:30,0.2%,0.1%
2009年2月20日21:30,0.2%,0.1%
2009年1月16日21:30,0.0%,0.1%
2008年12月16日21:30,0.0%,0.1%
2008年11月19日21:30,-0.1%,0.1%
2008年10月16日20:30,0.4%,0.2%
2008年9月16日20:30,0.2%,0.2%
2008年8月14日20:30,0.3%,0.2%
2008年7月16日20:30,0.3%,0.2%
2008年6月13日20:30,0.2%,0.2%
2008年5月14日21:30,0.1%,0.2%
2008年4月16日20:30,0.2%,0.2%
2008年3月14日20:30,0.0%,0.2%
2008年2月20日21:30,0.3%,0.2%
2008年1月1日 (十二月)17:00,0.20%, 
2007年12月1日 (十一月)17:00,0.30%, 
2007年11月1日 (十月)17:00,0.20%, 
2007年10月1日 (九月)17:00,0.20%, 
2007年9月1日 (八月)17:00,0.20%, 
2007年8月1日 (七月)17:00,0.20%, 
2007年7月1日 (六月)17:00,0.20%, 
2007年6月1日 (五月)17:00,0.10%, 
2007年5月1日 (四月)17:00,0.20%, 
2007年4月1日 (三月)17:00,0.10%, 
2007年3月1日 (二月)17:00,0.30%, 
2007年2月1日 (一月)17:00,0.20%, 
2007年1月1日 (十二月)17:00,0.10%, 
2006年12月1日 (十一月)17:00,0.10%, 
2006年11月1日 (十月)17:00,0.20%, 
2006年10月1日 (九月)17:00,0.20%, 
2006年9月1日 (八月)17:00,0.20%, 
2006年8月1日 (七月)17:00,0.20%, 
2006年7月1日 (六月)17:00,0.20%, 
2006年6月1日 (五月)17:00,0.30%, 
2006年5月1日 (四月)17:00,0.20%, 
2006年4月1日 (三月)17:00,0.30%, 
2006年3月1日 (二月)17:00,0.20%, 
