时间,今值,预测值
2017年9月13日 (八月)20:30, ,2.1%
2017年8月10日 (七月)20:30,1.8%,2.1%
2017年7月13日 (六月)20:30,1.9%,2.0%
2017年6月13日 (五月)20:30,2.1%,2.0%
2017年5月11日 (四月)20:30,1.9%,1.7%
2017年4月13日 (三月)20:30,1.6%,1.8%
2017年3月14日 (二月)20:30,1.5%,1.5%
2017年2月14日 (一月)21:30,1.2%,1.1%
2017年1月13日 (十二月)21:30,1.6%,1.5%
2016年12月14日 (十一月)21:30,1.6%,1.3%
2016年11月16日 (十月)21:30,1.2%,1.5%
2016年10月14日 (九月)20:30,1.2%,1.2%
2016年9月15日 (八月)20:30,1.0%,1.0%
2016年8月12日 (七月)20:30,0.7%,1.2%
2016年7月14日 (六月)20:30,1.3%,1.0%
2016年6月15日 (五月)20:30,1.2%,1.0%
2016年5月13日 (四月)20:30,0.9%,1.0%
2016年4月13日 (三月)20:30,1.0%,1.3%
2016年3月15日 (二月)20:30,1.2%,1.1%
2016年2月17日 (一月)21:30,0.6%,0.4%
2016年1月15日 (十二月)21:30,0.3%,0.3%
2015年12月11日 (十一月)21:30,0.5%,0.2%
2015年11月13日 (十月)21:30,0.1%,0.5%
2015年10月14日 (九月)20:30,0.8%,1.2%
2015年9月11日 (八月)20:30,0.9%,0.7%
2015年8月14日 (七月)20:30,0.6%,0.5%
2015年7月15日 (六月)20:30,0.8%,0.7%
2015年6月12日 (五月)20:30,0.6%,0.7%
2015年5月14日 (四月)20:30,0.8%,1.1%
2015年4月14日 (三月)20:30,0.9%,0.9%
2015年3月13日 (二月)20:30,1.0%,1.6%
2015年2月18日 (一月)21:30,1.6%,2.0%
2015年1月15日 (十二月)21:30,2.1%,1.9%
2014年12月12日 (十一月)21:30,1.8%,1.8%
2014年11月18日 (十月)21:30,1.8%,1.5%
2014年10月15日 (九月)20:30,1.6%,1.8%
2014年9月16日 (八月)20:30,1.8%,1.8%
2014年8月15日20:30,1.6%,1.6%
2014年7月16日20:30,1.8%,1.7%
2014年6月13日20:30,2.0%,2.3%
2014年5月14日20:30,1.9%,1.4%
2014年4月11日20:30,1.4%,1.1%
2014年3月14日20:30,1.1%,1.4%
2014年2月19日21:30,1.3%,1.4%
2014年1月15日21:30,1.4%,1.3%
2013年12月13日21:30,1.3%,1.4%
2013年11月21日21:30,1.4%,1.3%
2013年10月29日20:30,1.2%,1.2%
2013年9月13日20:30,1.1%,1.3%
2013年8月14日20:30,1.2%,1.4%
2013年7月12日20:30,1.7%,1.6%
2013年6月14日20:30,1.7%,1.7%
2013年5月15日20:30,1.7%,1.7%
2013年4月12日20:30,1.7%,1.7%
2013年3月14日20:30,1.7%,1.7%
2013年2月20日21:30,1.8%,1.6%
2013年1月15日21:30,2.0%,2.1%
2012年12月13日21:30,2.2%,2.2%
2012年11月14日21:30,2.1%,2.5%
2012年10月12日20:30,2.3%,2.5%
2012年9月13日20:30,2.5%,2.6%
2012年8月14日20:30,2.5%,2.3%
2012年7月13日20:30,2.6%,2.6%
2012年6月13日20:30,2.7%,2.8%
2012年5月11日20:30,2.7%,2.8%
2012年4月1日 (三月)17:00,2.30%, 
2012年3月1日 (二月)17:00,2.60%, 
2012年2月1日 (一月)17:00,2.50%, 
2012年1月1日 (十二月)17:00,2.60%, 
2011年12月1日 (十一月)17:00,2.70%, 
2011年11月1日 (十月)17:00,2.70%, 
2011年10月1日 (九月)17:00,2.90%, 
2011年9月1日 (八月)17:00,3.00%, 
2011年8月1日 (七月)17:00,2.70%, 
2011年7月1日 (六月)17:00,2.60%, 
2011年6月1日 (五月)17:00,2.30%, 
2011年5月1日 (四月)17:00,2.50%, 
