时间,今值,预测值
2017年8月25日 (七月)20:30,-6.8%,-6.0%
2017年7月27日 (六月)20:30,6.5%,3.0%
2017年6月26日 (五月)20:30,-1.1%,-0.6%
2017年5月26日 (四月)20:30,-0.7%,-1.2%
2017年4月27日 (三月)20:30,0.7%,1.2%
2017年3月24日 (二月)20:30,1.7%,1.2%
2017年2月27日 (一月)21:30,1.8%,1.7%
2017年1月27日 (十二月)21:30,-0.4%,2.6%
2016年12月22日 (十一月)21:30,-4.6%,-4.7%
2016年11月23日 (十月)21:30,4.8%,1.5%
2016年10月27日 (九月)20:30,-0.1%,0.1%
2016年9月28日 (八月)20:30,0.0%,-1.4%
2016年8月25日 (七月)20:30,4.4%,3.3%
2016年7月27日 (六月)20:30,-4.0%,-1.1%
2016年6月24日 (五月)20:30,-2.2%,-0.5%
2016年5月26日 (四月)20:30,3.4%,0.5%
2016年4月26日 (三月)20:30,0.8%,1.8%
2016年3月24日 (二月)20:30,-2.8%,-2.9%
2016年2月25日 (一月)21:30,4.9%,2.5%
2016年1月28日 (十二月)21:30,-5.1%,-0.6%
2015年12月23日 (十一月)21:30,0.0%,-0.6%
2015年11月25日 (十月)21:30,3.0%,1.5%
2015年10月27日 (九月)20:30,-1.2%,-1.2%
2015年9月24日 (八月)20:30,-2.0%,-2.0%
2015年8月26日 (七月)20:30,2.0%,-0.4%
2015年7月27日 (六月)20:30,3.4%,3.0%
2015年6月23日 (五月)20:30,-1.8%,-0.6%
2015年5月26日 (四月)20:30,-0.5%,-0.4%
2015年4月24日 (三月)20:30,4.0%,0.6%
2015年3月25日 (二月)20:30,-1.4%,0.4%
2015年2月26日 (一月)21:30,2.8%,1.7%
2015年1月27日 (十二月)21:30,-3.4%,0.5%
2014年12月23日 (十一月)21:30,-0.7%,3.0%
2014年11月26日 (十月)21:30,0.4%,-0.4%
2014年10月28日 (九月)20:30,-1.3%,0.5%
2014年9月25日 (八月)20:30,-18.2%,-18.0%
2014年8月26日20:30,22.6%,7.5%
2014年7月25日20:30,0.7%,0.5%
2014年6月25日20:30,-1.0%,0.2%
2014年5月27日20:30,0.8%,-0.5%
2014年4月24日20:30,2.6%,2.0%
2014年3月26日20:30,2.2%,1.0%
2014年2月27日21:30,-1.0%,-1.5%
2014年1月28日21:30,-4.3%,1.8%
2013年12月24日21:30,3.5%,2.0%
2013年11月27日21:30,-2.0%,-1.9%
2013年10月25日20:30,3.7%,2.0%
2013年9月25日20:30,0.1%,0.2%
2013年8月26日20:30,-7.3%,-4.0%
2013年7月25日20:30,4.2%,1.3%
2013年6月25日20:30,3.6%,3.0%
2013年5月24日20:30,3.3%,1.5%
2013年4月24日20:30,-5.7%,-2.8%
2013年3月26日20:30,5.7%,3.8%
2013年2月27日21:30,-5.2%,-4.4%
2013年1月28日21:30,4.6%,1.8%
2012年12月21日21:30,0.7%,0.2%
2012年11月27日21:30,0.0%,-0.6%
2012年10月25日20:30,9.9%,7.1%
2012年9月27日20:30,-13.2%,-5.0%
2012年8月24日20:30,4.2%,2.4%
2012年7月26日20:30,1.6%,0.4%
2012年6月27日20:30,1.1%,0.4%
2012年5月24日20:30,0.2%,0.5%
2012年4月25日20:30,-4.2%,-1.7%
2012年3月28日20:30,2.2%,3.0%
2012年2月28日21:30,-4.0%,-0.8%
2012年1月26日21:30,3.0%,2.0%
2011年12月23日21:30,3.8%,2.2%
2011年11月23日21:30,-0.7%,-1.2%
2011年10月26日20:30,-0.8%,-0.7%
2011年9月28日20:30,-0.1%,-1.0%
2011年8月24日20:30,4.0%,2.0%
2011年7月27日20:30,-2.1%,0.4%
2011年6月24日20:30,1.9%,1.6%
2011年5月25日20:30,-3.6%,-2.0%
2011年4月27日20:30,2.5%,1.9%
2011年3月24日20:30,-0.9%,1.0%
2011年2月24日21:30,2.7%,3.0%
2011年1月27日21:30,-2.5%,1.5%
2010年12月23日21:30,-1.3%,-1.0%
2010年11月24日21:30,-3.3%,-0.3%
2010年10月27日20:30,3.3%,1.7%
2010年9月24日20:30,-1.3%,-1.3%
2010年8月25日20:30,0.3%,3.1%
2010年7月28日20:30,-1.0%,0.9%
2010年6月24日20:30,-1.1%,-1.8%
2010年5月26日20:30,2.9%,1.4%
2010年4月23日20:30,-1.3%,0.2%
2010年3月24日20:30,0.5%,0.7%
2010年2月25日21:30,3.0%,1.5%
2010年1月28日21:30,0.3%,2.0%
2009年12月24日21:30,0.2%,0.5%
2009年11月25日21:30,-0.6%,0.5%
2009年10月28日20:30,1.0%,1.0%
2009年9月25日20:30,-2.4%,0.3%
2009年8月26日20:30,4.9%,3.3%
2009年7月29日20:30,-2.5%,-0.6%
2009年6月24日20:30,1.8%,-0.7%
2009年5月28日20:30,1.9%,0.3%
2009年4月24日20:30,-0.8%,-1.4%
2009年3月25日20:30,3.4%,-2.3%
2009年2月26日21:30,-5.2%,-2.4%
2009年1月29日20:30,-2.6%,-1.9%
2008年12月24日21:30,-1.0%,-3.2%
2008年11月26日21:30,-6.2%,-2.8%
2008年10月29日20:30,0.8%,-1.2%
2008年9月25日20:30,-4.5%,-1.6%
2008年8月27日20:30,1.3%,0.1%
2008年7月25日20:30,0.8%,-0.3%
2008年6月25日20:30,0.0%,0.0%
2008年5月28日21:30,-0.5%,-1.5%
2008年4月24日20:30,-0.3%,0.0%
2008年3月26日20:30,-1.7%,0.8%
2008年2月27日21:30,-5.3%,-4.0%
