时间,今值,预测值
2017年8月31日 (八月)21:45,58.9,58.5
2017年7月31日 (七月)21:45,58.9,60.0
2017年6月30日 (六月)21:45,65.7,58.0
2017年5月31日 (五月)21:45,59.4,57.0
2017年4月28日 (四月)21:45,58.3,56.4
2017年3月31日 (三月)21:45,57.7,56.9
2017年2月28日 (二月)22:45,57.4,53.0
2017年1月31日 (一月)22:45,50.3,55.0
2016年12月30日 (十二月)22:45,54.6,57.0
2016年11月30日 (十一月)22:45,57.6,52.0
2016年10月31日 (十月)21:45,50.6,54.0
2016年9月30日 (九月)21:45,54.2,52.0
2016年8月31日 (八月)21:45,51.5,54.0
2016年7月29日 (七月)21:45,55.8,54.0
2016年6月30日 (六月)21:45,56.8,50.7
2016年5月31日 (五月)21:45,49.3,50.9
2016年4月29日 (四月)21:45,50.4,53.0
2016年3月31日 (三月)21:45,53.6,50.0
2016年2月29日 (二月)22:45,47.6,53.0
2016年1月29日 (一月)22:45,55.6,45.0
2015年12月31日 (十二月)22:45,42.9,49.8
2015年11月30日 (十一月)22:45,48.7,54.0
2015年10月30日 (十月)21:45,56.2,49.0
2015年9月30日 (九月)21:45,48.7,53.0
2015年8月31日 (八月)21:45,54.4,54.7
2015年7月31日 (七月)21:45,54.7,50.5
2015年6月30日 (六月)21:45,49.4,50.0
2015年5月29日 (五月)21:45,46.2,53.0
2015年4月30日 (四月)21:45,52.3,50.0
2015年3月31日 (三月)21:45,46.3,51.5
2015年2月27日 (二月)22:45,45.8,58.0
2015年1月30日 (一月)22:45,59.4,57.5
2014年12月31日 (十二月)22:45,58.3,60.2
2014年11月26日 (十一月)22:45,60.8,63.1
2014年10月31日 (十月)21:45,66.2,60.0
2014年9月30日 (九月)21:45,60.5,61.9
2014年8月29日21:45,64.3,56.0
2014年7月31日21:45,52.6,63.0
2014年6月30日21:45,62.6,63.0
2014年5月30日21:45,65.5,61.0
2014年4月30日21:45,63.0,56.7
2014年3月31日21:45,55.9,59.0
2014年2月28日22:45,59.8,57.0
2014年1月31日22:45,59.6,59.0
2013年12月31日22:45,59.1,61.0
2013年11月27日22:45,63.0,60.0
2013年10月31日21:45,65.9,55.0
2013年9月30日21:45,55.7,54.0
2013年8月30日21:45,53.0,53.0
2013年7月31日21:45,52.3,54.0
2013年6月28日21:45,51.6,56.0
2013年5月31日21:45,58.7,50.0
2013年4月30日21:45,49.0,52.5
2013年3月28日21:45,52.4,56.5
2013年2月28日22:45,56.8,54.3
2013年1月31日22:45,55.6,50.5
2012年12月28日22:45,51.6,51.0
2012年11月30日22:45,50.4,50.5
2012年10月31日21:45,49.9,51.0
2012年9月28日21:45,49.7,53.0
2012年8月31日21:45,53.0,53.5
2012年7月31日21:45,53.7,52.4
2012年6月29日21:45,52.9,52.5
2012年5月31日21:45,52.7,56.5
2012年4月30日21:45,56.2,61.0
2012年3月30日21:45,62.2,63.1
2012年2月29日22:45,64.0,61.8
2012年1月31日22:45,60.2,63.0
2011年12月29日22:45,62.5,60.8
2011年11月30日22:45,62.6,58.6
2011年10月31日21:45,58.4,59.0
2011年9月30日21:45,60.4,56.0
2011年8月31日21:45,56.5,54.8
2011年7月29日21:45,58.8,60.0
2011年6月30日21:45,61.1,54.0
2011年5月31日21:45,56.6,62.5
2011年4月29日21:45,67.6,67.1
2011年3月31日21:45,70.6,69.5
2011年2月28日22:45,71.2,67.5
2011年1月31日22:45,68.8,65.0
2010年12月30日22:45,68.6,61.5
2010年11月30日22:45,62.5,59.8
2010年10月29日21:45,60.6,57.5
2010年9月30日21:45,60.4,56.0
2010年8月31日21:45,56.7,57.5
2010年7月30日21:45,62.3,56.5
2010年6月30日21:45,59.1,59.0
2010年5月28日21:45,59.7,60.0
2010年4月30日21:45,63.8,59.8
2010年3月31日21:45,58.8,61.0
2010年2月26日22:45,62.6,59.0
2010年1月29日22:45,61.5,57.3
2009年12月30日22:45,60.0,55.2
2009年11月30日22:45,56.1,53.0
2009年10月30日21:45,54.2,48.5
2009年9月30日21:45,46.1,53.0
2009年8月31日21:45,50.0,47.5
2009年7月31日21:45,43.4,42.1
2009年6月30日21:45,39.9,38.6
2009年5月29日21:45,34.9,42.3
2009年4月30日21:45,40.1,34.3
2009年3月31日21:45,31.4,34.3
2009年2月27日22:45,34.2,33.0
2009年1月30日22:45,33.3,34.3
2008年12月30日22:45,34.1,33.0
2008年11月26日22:45,33.8,36.5
2008年10月31日21:45,37.8,48.5
2008年9月30日21:45,56.7,53.5
2008年8月29日21:45,57.9,50.1
2008年7月31日21:45,50.8,49.0
2008年6月30日21:45,49.6,48.2
2008年5月30日22:45,49.1,48.5
2008年4月30日22:45,48.3,47.5
2008年3月31日21:45,48.2,46.0
2008年2月29日22:45,44.5,49.4
2008年1月1日 (十二月)17:00,55.90, 
2007年12月1日 (十一月)17:00,53.40, 
2007年11月1日 (十月)17:00,50.80, 
2007年10月1日 (九月)17:00,52.70, 
2007年9月1日 (八月)17:00,52.20, 
2007年8月1日 (七月)17:00,52.80, 
2007年7月1日 (六月)17:00,58.30, 
2007年6月1日 (五月)17:00,60.60, 
2007年5月1日 (四月)17:00,54.20, 
2007年4月1日 (三月)17:00,58.60, 
2007年3月1日 (二月)17:00,51.20, 
2007年2月1日 (一月)17:00,52.10, 
2007年1月1日 (十二月)17:00,51.60, 
2006年12月1日 (十一月)17:00,51.10, 
2006年11月1日 (十月)17:00,53.90, 
2006年10月1日 (九月)17:00,58.70, 
2006年9月1日 (八月)17:00,56.90, 
2006年8月1日 (七月)17:00,56.70, 
2006年7月1日 (六月)17:00,56.50, 
2006年6月1日 (五月)17:00,58.80, 
2006年5月1日 (四月)17:00,57.60, 
2006年4月1日 (三月)17:00,59.40, 
2006年3月1日 (二月)17:00,59.50, 
2006年2月1日 (一月)17:00,61.10, 
2006年1月1日 (十二月)17:00,60.20, 
2005年12月1日 (十一月)17:00,62.30, 
2005年11月1日 (十月)17:00,61.70, 
2005年10月1日 (九月)17:00,58.30, 
2005年9月1日 (八月)17:00,52.30, 
2005年8月1日 (七月)17:00,61.20, 
2005年7月1日 (六月)17:00,57.00, 
2005年6月1日 (五月)17:00,53.40, 
2005年5月1日 (四月)17:00,65.40, 
2005年4月1日 (三月)17:00,65.00, 
2005年3月1日 (二月)17:00,65.90, 
2005年2月1日 (一月)17:00,62.70, 
2005年1月1日 (十二月)17:00,61.70, 
2004年12月1日 (十一月)17:00,64.20, 
2004年11月1日 (十月)17:00,66.80, 
2004年10月1日 (九月)17:00,63.20, 
2004年9月1日 (八月)17:00,59.80, 
2004年8月1日 (七月)17:00,63.10, 
2004年7月1日 (六月)17:00,60.90, 
2004年6月1日 (五月)17:00,65.40, 
2004年5月1日 (四月)17:00,64.10, 
2004年4月1日 (三月)17:00,57.90, 
2004年3月1日 (二月)17:00,62.30, 
2004年2月1日 (一月)17:00,64.70, 
2004年1月1日 (十二月)17:00,62.00, 
2003年12月1日 (十一月)17:00,61.10, 
2003年11月1日 (十月)17:00,54.80, 
2003年10月1日 (九月)17:00,54.20, 
2003年9月1日 (八月)17:00,59.40, 
2003年8月1日 (七月)17:00,54.80, 
2003年7月1日 (六月)17:00,55.00, 
2003年6月1日 (五月)17:00,49.80, 
2003年5月1日 (四月)17:00,47.50, 
2003年4月1日 (三月)17:00,49.00, 
2003年3月1日 (二月)17:00,53.70, 
2003年2月1日 (一月)17:00,54.20, 
2003年1月1日 (十二月)17:00,53.70, 
2002年12月1日 (十一月)17:00,53.30, 
2002年11月1日 (十月)17:00,45.90, 
2002年10月1日 (九月)17:00,51.70, 
2002年9月1日 (八月)17:00,53.80, 
2002年8月1日 (七月)17:00,53.40, 
2002年7月1日 (六月)17:00,56.40, 
2002年6月1日 (五月)17:00,57.90, 
2002年5月1日 (四月)17:00,55.60, 
2002年4月1日 (三月)17:00,55.20, 
2002年3月1日 (二月)17:00,50.70, 
2002年2月1日 (一月)17:00,45.20, 
2002年1月1日 (十二月)17:00,42.00, 
2001年12月1日 (十一月)17:00,43.10, 
2001年11月1日 (十月)17:00,45.20, 
2001年10月1日 (九月)17:00,46.80, 
2001年9月1日 (八月)17:00,43.10, 
2001年8月1日 (七月)17:00,39.30, 
2001年7月1日 (六月)17:00,41.40, 
2001年6月1日 (五月)17:00,37.60, 
2001年5月1日 (四月)17:00,39.40, 
2001年4月1日 (三月)17:00,35.10, 
2001年3月1日 (二月)17:00,41.60, 
2001年2月1日 (一月)17:00,42.50, 
2001年1月1日 (十二月)17:00,45.30, 
2000年12月1日 (十一月)17:00,43.70, 
2000年11月1日 (十月)17:00,48.00, 
2000年10月1日 (九月)17:00,50.10, 
2000年9月1日 (八月)17:00,47.20, 
2000年8月1日 (七月)17:00,52.10, 
2000年7月1日 (六月)17:00,53.40, 
2000年6月1日 (五月)17:00,53.50, 
2000年5月1日 (四月)17:00,55.60, 
2000年4月1日 (三月)17:00,56.30, 
2000年3月1日 (二月)17:00,57.20, 
2000年2月1日 (一月)17:00,59.30, 
2000年1月1日 (十二月)17:00,56.70, 
1999年12月1日 (十一月)17:00,59.40, 
1999年11月1日 (十月)17:00,59.10, 
1999年10月1日 (九月)17:00,52.00, 
1999年9月1日 (八月)17:00,58.60, 
1999年8月1日 (七月)17:00,58.80, 
1999年7月1日 (六月)17:00,56.50, 
1999年6月1日 (五月)17:00,57.40, 
1999年5月1日 (四月)17:00,61.20, 
1999年4月1日 (三月)17:00,55.60, 
1999年3月1日 (二月)17:00,52.10, 
1999年2月1日 (一月)17:00,50.40, 
1999年1月1日 (十二月)17:00,52.60, 
1998年12月1日 (十一月)17:00,51.90, 
1998年11月1日 (十月)17:00,49.40, 
1998年10月1日 (九月)17:00,52.40, 
1998年9月1日 (八月)17:00,50.90, 
1998年8月1日 (七月)17:00,54.90, 
1998年7月1日 (六月)17:00,51.00, 
1998年6月1日 (五月)17:00,56.60, 
1998年5月1日 (四月)17:00,57.10, 
1998年4月1日 (三月)17:00,58.40, 
1998年3月1日 (二月)17:00,58.50, 
1998年2月1日 (一月)17:00,60.20, 
1998年1月1日 (十二月)17:00,59.80, 
1997年12月1日 (十一月)17:00,60.80, 
1997年11月1日 (十月)17:00,57.60, 
1997年10月1日 (九月)17:00,59.30, 
1997年9月1日 (八月)17:00,62.90, 
1997年8月1日 (七月)17:00,57.70, 
1997年7月1日 (六月)17:00,59.90, 
1997年6月1日 (五月)17:00,57.00, 
1997年5月1日 (四月)17:00,57.20, 
1997年4月1日 (三月)17:00,57.90, 
1997年3月1日 (二月)17:00,57.50, 
1997年2月1日 (一月)17:00,56.90, 
