时间,今值,预测值
2017年9月26日 (九月)22:00, ,120.3
2017年8月29日 (八月)22:00,122.9,120.3
2017年7月25日 (七月)22:00,121.1,116.5
2017年6月27日 (六月)22:00,118.9,116.0
2017年5月30日 (五月)22:00,117.9,119.8
2017年4月25日 (四月)22:00,120.3,122.5
2017年3月28日 (三月)22:00,125.6,114.0
2017年2月28日 (二月)23:00,114.8,111.0
2017年1月31日 (一月)23:00,111.8,113.0
2016年12月27日 (十二月)23:00,113.7,109.0
2016年11月29日 (十一月)23:00,107.1,101.2
2016年10月25日 (十月)22:00,98.6,101.0
2016年9月27日 (九月)22:00,104.1,99.0
2016年8月30日 (八月)22:00,101.1,97.0
2016年7月26日 (七月)22:00,97.3,95.9
2016年6月28日 (六月)22:00,98.0,93.3
2016年5月31日 (五月)22:00,92.6,96.0
2016年4月26日 (四月)22:00,94.2,96.0
2016年3月29日 (三月)22:00,96.2,94.0
2016年2月23日 (二月)23:00,92.2,97.0
2016年1月26日 (一月)23:00,98.1,96.5
2015年12月29日 (十二月)23:00,96.5,93.8
2015年11月24日 (十一月)23:00,90.4,99.5
2015年10月27日 (十月)22:00,97.6,103.0
2015年9月29日 (九月)22:00,103.0,96.1
2015年8月25日 (八月)22:00,101.5,93.4
2015年7月28日 (七月)22:00,90.9,100.0
2015年6月30日 (六月)22:00,101.4,97.3
2015年5月26日 (五月)22:00,95.4,94.9
2015年4月28日 (四月)22:00,95.2,102.5
2015年3月31日 (三月)22:00,101.3,96.0
2015年2月24日 (二月)23:00,96.4,99.6
2015年1月27日 (一月)23:00,102.9,95.1
2014年12月30日 (十二月)23:00,92.6,93.2
2014年11月25日 (十一月)23:00,88.7,95.9
2014年10月28日 (十月)22:00,94.5,87.0
2014年9月30日 (九月)22:00,86.0,92.5
2014年8月26日22:00,92.4,89.0
2014年7月29日22:00,90.9,85.3
2014年6月24日22:00,85.2,83.5
2014年5月27日22:00,83.0,83.0
2014年4月29日22:00,82.3,83.0
2014年3月25日22:00,82.3,78.6
2014年2月25日23:00,78.1,80.0
2014年1月28日23:00,80.7,78.1
2013年12月31日23:00,78.1,76.0
2013年11月26日23:00,70.4,72.9
2013年10月29日22:00,71.2,75.0
2013年9月24日22:00,79.7,79.9
2013年8月27日22:00,81.5,79.0
2013年7月30日22:00,80.3,81.4
2013年6月25日22:00,81.4,75.4
2013年5月28日22:00,76.2,71.0
2013年4月30日22:00,68.1,60.8
2013年3月26日22:00,59.7,68.0
2013年2月26日23:00,69.6,61.0
2013年1月29日23:00,58.6,64.0
2012年12月27日23:00,65.1,70.0
2012年11月27日23:00,73.7,73.0
2012年11月1日22:00,72.2,72.5
2012年9月25日22:00,70.3,63.0
2012年8月28日22:00,60.6,66.0
2012年7月31日22:00,65.9,61.5
2012年6月26日22:00,62.0,63.5
2012年5月29日22:00,64.9,70.0
2012年4月24日22:00,69.2,69.7
2012年3月27日22:00,70.2,70.3
2012年2月28日23:00,70.8,63.0
2012年1月31日23:00,61.1,68.2
2011年12月27日23:00,64.5,58.2
2011年11月29日23:00,56.0,43.0
2011年10月25日22:00,39.8,46.0
2011年9月27日22:00,45.4,46.5
2011年8月30日22:00,44.5,52.2
2011年7月26日22:00,59.5,56.0
2011年6月28日21:45,58.5,60.3
2011年5月31日22:00,60.8,66.3
2011年4月26日22:00,65.4,64.4
2011年3月29日22:00,63.4,65.0
2011年2月22日23:00,70.4,65.1
2011年1月25日23:00,60.6,53.5
2010年12月28日23:00,52.5,56.1
2010年11月30日23:00,54.1,52.0
2010年10月26日22:00,50.2,49.0
2010年9月28日22:00,48.5,52.9
2010年8月31日22:00,53.5,50.0
2010年7月27日22:00,50.4,51.0
2010年6月29日22:00,52.9,62.0
2010年5月25日22:00,63.3,58.3
2010年4月27日22:00,57.9,53.7
2010年3月30日22:00,52.5,50.0
2010年2月23日23:00,46.0,55.0
2010年1月26日23:00,55.9,53.5
2009年12月29日23:00,52.9,53.0
2009年11月24日23:00,49.5,47.7
2009年10月27日22:00,47.7,53.4
2009年9月29日22:00,53.1,57.0
2009年8月25日22:00,54.1,48.1
2009年7月28日22:00,46.6,49.0
2009年6月30日22:00,49.3,55.8
2009年5月26日22:00,54.9,42.1
2009年4月28日22:00,39.2,29.6
2009年3月31日22:00,26.0,27.8
2009年2月24日23:00,25.0,35.5
2009年1月27日23:00,37.7,38.7
2008年12月30日23:00,38.0,45.5
2008年11月25日23:00,44.9,38.0
2008年10月28日22:00,38.0,52.2
2008年9月30日22:00,59.8,54.6
2008年8月26日22:00,56.9,53.0
2008年7月29日22:00,51.9,50.0
2008年6月24日22:00,50.4,56.4
2008年5月27日23:00,52.7,60.0
2008年4月29日22:00,62.3,61.5
2008年3月25日22:00,64.5,73.5
2008年2月26日23:00,75.0,82.0
2008年1月1日 (十二月)17:00,90.60, 
2007年12月1日 (十一月)17:00,87.80, 
2007年11月1日 (十月)17:00,95.20, 
2007年10月1日 (九月)17:00,99.50, 
2007年9月1日 (八月)17:00,105.60, 
2007年8月1日 (七月)17:00,111.90, 
2007年7月1日 (六月)17:00,105.30, 
2007年6月1日 (五月)17:00,108.50, 
2007年5月1日 (四月)17:00,106.30, 
2007年4月1日 (三月)17:00,108.20, 
2007年3月1日 (二月)17:00,111.20, 
2007年2月1日 (一月)17:00,110.20, 
2007年1月1日 (十二月)17:00,110.00, 
2006年12月1日 (十一月)17:00,105.30, 
2006年11月1日 (十月)17:00,105.10, 
2006年10月1日 (九月)17:00,105.90, 
2006年9月1日 (八月)17:00,100.20, 
2006年8月1日 (七月)17:00,107.00, 
2006年7月1日 (六月)17:00,105.40, 
2006年6月1日 (五月)17:00,104.70, 
2006年5月1日 (四月)17:00,109.80, 
2006年4月1日 (三月)17:00,107.50, 
2006年3月1日 (二月)17:00,102.70, 
2006年2月1日 (一月)17:00,106.80, 
2006年1月1日 (十二月)17:00,103.80, 
2005年12月1日 (十一月)17:00,98.30, 
2005年11月1日 (十月)17:00,85.20, 
2005年10月1日 (九月)17:00,87.50, 
2005年9月1日 (八月)17:00,105.50, 
2005年8月1日 (七月)17:00,103.60, 
2005年7月1日 (六月)17:00,106.20, 
2005年6月1日 (五月)17:00,103.10, 
2005年5月1日 (四月)17:00,97.50, 
2005年4月1日 (三月)17:00,103.00, 
2005年3月1日 (二月)17:00,104.40, 
2005年2月1日 (一月)17:00,105.10, 
2005年1月1日 (十二月)17:00,102.70, 
2004年12月1日 (十一月)17:00,92.60, 
2004年11月1日 (十月)17:00,92.90, 
2004年10月1日 (九月)17:00,96.70, 
2004年9月1日 (八月)17:00,98.70, 
2004年8月1日 (七月)17:00,105.70, 
2004年7月1日 (六月)17:00,102.80, 
2004年6月1日 (五月)17:00,93.10, 
2004年5月1日 (四月)17:00,93.00, 
2004年4月1日 (三月)17:00,88.50, 
2004年3月1日 (二月)17:00,88.50, 
2004年2月1日 (一月)17:00,97.70, 
2004年1月1日 (十二月)17:00,94.80, 
2003年12月1日 (十一月)17:00,92.50, 
2003年11月1日 (十月)17:00,81.70, 
2003年10月1日 (九月)17:00,77.00, 
2003年9月1日 (八月)17:00,81.70, 
2003年8月1日 (七月)17:00,77.00, 
2003年7月1日 (六月)17:00,83.50, 
2003年6月1日 (五月)17:00,83.60, 
2003年5月1日 (四月)17:00,81.00, 
2003年4月1日 (三月)17:00,61.40, 
2003年3月1日 (二月)17:00,64.80, 
