时间,今值,预测值
2017年9月19日 (八月)20:30, ,0.2%
2017年8月15日 (七月)20:30,0.1%,0.1%
2017年7月18日 (六月)20:30,-0.2%,-0.2%
2017年6月15日 (五月)20:30,-0.3%,-0.1%
2017年5月10日 (四月)20:30,0.5%,0.2%
2017年4月12日 (三月)20:30,-0.2%,-0.2%
2017年3月9日 (二月)21:30,0.2%,0.1%
2017年2月10日 (一月)21:30,0.4%,0.2%
2017年1月12日 (十二月)21:30,0.4%,0.7%
2016年12月13日 (十一月)21:30,-0.3%,-0.4%
2016年11月15日 (十月)21:30,0.5%,0.4%
2016年10月13日 (九月)20:30,0.1%,0.2%
2016年9月14日 (八月)20:30,-0.2%,-0.1%
2016年8月11日 (七月)20:30,0.1%,-0.3%
2016年7月13日 (六月)20:30,0.2%,0.5%
2016年6月14日 (五月)20:30,1.4%,0.7%
2016年5月12日 (四月)20:30,0.3%,0.5%
2016年4月12日 (三月)20:30,0.2%,1.0%
2016年3月11日 (二月)21:30,-0.3%,-0.6%
2016年2月12日 (一月)21:30,-1.1%,-1.4%
2016年1月14日 (十二月)21:30,-1.2%,-1.4%
2015年12月10日 (十一月)21:30,-0.4%,-0.7%
2015年11月10日 (十月)21:30,-0.5%,-0.1%
2015年10月9日 (九月)20:30,-0.1%,-0.5%
2015年9月10日 (八月)20:30,-1.8%,-1.6%
2015年8月13日 (七月)20:30,-0.9%,-1.1%
2015年7月14日 (六月)20:30,-0.1%,0.1%
2015年6月11日 (五月)20:30,1.3%,0.8%
2015年5月13日 (四月)20:30,-0.3%,0.3%
2015年4月10日 (三月)20:30,-0.3%,-0.3%
2015年3月12日 (二月)20:30,0.4%,0.2%
2015年2月13日 (一月)21:30,-2.8%,-3.2%
2015年1月14日 (十二月)21:30,-2.5%,-2.9%
2014年12月11日 (十一月)21:30,-1.5%,-1.7%
2014年11月14日 (十月)21:30,-1.3%,-1.2%
2014年10月10日 (九月)20:30,-0.5%,-0.7%
2014年9月12日20:30,-0.9%,-0.9%
2014年8月14日20:30,-0.2%,-0.3%
2014年7月15日20:30,0.1%,0.3%
2014年6月12日20:30,0.1%,0.2%
2014年5月13日20:30,-0.4%,0.3%
2014年4月10日20:30,0.6%,0.2%
2014年3月13日20:30,0.9%,0.4%
2014年2月14日21:30,0.1%,-0.1%
2014年1月14日21:30,0.0%,0.3%
2013年12月12日21:30,-0.6%,-0.6%
2013年11月15日21:30,-0.7%,-0.4%
2013年10月23日20:30,0.2%,0.2%
2013年9月12日20:30,0.0%,0.4%
2013年8月13日20:30,0.2%,0.6%
2013年7月11日20:30,-0.2%,0.1%
2013年6月13日20:30,-0.6%,0.1%
2013年5月14日20:30,-0.5%,-0.5%
2013年4月11日20:30,-0.5%,-0.5%
2013年3月13日20:30,1.1%,0.5%
2013年2月13日21:30,0.6%,0.7%
2013年1月11日21:30,-0.1%,0.1%
2012年12月12日21:30,-0.9%,-0.5%
