时间,今值,预测值
2017年9月1日 (八月)20:30,156K,180K
2017年8月4日 (七月)20:30,209K,183K
2017年7月7日 (六月)20:30,222K,179K
2017年6月2日 (五月)20:30,138K,185K
2017年5月5日 (四月)20:30,211K,185K
2017年4月7日 (三月)20:30,98K,180K
2017年3月10日 (二月)21:30,235K,200K
2017年2月3日 (一月)21:30,227K,175K
2017年1月6日 (十二月)21:30,156K,178K
2016年12月2日 (十一月)21:30,178K,175K
2016年11月4日 (十月)20:30,161K,175K
2016年10月7日 (九月)20:30,156K,175K
2016年9月2日 (八月)20:30,151K,180K
2016年8月5日 (七月)20:30,255K,180K
2016年7月8日 (六月)20:30,287K,175K
2016年6月3日 (五月)20:30,38K,164K
2016年5月6日 (四月)20:30,160K,202K
2016年4月1日 (三月)20:30,215K,205K
2016年3月4日 (二月)21:30,242K,190K
2016年2月5日 (一月)21:30,151K,190K
2016年1月8日 (十二月)21:30,292K,200K
2015年12月4日 (十一月)21:30,211K,200K
2015年11月6日 (十月)21:30,271K,180K
2015年10月2日 (九月)20:30,142K,203K
2015年9月4日 (八月)20:30,173K,220K
2015年8月7日 (七月)20:30,215K,223K
2015年7月2日 (六月)20:30,223K,230K
2015年6月5日 (五月)20:30,280K,225K
2015年5月8日 (四月)20:30,223K,224K
2015年4月3日 (三月)20:30,126K,245K
2015年3月6日 (二月)21:30,295K,240K
2015年2月6日 (一月)21:30,257K,234K
2015年1月9日 (十二月)21:30,252K,240K
2014年12月5日 (十一月)21:30,321K,225K
2014年11月7日 (十月)21:30,214K,231K
2014年10月3日 (九月)20:30,248K,215K
2014年9月5日20:30,142K,225K
2014年8月1日20:30,209K,233K
2014年7月3日20:30,288K,212K
2014年6月6日20:30,217K,218K
2014年5月2日20:30,288K,210K
2014年4月4日20:30,192K,200K
2014年3月7日21:30,175K,149K
2014年2月7日21:30,113K,185K
2014年1月10日21:30,74K,196K
2013年12月6日21:30,203K,180K
2013年11月8日21:30,204K,125K
2013年10月22日20:30,148K,180K
2013年9月6日20:30,169K,180K
2013年8月2日20:30,162K,184K
2013年7月5日20:30,195K,165K
2013年6月7日20:30,175K,170K
2013年5月3日20:30,165K,145K
2013年4月5日20:30,88K,200K
2013年3月8日21:30,236K,160K
2013年2月1日21:30,157K,160K
2013年1月4日21:30,155K,150K
2012年12月7日21:30,146K,93K
2012年11月2日20:30,171K,125K
2012年10月5日20:30,114K,113K
2012年9月7日20:30,96K,125K
2012年8月3日20:30,163K,100K
2012年7月6日20:30,80K,90K
2012年6月1日20:30,69K,150K
2012年5月4日20:30,115K,170K
2012年4月6日20:30,120K,203K
2012年3月9日21:30,227K,210K
2012年2月3日21:30,243K,150K
2012年1月6日21:30,200K,150K
2011年12月2日21:30,120K,120K
2011年11月4日20:30,80K,95K
2011年10月7日20:30,103K,53K
2011年9月2日20:30,0K,74K
2011年8月5日20:30,117K,95K
2011年7月8日20:30,18K,89K
2011年6月3日20:30,54K,169K
2011年5月6日20:30,244K,185K
2011年4月1日20:30,216K,188K
2011年3月4日21:30,192K,180K
2011年2月4日21:30,36K,150K
2011年1月7日21:30,103K,150K
2010年12月3日21:30,39K,140K
2010年11月5日20:30,151K,60K
2010年10月8日20:30,-95K,3K
2010年9月3日20:30,-54K,-118K
2010年8月6日20:30,-131K,-65K
2010年7月2日20:30,-125K,-100K
2010年6月4日20:30,431K,500K
2010年5月7日20:30,290K,187K
2010年4月2日20:30,162K,190K
2010年3月5日21:30,-36K,-55K
2010年2月5日21:30,-20K,15K
2010年1月8日21:30,-85K,0K
2009年12月4日21:30,-11K,-114K
2009年11月6日21:30,-190K,-166K
2009年10月2日20:30,-263K,-190K
2009年9月4日20:30,-216K,-220K
2009年8月7日20:30,-247K,-330K
2009年7月2日20:30,-467K,-375K
2009年6月5日20:30,-345K,-521K
2009年5月8日20:30,-539K,-580K
2009年4月3日20:30,-663K,-662K
2009年3月6日21:30,-651K,-636K
2009年2月6日21:30,-598K,-530K
2009年1月9日21:30,-524K,-475K
2008年12月5日21:30,-533K,-320K
2008年11月7日21:30,-240K,-200K
2008年10月3日20:30,-159K,-100K
2008年9月5日20:30,-84K,-73K
2008年8月1日20:30,-51K,-75K
2008年7月3日20:30,-62K,-60K
2008年6月6日21:30,-49K,-57K
2008年5月2日20:30,-20K,-80K
2008年4月4日20:30,-80K,-50K
2008年3月7日21:30,-63K,25K
2008年2月1日 (一月)20:30,15K, 
2008年1月4日 (十二月)20:30,97K, 
2007年12月7日 (十一月)20:30,117K, 
2007年11月2日 (十月)20:30,83K, 
2007年10月5日 (九月)20:30,86K, 
2007年9月7日 (八月)20:30,-17K, 
2007年8月3日 (七月)20:30,-34K, 
2007年7月6日 (六月)20:30,71K, 
2007年6月1日 (五月)20:30,145K, 
2007年5月4日 (四月)20:30,78K, 
2007年4月6日 (三月)20:30,188K, 
2007年3月9日 (二月)20:30,88K, 
2007年2月2日 (一月)20:30,237K, 
2007年1月5日 (十二月)20:30,172K, 
2006年12月8日 (十一月)20:30,209K, 
2006年11月3日 (十月)20:30,3K, 
2006年10月6日 (九月)20:30,156K, 
2006年9月1日 (八月)20:30,185K, 
2006年8月4日 (七月)20:30,206K, 
2006年7月7日 (六月)20:30,77K, 
2006年6月2日 (五月)20:30,24K, 
2006年5月5日 (四月)20:30,182K, 
2006年4月7日 (三月)20:30,281K, 
2006年3月10日 (二月)20:30,315K, 
2006年2月3日 (一月)20:30,277K, 
2006年1月6日 (十二月)20:30,158K, 
2005年12月2日 (十一月)20:30,337K, 
2005年11月4日 (十月)20:30,84K, 
2005年10月7日 (九月)20:30,66K, 
2005年9月2日 (八月)20:30,196K, 
2005年8月5日 (七月)20:30,375K, 
2005年7月8日 (六月)20:30,243K, 
2005年6月3日 (五月)20:30,176K, 
2005年5月6日 (四月)20:30,363K, 
2005年4月1日 (三月)20:30,135K, 
2005年3月4日 (二月)20:30,239K, 
2005年2月4日 (一月)20:30,134K, 
2005年1月7日 (十二月)20:30,129K, 
2004年12月3日 (十一月)20:30,64K, 
2004年11月5日 (十月)20:30,345K, 
2004年10月8日 (九月)20:30,162K, 
2004年9月3日 (八月)20:30,132K, 
2004年8月6日 (七月)20:30,33K, 
2004年7月2日 (六月)20:30,74K, 
2004年6月4日 (五月)20:30,308K, 
2004年5月7日 (四月)20:30,248K, 
2004年4月2日 (三月)20:30,331K, 
2004年3月5日 (二月)20:30,46K, 
2004年2月6日 (一月)20:30,160K, 
2004年1月9日 (十二月)20:30,123K, 
2003年12月5日 (十一月)20:30,17K, 
2003年11月7日 (十月)20:30,196K, 
2003年10月3日 (九月)20:30,103K, 
2003年9月5日 (八月)20:30,-43K, 
2003年8月1日 (七月)20:30,24K, 
2003年7月3日 (六月)20:30,9K, 
2003年6月6日 (五月)20:30,-10K, 
2003年5月2日 (四月)20:30,-44K, 
2003年4月4日 (三月)20:30,-210K, 
2003年3月7日 (二月)20:30,-151K, 
2003年2月7日 (一月)20:30,91K, 
2003年1月10日 (十二月)20:30,-157K, 
2002年12月6日 (十一月)20:30,10K, 
2002年11月1日 (十月)20:30,125K, 
2002年10月4日 (九月)20:30,-60K, 
2002年9月6日 (八月)20:30,-16K, 
2002年8月2日 (七月)20:30,-84K, 
2002年7月5日 (六月)20:30,56K, 
2002年6月7日 (五月)20:30,-8K, 
2002年5月3日 (四月)20:30,-80K, 
2002年4月5日 (三月)20:30,-20K, 
2002年3月8日 (二月)20:30,-134K, 
2002年2月1日 (一月)20:30,-139K, 
2002年1月4日 (十二月)20:30,-171K, 
2001年12月7日 (十一月)20:30,-294K, 
2001年11月2日 (十月)20:30,-325K, 
2001年10月5日 (九月)20:30,-241K, 
2001年9月7日 (八月)20:30,-160K, 
2001年8月3日 (七月)20:30,-112K, 
2001年7月6日 (六月)20:30,-131K, 
2001年6月1日 (五月)20:30,-38K, 
2001年5月4日 (四月)20:30,-282K, 
