时间,今值,预测值
2017年9月14日20:30, ,300K
2017年9月7日20:30,298K,241K
2017年8月31日20:30,236K,237K
2017年8月24日20:30,234K,238K
2017年8月17日20:30,232K,240K
2017年8月10日20:30,244K,240K
2017年8月3日20:30,240K,242K
2017年7月27日20:30,244K,241K
2017年7月20日20:30,233K,245K
2017年7月13日20:30,247K,245K
2017年7月6日20:30,248K,243K
2017年6月29日20:30,244K,240K
2017年6月22日20:30,241K,240K
2017年6月15日20:30,237K,242K
2017年6月8日20:30,245K,240K
2017年6月1日20:30,248K,239K
2017年5月25日20:30,234K,238K
2017年5月18日20:30,232K,240K
2017年5月11日20:30,236K,245K
2017年5月4日20:30,238K,247K
2017年4月27日20:30,257K,245K
2017年4月20日20:30,244K,242K
2017年4月13日20:30,234K,245K
2017年4月6日20:30,234K,250K
2017年3月30日20:30,258K,248K
2017年3月23日20:30,258K,240K
2017年3月16日20:30,241K,240K
2017年3月9日21:30,243K,235K
2017年3月2日21:30,223K,243K
2017年2月23日21:30,244K,241K
2017年2月16日21:30,239K,245K
2017年2月9日21:30,234K,250K
2017年2月2日21:30,246K,250K
2017年1月26日21:30,259K,247K
2017年1月19日21:30,234K,254K
2017年1月12日21:30,247K,255K
2017年1月5日21:30,235K,260K
2016年12月29日21:30,265K,264K
2016年12月22日21:30,275K,256K
2016年12月15日21:30,254K,255K
2016年12月8日21:30,258K,258K
2016年12月1日21:30,268K,253K
2016年11月23日21:30,251K,250K
2016年11月17日21:30,235K,257K
2016年11月10日21:30,254K,260K
2016年11月3日20:30,265K,258K
2016年10月27日20:30,258K,255K
2016年10月20日20:30,260K,250K
2016年10月13日20:30,246K,254K
2016年10月6日20:30,249K,257K
2016年9月29日20:30,254K,260K
2016年9月22日20:30,252K,262K
2016年9月15日20:30,260K,265K
2016年9月8日20:30,259K,265K
2016年9月1日20:30,263K,265K
2016年8月25日20:30,261K,265K
2016年8月18日20:30,262K,265K
2016年8月11日20:30,266K,265K
2016年8月4日20:30,269K,265K
2016年7月28日20:30,266K,260K
2016年7月21日20:30,253K,265K
2016年7月14日20:30,254K,265K
2016年7月7日20:30,254K,270K
2016年6月30日20:30,268K,267K
2016年6月23日20:30,259K,270K
2016年6月16日20:30,277K,270K
2016年6月9日20:30,264K,270K
2016年6月2日20:30,267K,270K
2016年5月26日20:30,268K,275K
2016年5月19日20:30,278K,275K
2016年5月12日20:30,294K,270K
2016年5月5日20:30,274K,260K
2016年4月28日20:30,257K,260K
2016年4月21日20:30,247K,263K
2016年4月14日20:30,253K,270K
2016年4月7日20:30,267K,270K
2016年3月31日20:30,276K,265K
2016年3月24日20:30,265K,268K
2016年3月17日20:30,265K,268K
2016年3月10日21:30,259K,275K
2016年3月3日21:30,278K,271K
2016年2月25日21:30,272K,270K
2016年2月18日21:30,262K,275K
2016年2月11日21:30,269K,281K
2016年2月4日21:30,285K,280K
2016年1月28日21:30,278K,282K
2016年1月21日21:30,293K,278K
2016年1月14日21:30,284K,275K
2016年1月7日21:30,277K,275K
2015年12月31日21:30,287K,270K
2015年12月24日21:30,267K,270K
2015年12月17日21:30,271K,275K
2015年12月10日21:30,282K,269K
2015年12月3日21:30,269K,268K
2015年11月25日21:30,260K,270K
2015年11月19日21:30,271K,271K
2015年11月12日21:30,276K,270K
2015年11月5日21:30,276K,262K
2015年10月29日20:30,260K,263K
2015年10月22日20:30,259K,265K
2015年10月15日20:30,255K,270K
2015年10月8日20:30,263K,274K
2015年10月1日20:30,277K,270K
2015年9月24日20:30,267K,271K
