时间,今值,预测值
2017年9月7日 (八月)15:30,2.6%,2.1%
2017年8月7日 (七月)15:30,2.1%,2.0%
2017年7月7日 (六月)15:30,2.6%,3.1%
2017年6月7日 (五月)15:30,3.3%,3.0%
2017年5月8日 (四月)15:30,3.8%,3.6%
2017年4月7日 (三月)15:30,3.8%,3.9%
2017年3月7日 (二月)16:30,5.1%,5.3%
2017年2月7日 (一月)16:30,5.7%,6.0%
2017年1月9日 (十二月)16:30,6.5%,5.8%
2016年12月7日 (十一月)16:30,6.0%,6.0%
2016年11月7日 (十月)16:30,5.2%,4.8%
2016年10月7日 (九月)15:30,5.8%,5.8%
2016年9月7日 (八月)15:30,6.9%,7.0%
2016年8月5日 (七月)15:30,8.4%,8.5%
2016年7月7日 (六月)15:30,8.4%,7.7%
2016年6月7日 (五月)15:30,9.2%,8.9%
2016年5月9日 (四月)15:30,9.2%,9.6%
2016年4月7日 (三月)15:30,10.1%,9.5%
2016年3月3日 (二月)16:30,9.7%,10.4%
2016年2月4日 (一月)16:30,9.7%,9.0%
2016年1月7日 (十二月)16:00,9.5%,9.0%
2015年12月8日 (十一月)16:00,9.0%,9.5%
2015年11月5日 (十月)16:00,9.7%,9.5%
2015年10月6日 (九月)15:00,8.6%,9.0%
2015年9月10日 (八月)15:00,9.0%,7.9%
2015年8月6日 (七月)15:00,7.9%,8.2%
2015年7月8日 (六月)15:00,9.6%,8.3%
2015年6月4日 (五月)15:00,8.6%,8.5%
2015年5月8日 (四月)15:00,8.5%,7.8%
2015年4月9日 (三月)15:00,8.1%,8.2%
2015年3月5日 (二月)16:00,8.3%,8.5%
2015年2月5日 (一月)16:00,8.5%,7.8%
2015年1月8日 (十二月)16:00,7.8%,7.6%
2014年12月4日 (十一月)16:00,8.2%, 
2014年11月6日 (十月)16:00,8.8%,9.1%
2014年10月8日 (九月)15:00,9.6%,9.6%
2014年9月8日15:00,9.7%,9.9%
2014年8月6日15:00,10.2%,9.6%
2014年7月9日15:00,8.8%,8.9%
2014年6月5日15:00,8.7%,7.4%
2014年5月8日15:00,8.5%,9.1%
2014年4月4日15:00,8.7%, 
2014年3月6日16:00,7.9%,7.2%
2014年2月6日16:00,7.3%,7.2%
2014年1月8日16:00,7.5%,8.2%
2013年12月6日16:00,7.7%,7.2%
2013年11月6日16:00,6.9%,7.0%
2013年10月3日15:00,6.2%,6.4%
2013年9月6日15:00,5.4%,5.6%
2013年8月6日15:00,4.6%,4.3%
2013年7月4日15:00,3.7%,3.6%
2013年6月6日15:00,2.6%,2.5%
2013年5月1日 (四月)17:00,2.00%, 
2013年4月1日 (三月)17:00,1.10%, 
