时间,今值,预测值
2017年9月5日 (八月)07:01,1.3%, 
2017年8月8日 (七月)07:01,0.9%,0.6%
2017年7月11日 (六月)07:01,1.2%,0.5%
2017年6月6日 (五月)07:01,-0.4%,-0.5%
2017年5月9日 (四月)07:01,5.6%,0.5%
2017年4月11日 (三月)07:01,-1.0%,-0.5%
2017年3月7日 (二月)08:01,-0.4%,0.2%
2017年2月7日 (一月)08:01,-0.6%,0.8%
2017年1月20日 (十二月)17:30,0.0%, 
2017年1月10日 (十二月)08:01,1.0%, 
2016年12月6日 (十一月)08:01,0.6%, 
2016年11月8日 (十月)08:01,1.7%,0.6%
2016年10月11日 (九月)07:01,0.4%,-0.5%
2016年9月6日 (八月)07:01,-0.9%, 
2016年8月9日 (七月)07:01,1.1%,-0.7%
2016年7月12日 (六月)07:01,-0.5%,-0.5%
2016年6月7日 (五月)07:01,0.5%, 
2016年5月10日 (四月)07:01,-0.9%, 
2016年4月12日 (三月)07:01,-0.7%, 
2016年3月8日 (二月)08:01,0.1%,1.0%
2016年2月9日 (一月)08:01,2.6%,0.4%
2016年1月12日 (十二月)08:01,0.1%,0.5%
2015年12月8日 (十一月)08:01,-0.4%,0.4%
2015年11月10日 (十月)08:01,-0.2%,0.7%
2015年10月13日 (九月)07:01,2.6%,1.5%
2015年9月8日 (八月)07:01,-1.0%,0.5%
2015年8月11日 (七月)07:01,1.2%,1.0%
2015年7月14日 (六月)07:01,1.8%, 
2015年6月9日 (五月)07:01,0.0%,1.0%
2015年5月12日 (四月)07:01,-2.4%,0.6%
2015年4月14日 (三月)07:01,3.2%,0.5%
2015年3月10日 (二月)08:01,0.2%,0.4%
2015年2月10日 (一月)08:01,0.2%,0.5%
2015年1月13日 (十二月)08:01,-0.4%,0.6%
2014年12月9日 (十一月)08:01,0.9%,0.9%
2014年11月11日 (十月)08:01,0.0%,-0.5%
2014年10月14日 (九月)07:01,-2.1%,1.0%
2014年9月9日07:01,1.3%,0.5%
2014年8月12日07:01,-0.3%,0.6%
2014年7月15日07:01,-0.8%,1.0%
2014年6月10日07:01,0.5%,1.6%
2014年5月13日07:01,4.2%,1.8%
2014年4月15日07:01,-1.7%,1.0%
2014年3月11日08:01,-1.0%,1.6%
2014年2月11日08:01,3.9%,0.8%
2014年1月10日08:01,0.4%,0.8%
2013年12月3日08:01,0.6%,1.1%
2013年11月5日08:01,0.8%,1.1%
2013年10月8日07:01,0.7%, 
2013年9月3日07:01,1.8%,1.7%
2013年8月6日07:01,2.2%,2.0%
2013年7月9日07:01,1.4%,3.0%
2013年6月4日07:01,1.8%,1.2%
2013年5月8日07:01,-2.2%,1.8%
2013年4月9日07:01,1.9%,2.5%
2013年3月5日08:01,2.7%,1.0%
2013年2月5日08:01,1.9%,0.1%
2013年1月8日08:01,0.3%,0.5%
2012年12月4日08:01,0.4%,0.9%
2012年11月6日08:01,-0.1%,1.3%
2012年10月9日07:01,1.5%,-0.3%
2012年9月4日07:01,-0.4%,-0.5%
2012年8月7日07:01,0.1%,-0.2%
2012年7月10日07:01,1.4%,2.0%
2012年6月7日07:01,1.3%,0.8%
2012年5月9日07:01,-3.3%,0.5%
2012年4月11日07:01,1.3%, 
2012年3月6日08:01,-0.3%, 
2012年2月7日08:01,-0.3%,-0.8%
2012年1月10日08:01,2.2%,0.5%
2011年12月6日08:01,-1.6%,-0.5%
2011年11月8日08:01,-0.6%,-0.2%
2011年10月11日07:01,0.3%,-0.9%
2011年9月6日07:01,-0.6%,0.0%
2011年8月9日07:01,0.6%,-0.5%
2011年7月12日07:01,-0.6%,-1.4%
2011年6月7日07:01,-2.1%,2.0%
2011年5月10日07:01,5.2%, 
2011年4月12日07:01,-3.5%, 
2011年3月8日08:01,-0.4%, 
2011年2月8日08:01,2.3%, 
2011年1月11日08:01,-0.3%, 
2010年12月7日08:01,0.7%, 
2010年11月9日08:01,0.8%, 
2010年10月12日07:01,0.5%, 
2010年9月7日07:01,1.0%, 
2010年8月10日07:01,0.5%, 
2010年7月13日07:01,1.2%, 
2010年6月8日07:01,0.8%, 
2010年5月11日07:01,-2.3%, 
2010年4月13日07:01,4.4%, 
2010年3月9日08:01,2.2%, 
2010年2月9日08:01,-0.7%, 
2010年1月12日08:01,4.2%, 
2009年12月8日08:01,1.8%, 
2009年11月10日08:01,3.8%, 
2009年10月13日07:01,2.8%, 
2009年9月8日07:01,-0.1%, 
2009年8月11日07:01,1.8%, 
2009年7月14日07:01,1.4%, 
2009年6月9日07:01,-0.8%, 
2009年5月12日07:01,4.6%, 
2009年4月16日07:00,-1.2%, 
2009年3月10日08:01,-1.8%, 
2009年2月10日08:01,1.1%, 
2009年1月13日08:01,-3.3%, 
2008年12月9日08:01,-2.6%, 
2008年11月11日08:01,-2.2%, 
2008年10月14日07:01,-1.5%, 
2008年9月9日07:01,-1.0%, 
2008年8月12日07:01,-0.9%, 
2008年7月15日07:01,-0.4%, 
2008年6月10日08:00,1.9%, 
2008年5月13日08:00,-1.5%,0.0%
2008年4月15日07:00,-1.6%,0.0%
2008年3月11日08:00,1.5%,0.0%
2008年2月12日08:01,2.6%,0.0%
2008年1月1日 (十二月)17:00,0.30%, 
2007年12月1日 (十一月)17:00,1.20%, 
2007年11月1日 (十月)17:00,1.00%, 
2007年10月1日 (九月)17:00,3.00%, 
2007年9月1日 (八月)17:00,1.80%, 
2007年8月1日 (七月)17:00,1.19%, 
2007年7月1日 (六月)17:00,3.00%, 
2007年6月1日 (五月)17:00,1.80%, 
2007年5月1日 (四月)17:00,2.40%, 
2007年4月1日 (三月)17:00,3.90%, 
2007年3月1日 (二月)17:00,3.30%, 
2007年2月1日 (一月)17:00,3.10%, 
2007年1月1日 (十二月)17:00,2.50%, 
2006年12月1日 (十一月)17:00,0.50%, 
2006年11月1日 (十月)17:00,2.60%, 
2006年10月1日 (九月)17:00,2.40%, 
2006年9月1日 (八月)17:00,2.50%, 
2006年8月1日 (七月)17:00,3.40%, 
2006年7月1日 (六月)17:00,2.30%, 
2006年6月1日 (五月)17:00,3.60%, 
2006年5月1日 (四月)17:00,6.80%, 
2006年4月1日 (三月)17:00,-1.40%, 
2006年3月1日 (二月)17:00,0.60%, 
2006年2月1日 (一月)17:00,0.20%, 
2006年1月1日 (十二月)17:00,2.60%, 
2005年12月1日 (十一月)17:00,0.80%, 
2005年11月1日 (十月)17:00,-0.20%, 
2005年10月1日 (九月)17:00,-0.80%, 
2005年9月1日 (八月)17:00,-1.00%, 
2005年8月1日 (七月)17:00,-1.90%, 
2005年7月1日 (六月)17:00,-0.50%, 
2005年6月1日 (五月)17:00,-2.40%, 
2005年5月1日 (四月)17:00,-4.70%, 
2005年4月1日 (三月)17:00,1.80%, 
2005年3月1日 (二月)17:00,-0.30%, 
2005年2月1日 (一月)17:00,0.50%, 
2005年1月1日 (十二月)17:00,-0.40%, 
2004年12月1日 (十一月)17:00,-0.20%, 
2004年11月1日 (十月)17:00,0.50%, 
2004年10月1日 (九月)17:00,2.00%, 
2004年9月1日 (八月)17:00,0.60%, 
2004年8月1日 (七月)17:00,1.80%, 
2004年7月1日 (六月)17:00,2.40%, 
2004年6月1日 (五月)17:00,3.70%, 
2004年5月1日 (四月)17:00,1.90%, 
2004年4月1日 (三月)17:00,1.30%, 
2004年3月1日 (二月)17:00,2.20%, 
2004年2月1日 (一月)17:00,3.80%, 
2004年1月1日 (十二月)17:00,-0.20%, 
2003年12月1日 (十一月)17:00,0.90%, 
2003年11月1日 (十月)17:00,0.80%, 
2003年10月1日 (九月)17:00,2.60%, 
2003年9月1日 (八月)17:00,2.10%, 
2003年8月1日 (七月)17:00,2.60%, 
2003年7月1日 (六月)17:00,3.00%, 
2003年6月1日 (五月)17:00,1.50%, 
2003年5月1日 (四月)17:00,4.80%, 
2003年4月1日 (三月)17:00,-0.60%, 
2003年3月1日 (二月)17:00,1.30%, 
2003年2月1日 (一月)17:00,4.10%, 
2003年1月1日 (十二月)17:00,1.70%, 
2002年12月1日 (十一月)17:00,2.00%, 
2002年11月1日 (十月)17:00,4.00%, 
2002年10月1日 (九月)17:00,3.40%, 
2002年9月1日 (八月)17:00,4.80%, 
2002年8月1日 (七月)17:00,3.80%, 
2002年7月1日 (六月)17:00,4.00%, 
2002年6月1日 (五月)17:00,2.70%, 
2002年5月1日 (四月)17:00,2.40%, 
2002年4月1日 (三月)17:00,7.50%, 
2002年3月1日 (二月)17:00,6.10%, 
2002年2月1日 (一月)17:00,6.00%, 
2002年1月1日 (十二月)17:00,6.00%, 
2001年12月1日 (十一月)17:00,5.80%, 
2001年11月1日 (十月)17:00,6.00%, 
2001年10月1日 (九月)17:00,5.70%, 
2001年9月1日 (八月)17:00,5.60%, 
2001年8月1日 (七月)17:00,6.10%, 
2001年7月1日 (六月)17:00,5.70%, 
