时间,今值,预测值
2017年9月27日 (第二季度)16:30, , 
2017年8月24日 (第二季度)16:30  ,1.7%,1.7%
2017年7月26日 (第二季度)16:30  ,1.7%,1.7%
2017年6月30日 (第一季度)16:30,2.0%,2.0%
2017年5月25日 (第一季度)16:30  ,2.0%,2.1%
2017年4月28日 (第一季度)16:30  ,2.1%,2.2%
2017年3月31日 (第四季度)16:30,1.9%,2.0%
2017年2月22日 (第四季度)17:30,2.0%,2.2%
2017年1月26日 (第四季度)17:30  ,2.2%,2.1%
2016年12月23日 (第三季度)17:30,2.2%,2.3%
2016年11月25日 (第三季度)17:30  ,2.3%,2.3%
2016年10月27日 (第三季度)16:30  ,2.3%,2.1%
2016年9月30日 (第二季度)16:30,2.1%,2.2%
2016年8月26日 (第二季度)16:30  ,2.2%,2.2%
2016年7月27日 (第二季度)16:30  ,2.2%,2.0%
2016年6月30日 (第一季度)16:30,2.0%,2.0%
2016年5月26日 (第一季度)16:30  ,2.0%,2.1%
2016年4月27日 (第一季度)16:30  ,2.1%,2.0%
2016年3月31日 (第四季度)16:30,2.1%,1.9%
2016年2月25日 (第四季度)17:30  ,1.9%,1.9%
2016年1月28日 (第四季度)17:30  ,1.9%,1.9%
2015年12月23日 (第三季度)17:30,2.1%,2.3%
2015年11月27日 (第三季度)17:30  ,2.3%,2.3%
2015年10月27日 (第三季度)17:30  ,2.3%,2.4%
2015年9月30日 (第二季度)16:30,2.4%,2.6%
2015年8月28日 (第二季度)16:30  ,2.6%,2.6%
2015年7月28日 (第二季度)16:30  ,2.6%,2.6%
2015年6月30日 (第一季度)16:30,2.9%,2.5%
2015年5月28日 (第一季度)16:30  ,2.4%,2.5%
2015年4月28日 (第一季度)16:30  ,2.4%,2.6%
2015年3月31日 (第四季度)16:30,3.0%,2.7%
2015年2月26日 (第四季度)17:30  ,2.7%,2.7%
2015年1月27日 (第四季度)17:30  ,2.7%,2.8%
2014年12月23日 (第三季度)17:30,2.6%,3.0%
2014年11月26日 (第三季度)17:30  ,3.0%,3.0%
2014年10月24日 (第三季度)16:30  ,3.0%,3.0%
2014年9月30日 (第二季度)16:30,3.2%,3.2%
2014年8月15日 (第二季度)16:30  ,3.2%,3.1%
2014年7月25日 (第二季度)16:30  ,3.1%,3.1%
2014年6月27日16:30,3.0%,3.1%
2014年5月22日16:30  ,3.1%,3.1%
2014年4月29日16:30  ,3.1%,3.2%
2014年3月28日17:30,2.7%,2.7%
2014年2月26日17:30  ,2.7%,2.8%
2014年1月28日17:30  ,2.8%,2.8%
2013年12月20日17:30,1.9%,1.5%
2013年11月27日17:30  ,1.5%,1.5%
2013年10月25日16:30  ,1.5%,1.5%
2013年9月26日16:30,1.3%,1.5%
2013年8月23日16:30  ,1.5%,1.4%
2013年7月25日16:30  ,1.4%,1.4%
2013年6月27日16:30,0.3%,0.6%
2013年5月23日16:30  ,0.6%,0.6%
2013年4月25日16:30  ,0.6%,0.3%
2013年3月27日17:30,0.2%,0.3%
2013年2月27日17:30  ,0.3%,0.0%
2013年1月25日17:30  ,0.0%,0.2%
2012年12月21日17:30,0.0%,-0.1%
2012年11月27日17:30  ,-0.1%,0.0%
2012年10月25日16:30  ,0.0%,-0.5%
2012年9月27日16:30,-0.5%,-0.5%
2012年8月24日16:30  ,-0.5%,-0.6%
2012年7月25日16:30  ,-0.8%,-0.3%
2012年6月28日16:30,-0.2%,-0.1%
2012年5月24日16:30  ,-0.1%,0.0%
2012年4月25日16:30  ,0.0%,0.3%
