时间,今值,预测值
2017年9月12日 (八月)16:30, ,2.8%
2017年8月15日 (七月)16:30,2.6%,2.7%
2017年7月18日 (六月)16:30,2.6%,2.9%
2017年6月13日 (五月)16:30,2.9%,2.7%
2017年5月16日 (四月)16:30,2.7%,2.6%
2017年4月11日 (三月)16:30,2.3%,2.3%
2017年3月21日 (二月)17:30,2.3%,2.1%
2017年2月14日 (一月)17:30,1.8%,1.9%
2017年1月17日 (十二月)17:30,1.6%,1.4%
2016年12月13日 (十一月)17:30,1.2%,1.1%
2016年11月15日 (十月)17:30,0.9%,1.1%
2016年10月18日 (九月)16:30,1.0%,0.9%
2016年9月13日 (八月)16:30,0.6%,0.7%
2016年8月16日 (七月)16:30,0.6%,0.5%
2016年7月19日 (六月)16:30,0.5%,0.4%
2016年6月14日 (五月)16:30,0.3%,0.4%
2016年5月17日 (四月)16:30,0.3%,0.5%
2016年4月12日 (三月)16:30,0.5%,0.4%
2016年3月22日 (二月)17:30,0.3%,0.4%
2016年2月16日 (一月)17:30,0.3%,0.3%
2016年1月19日 (十二月)17:30,0.2%,0.1%
2015年12月15日 (十一月)17:30,0.1%,0.1%
2015年11月17日 (十月)17:30,-0.1%,-0.1%
2015年10月13日 (九月)16:30,-0.1%,0.0%
2015年9月15日 (八月)16:30,0.0%,0.0%
2015年8月18日 (七月)16:30,0.1%,0.0%
2015年7月14日 (六月)16:30,0.0%,0.1%
2015年6月16日 (五月)16:30,0.1%,0.1%
2015年5月19日 (四月)16:30,-0.1%,0.0%
2015年4月14日 (三月)16:30,0.0%,0.0%
2015年3月24日 (二月)17:30,0.0%,0.1%
2015年2月17日 (一月)17:30,0.3%,0.3%
2015年1月13日 (十二月)17:30,0.5%,0.7%
2014年12月16日 (十一月)17:30,1.0%,1.2%
2014年11月18日 (十月)17:30,1.3%,1.2%
2014年10月14日 (九月)16:30,1.2%,1.4%
2014年9月16日 (八月)16:30,1.5%,1.5%
2014年8月19日16:30,1.6%,1.8%
2014年7月15日16:30,1.9%,1.6%
2014年6月17日16:30,1.5%,1.7%
2014年5月20日16:30,1.8%,1.7%
2014年4月15日16:30,1.6%,1.6%
2014年3月25日17:30,1.7%,1.7%
2014年2月18日17:30,1.9%,2.0%
2014年1月14日17:30,2.0%,2.1%
2013年12月17日17:30,2.1%,2.2%
2013年11月12日17:30,2.2%,2.5%
2013年10月15日16:30,2.7%,2.6%
2013年9月17日16:30,2.7%,2.7%
2013年8月13日16:30,2.8%,2.8%
2013年7月16日16:30,2.9%,3.0%
2013年6月18日16:30,2.7%,2.6%
2013年5月21日16:30,2.4%,2.6%
2013年4月16日16:30,2.8%,2.8%
2013年3月19日17:30,2.8%,2.8%
2013年2月12日17:30,2.7%,2.8%
2013年1月15日17:30,2.7%,2.7%
2012年12月18日17:30,2.7%,2.6%
2012年11月13日17:30,2.7%,2.3%
2012年10月16日16:30,2.2%,2.2%
2012年9月18日16:30,2.5%,2.5%
2012年8月14日16:30,2.6%,2.3%
2012年7月17日16:30,2.4%,2.8%
2012年6月19日16:30,2.8%,3.0%
2012年5月22日16:30,3.0%,3.1%
2012年4月17日16:30,3.5%,3.5%
2012年3月20日17:30,3.4%,3.4%
2012年2月14日17:30,3.6%,3.6%
2012年1月17日17:30,4.2%,4.2%
2011年12月13日17:30,4.8%,4.8%
2011年11月15日17:30,5.0%,5.1%
2011年10月18日16:30,5.2%,4.9%
2011年9月13日16:30,4.5%,4.5%
2011年8月16日16:30,4.4%,4.3%
2011年7月12日16:30,4.2%,4.5%
2011年6月14日16:30,4.5%,4.5%
2011年5月17日16:30,4.5%,4.1%
2011年4月12日16:30,4.0%,4.4%
2011年3月22日17:30,4.4%,4.2%
2011年2月15日17:30,4.0%,4.0%
2011年1月18日17:30,3.7%,3.3%
2010年12月14日17:30,3.3%,3.2%
2010年11月16日17:30,3.2%,3.1%
