时间,今值,预测值
2017年9月12日 (八月)16:30, ,0.5%
2017年8月15日 (七月)16:30,-0.1%,0.0%
2017年7月18日 (六月)16:30,0.0%,0.2%
2017年6月13日 (五月)16:30,0.3%,0.2%
2017年5月16日 (四月)16:30,0.5%,0.4%
2017年4月11日 (三月)16:30,0.4%,0.3%
2017年3月21日 (二月)17:30,0.7%,0.5%
2017年2月14日 (一月)17:30,-0.5%,-0.5%
2017年1月17日 (十二月)17:30,0.5%,0.3%
2016年12月13日 (十一月)17:30,0.2%,0.2%
2016年11月15日 (十月)17:30,0.1%,0.3%
2016年10月18日 (九月)16:30,0.2%,0.1%
2016年9月13日 (八月)16:30,0.3%,0.4%
2016年8月16日 (七月)16:30,-0.1%,-0.1%
2016年7月19日 (六月)16:30,0.2%,0.2%
2016年6月14日 (五月)16:30,0.2%,0.3%
2016年5月17日 (四月)16:30,0.1%,0.3%
2016年4月12日 (三月)16:30,0.4%,0.3%
2016年3月22日 (二月)17:30,0.2%,0.4%
2016年2月16日 (一月)17:30,-0.8%,-0.7%
2016年1月19日 (十二月)17:30,0.1%,0.1%
2015年12月15日 (十一月)17:30,0.0%,-0.1%
2015年11月17日 (十月)17:30,0.1%,0.1%
2015年10月13日 (九月)16:30,-0.1%,0.0%
2015年9月15日 (八月)16:30,0.2%,0.2%
2015年8月18日 (七月)16:30,-0.2%,-0.3%
2015年7月14日 (六月)16:30,0.0%,0.1%
2015年6月16日 (五月)16:30,0.2%,0.2%
2015年5月19日 (四月)16:30,0.2%,0.4%
2015年4月14日 (三月)16:30,0.2%,0.2%
2015年3月24日 (二月)17:30,0.3%,0.3%
2015年2月17日 (一月)17:30,-0.9%,-0.8%
2015年1月13日 (十二月)17:30,0.0%,0.1%
2014年12月16日 (十一月)17:30,-0.3%,0.1%
2014年11月18日 (十月)17:30,0.1%,0.1%
2014年10月14日 (九月)16:30,0.0%,0.2%
2014年9月16日 (八月)16:30,0.4%,0.4%
2014年8月19日16:30,-0.3%,-0.2%
2014年7月15日16:30,0.2%,-0.1%
2014年6月17日16:30,-0.1%,0.2%
2014年5月20日16:30,0.4%,0.3%
2014年4月15日16:30,0.2%,0.2%
2014年3月25日17:30,0.5%,0.5%
2014年2月18日17:30,-0.6%,-0.5%
2014年1月14日17:30,0.4%,0.5%
2013年12月17日17:30,0.1%,0.2%
2013年11月12日17:30,0.1%,0.3%
2013年10月15日16:30,0.4%,0.3%
2013年9月17日16:30,0.4%,0.5%
2013年8月13日16:30,0.0%,0.1%
2013年7月16日16:30,-0.2%,-0.1%
2013年6月18日16:30,0.2%,0.1%
2013年5月21日16:30,0.2%,0.4%
2013年4月16日16:30,0.3%,0.4%
2013年3月19日17:30,0.7%,0.7%
2013年2月12日17:30,-0.5%,-0.4%
2013年1月15日17:30,0.5%,0.5%
2012年12月18日17:30,0.2%,0.2%
2012年11月13日17:30,0.5%,0.2%
2012年10月16日16:30,0.4%,0.4%
2012年9月18日16:30,0.5%,0.5%
2012年8月14日16:30,0.1%,-0.1%
2012年7月17日16:30,-0.4%,-0.1%
2012年6月19日16:30,-0.1%,0.1%
2012年5月22日16:30,0.6%,0.6%
2012年4月17日16:30,0.3%,0.3%
2012年3月1日 (二月)17:00,0.60%, 
2012年2月1日 (一月)17:00,-0.50%, 
2012年1月1日 (十二月)17:00,0.40%, 
2011年12月1日 (十一月)17:00,0.20%, 
2011年11月1日 (十月)17:00,0.10%, 
2011年10月1日 (九月)17:00,0.60%, 
2011年9月1日 (八月)17:00,0.60%, 
2011年8月1日 (七月)17:00,0.00%, 
2011年7月1日 (六月)17:00,-0.10%, 
2011年6月1日 (五月)17:00,0.20%, 
2011年5月1日 (四月)17:00,1.00%, 
2011年4月1日 (三月)17:00,0.30%, 
2011年3月1日 (二月)17:00,0.70%, 
2011年2月1日 (一月)17:00,0.10%, 
