时间,今值,预测值
2017年9月13日 (七月)16:30, ,2.3%
2017年8月16日 (六月)16:30,2.1%,1.8%
2017年7月12日 (五月)16:30,1.8%,1.8%
2017年6月14日 (四月)16:30,2.1%,2.4%
2017年5月17日 (三月)16:30,2.4%,2.4%
2017年4月12日 (二月)16:30,2.3%,2.2%
2017年3月15日 (一月)17:30,2.2%,2.4%
2017年2月15日 (十二月)17:30,2.6%,2.8%
2017年1月18日 (十一月)17:30,2.8%,2.6%
2016年12月14日 (十月)17:30,2.5%,2.3%
2016年11月16日 (九月)17:30,2.3%,2.4%
2016年10月19日 (八月)16:30,2.3%,2.3%
2016年9月14日 (七月)16:30,2.3%,2.1%
2016年8月17日 (六月)16:30,2.4%,2.4%
2016年7月20日 (五月)16:30,2.3%,2.3%
2016年6月15日 (四月)16:30,2.0%,1.7%
2016年5月18日 (三月)16:30,2.0%,1.7%
2016年4月20日 (二月)16:30,1.8%,2.3%
2016年3月16日 (一月)17:30,2.1%,2.0%
2016年2月17日 (十二月)17:30,1.9%,1.9%
2016年1月20日 (十一月)17:30,2.0%,2.1%
2015年12月16日 (十月)17:30,2.4%,2.5%
2015年11月11日 (九月)17:30,3.0%,3.2%
2015年10月14日 (八月)16:30,3.0%,3.1%
2015年9月16日 (七月)16:30,2.9%,2.5%
2015年8月12日 (六月)16:30,2.4%,2.8%
2015年7月15日 (五月)16:30,3.2%,3.3%
2015年6月17日 (四月)16:30,2.7%,2.1%
2015年5月13日 (三月)16:30,1.9%,1.7%
2015年4月17日 (二月)16:30,1.7%,1.8%
2015年3月18日 (一月)17:30,1.8%,2.2%
2015年2月18日 (十二月)17:30,2.1%,1.7%
2015年1月21日 (十一月)17:30,1.7%,1.7%
2014年12月17日 (十月)17:30,1.4%,1.2%
2014年11月12日 (九月)17:30,1.0%,0.9%
2014年10月15日 (八月)16:30,0.7%,0.7%
2014年9月17日16:30,0.6%,0.5%
2014年8月13日16:30,-0.2%,-0.1%
2014年7月16日16:30,0.3%,0.5%
2014年6月11日16:30,0.7%,1.2%
2014年5月14日16:30,1.7%,2.1%
2014年4月16日16:30,1.7%,1.8%
2014年3月19日17:30,1.4%,1.3%
2014年2月19日17:30,1.1%,1.0%
2014年1月22日17:30,0.9%,1.0%
2013年12月18日17:30,0.9%,0.8%
2013年11月13日17:30,0.7%,0.7%
2013年10月16日16:30,0.7%,1.0%
2013年9月11日16:30,1.1%,1.2%
2013年8月14日16:30,2.1%,2.0%
2013年7月17日16:30,1.7%,1.4%
2013年6月12日16:30,1.3%,0.3%
2013年5月15日16:30,0.4%,0.7%
2013年4月17日16:30,0.8%,1.2%
2013年3月20日17:30,1.2%,1.5%
2013年2月20日17:30,1.4%,1.4%
2013年1月23日17:30,1.5%,1.5%
2012年12月12日17:30,1.8%,1.9%
2012年11月14日17:30,1.8%,1.9%
2012年10月17日16:30,1.7%,1.6%
2012年9月12日16:30,1.5%,1.6%
2012年8月15日16:30,1.6%,1.8%
2012年7月18日16:30,1.5%,1.4%
2012年6月20日16:30,1.4%,0.8%
2012年5月16日16:30,0.6%,1.0%
2012年4月18日16:30,1.1%,1.3%
2012年3月14日17:30,1.4%,1.9%
2012年2月15日17:30,2.0%,1.8%
2012年1月18日17:30,1.9%,2.0%
2011年12月14日17:30,2.0%,2.0%
2011年11月16日17:30,2.3%,2.5%
2011年10月12日16:30,2.8%,2.7%
2011年9月14日16:30,2.8%,2.7%
2011年8月17日16:30,2.6%,2.3%
2011年7月13日16:30,2.3%,2.1%
2011年6月15日16:30,1.8%,2.1%
2011年5月18日16:30,2.3%,2.0%
2011年4月13日16:30,2.0%,2.6%
2011年3月16日17:30,2.3%,2.1%
2011年2月16日17:30,1.8%,2.0%
2011年1月19日17:30,2.1%,2.2%
2010年12月15日17:30,2.2%,2.2%
2010年11月17日17:30,2.0%,2.1%
2010年10月13日16:30,1.7%,1.6%
2010年9月15日16:30,1.5%,1.6%
2010年8月11日16:30,1.3%,1.1%
2010年7月14日16:30,2.7%,3.1%
2010年6月16日16:30,4.2%,4.4%
2010年5月12日16:30,4.0%,2.2%
2010年4月21日16:30,2.3%,2.5%
2010年3月17日17:30,0.9%,1.7%
2010年2月17日17:30,0.8%,1.2%
2010年1月20日17:30,1.6%,1.6%
2009年12月16日17:30,1.5%,1.3%
2009年11月11日17:30,1.2%,1.6%
2009年10月14日16:30,1.6%,1.4%
2009年9月16日16:30,1.7%,2.1%
2009年8月12日16:30,2.5%,2.3%
2009年7月15日16:30,2.3%,2.1%
2009年6月17日16:30,0.8%,0.2%
2009年5月12日21:00,-0.4%,-1.0%
2009年4月22日16:30,0.1%,1.5%
2009年3月18日17:30,1.8%,3.0%
2009年2月11日17:30,3.2%,3.0%
2009年1月21日17:30,3.1%,3.3%
2008年12月17日17:30,3.3%,3.2%
2008年11月12日17:30,3.3%,3.3%
2008年10月15日16:30,3.4%,3.5%
2008年9月17日16:30,3.5%,3.4%
2008年8月13日16:30,3.4%, 
2008年7月16日16:30,3.8%,3.7%
2008年6月11日17:30,3.8%,4.1%
2008年5月14日17:30,4.0%,3.7%
2008年4月16日16:30,3.7%,3.6%
2008年3月19日17:30,3.7%,3.8%
2008年2月13日17:30,3.8%,3.9%
2008年1月1日 (十二月)17:00,4.00%, 
2007年12月1日 (十一月)17:00,4.80%, 
2007年11月1日 (十月)17:00,5.00%, 
2007年10月1日 (九月)17:00,5.10%, 
2007年9月1日 (八月)17:00,4.70%, 
2007年8月1日 (七月)17:00,4.50%, 
2007年7月1日 (六月)17:00,4.30%, 
2007年6月1日 (五月)17:00,4.40%, 
2007年5月1日 (四月)17:00,5.40%, 
2007年4月1日 (三月)17:00,6.20%, 
2007年3月1日 (二月)17:00,6.60%, 
2007年2月1日 (一月)17:00,5.40%, 
2007年1月1日 (十二月)17:00,4.70%, 
2006年12月1日 (十一月)17:00,4.10%, 
2006年11月1日 (十月)17:00,3.90%, 
2006年10月1日 (九月)17:00,4.00%, 
2006年9月1日 (八月)17:00,4.60%, 
2006年8月1日 (七月)17:00,4.90%, 
2006年7月1日 (六月)17:00,4.80%, 
2006年6月1日 (五月)17:00,4.90%, 
2006年5月1日 (四月)17:00,5.50%, 
2006年4月1日 (三月)17:00,5.30%, 
2006年3月1日 (二月)17:00,4.80%, 
2006年2月1日 (一月)17:00,4.20%, 
2006年1月1日 (十二月)17:00,4.30%, 
2005年12月1日 (十一月)17:00,4.50%, 
2005年11月1日 (十月)17:00,4.60%, 
2005年10月1日 (九月)17:00,4.80%, 
2005年9月1日 (八月)17:00,4.70%, 
2005年8月1日 (七月)17:00,4.50%, 
2005年7月1日 (六月)17:00,4.40%, 
2005年6月1日 (五月)17:00,4.30%, 
2005年5月1日 (四月)17:00,4.90%, 
2005年4月1日 (三月)17:00,5.00%, 
2005年3月1日 (二月)17:00,5.30%, 
2005年2月1日 (一月)17:00,5.10%, 
2005年1月1日 (十二月)17:00,5.20%, 
2004年12月1日 (十一月)17:00,5.10%, 
2004年11月1日 (十月)17:00,5.00%, 
2004年10月1日 (九月)17:00,4.80%, 
2004年9月1日 (八月)17:00,4.70%, 
2004年8月1日 (七月)17:00,4.40%, 
2004年7月1日 (六月)17:00,4.60%, 
2004年6月1日 (五月)17:00,4.00%, 
2004年5月1日 (四月)17:00,3.40%, 
2004年4月1日 (三月)17:00,3.00%, 
2004年3月1日 (二月)17:00,3.50%, 
2004年2月1日 (一月)17:00,3.80%, 
2004年1月1日 (十二月)17:00,3.80%, 
2003年12月1日 (十一月)17:00,3.70%, 
2003年11月1日 (十月)17:00,3.50%, 
2003年10月1日 (九月)17:00,3.10%, 
2003年9月1日 (八月)17:00,2.80%, 
2003年8月1日 (七月)17:00,2.70%, 
2003年7月1日 (六月)17:00,2.70%, 
2003年6月1日 (五月)17:00,3.30%, 
