时间,今值,预测值
2017年9月1日 (八月)16:30,56.9,55.0
2017年8月1日 (七月)16:30,55.1,54.4
2017年7月3日 (六月)16:30,54.3,56.5
2017年6月1日 (五月)16:30,56.7,56.5
2017年5月2日 (四月)16:30,57.3,54.0
2017年4月3日 (三月)16:30,54.2,55.1
2017年3月1日 (二月)17:30,54.6,55.6
2017年2月1日 (一月)17:30,55.9,55.9
2017年1月3日 (十二月)17:30,56.1,53.3
2016年12月1日 (十一月)17:30,53.4,54.5
2016年11月1日 (十月)17:30,54.3,54.5
2016年10月3日 (九月)16:30,55.4,52.1
2016年9月1日 (八月)16:30,53.3,49.0
2016年8月1日 (七月)16:30,48.2,49.1
2016年7月22日 (七月)16:30  ,49.1,47.8
2016年7月1日 (六月)16:30,52.1,49.9
2016年6月1日 (五月)16:30,50.1,49.6
2016年5月3日 (四月)16:30,49.2,51.2
2016年4月1日 (三月)16:30,51.0,51.2
2016年3月1日 (二月)17:30,50.8,52.2
2016年2月1日 (一月)17:30,52.9,51.8
2016年1月4日 (十二月)17:30,51.9,52.7
2015年12月1日 (十一月)17:30,52.7,53.6
2015年11月2日 (十月)17:30,55.5,51.3
2015年10月1日 (九月)16:30,51.5,51.3
2015年9月1日 (八月)16:30,51.5,52.0
2015年8月3日 (七月)16:30,51.9,51.6
2015年7月1日 (六月)16:30,51.4,52.5
2015年6月1日 (五月)16:30,52.0,52.5
2015年5月1日 (四月)16:30,51.9,54.6
2015年4月1日 (三月)16:30,54.4,54.3
2015年3月2日 (二月)17:30,54.1,53.4
2015年2月2日 (一月)17:30,53.0,52.6
2015年1月2日 (十二月)17:30,52.5,53.6
2014年12月1日 (十一月)17:30,53.5,53.1
2014年11月3日 (十月)17:30,53.2,51.2
2014年10月1日 (九月)16:30,51.6,52.5
2014年9月1日16:30,52.5,55.0
2014年8月1日16:30,55.4,57.2
2014年7月1日16:30,57.5,56.8
2014年6月2日16:30,57.0,57.0
2014年5月1日16:30,57.3,55.4
2014年4月1日16:30,55.3,56.7
2014年3月3日17:28,56.9,56.5
2014年2月3日17:28,56.7,57.0
2014年1月2日17:28,57.3,58.0
2013年12月2日17:28,58.4,56.0
2013年11月1日17:28,56.0,56.1
2013年10月1日16:28,56.7,57.3
2013年9月2日16:28,57.2,55.0
2013年8月1日16:28,54.6,52.8
2013年7月1日16:28,52.5,51.5
2013年6月3日16:28,51.3,50.2
2013年5月1日16:28,49.8,48.5
2013年4月2日16:28,48.3,48.5
2013年3月1日17:30,47.9,51.0
2013年2月1日17:30,50.8,51.0
2013年1月2日17:30,51.4,49.2
2012年12月3日17:30,49.1,48.1
2012年11月1日17:30,47.5,48.1
2012年10月1日16:30,48.4,49.3
2012年9月3日16:30,49.5,46.2
2012年8月1日16:30,45.4,48.7
2012年7月2日16:30,48.6,46.7
2012年6月1日16:30,45.9,49.7
2012年5月1日16:30,50.5,51.4
2012年4月2日16:30,52.1,50.5
2012年3月1日17:30,51.2,52.0
2012年2月1日17:30,52.1,50.1
2012年1月3日17:30,49.6,47.3
2011年12月1日17:30,47.6,47.0
2011年11月1日17:30,47.4,50.0
2011年10月3日16:30,51.1,48.5
2011年9月1日16:30,49.0,49.5
2011年8月1日16:30,49.1,51.0
2011年7月1日16:30,51.3,52.3
2011年6月1日16:30,52.1,54.2
2011年5月3日16:30,54.6,57.0
2011年4月1日16:30,57.1,60.9
2011年3月1日17:30,61.5,61.5
2011年2月1日17:30,62.0,58.1
2011年1月4日17:30,58.3,57.5
2010年12月1日17:30,58.0,54.7
2010年11月1日17:30,54.9,53.0
2010年10月1日16:30,53.4,53.9
2010年9月1日16:30,54.3,57.1
2010年8月2日16:30,57.3,57.1
2010年7月1日16:30,57.5,57.6
2010年6月1日16:30,58.0,57.8
2010年5月4日16:30,58.0,57.5
2010年4月1日16:30,57.2,57.0
2010年3月1日17:30,56.6,56.7
2010年2月1日17:30,56.7,54.1
2010年1月4日17:30,54.1,52.1
2009年12月1日17:30,51.8,54.0
2009年11月2日17:30,53.7,50.1
2009年10月1日16:30,49.5,50.5
2009年9月1日16:30,49.7,51.5
2009年8月3日16:30,50.8,47.7
2009年7月1日16:30,47.0,46.3
2009年6月1日16:30,45.4,44.1
2009年5月1日16:30,42.9,40.2
2009年4月1日16:30,39.1,34.9
2009年3月2日17:30,34.7,34.9
2009年2月2日17:30,35.8,34.4
2009年1月2日17:30,34.9,33.5
2008年12月1日17:30,34.4,39.8
2008年11月3日17:30,41.5,40.0
2008年10月1日16:30,41.0,45.0
2008年9月1日16:30,45.9,44.0
2008年8月1日16:30,44.3,45.5
2008年7月1日16:30,45.8,49.8
2008年6月2日17:30,50.0,51.6
2008年5月1日16:30,51.0,50.7
2008年4月1日16:30,51.3,51.1
2008年3月3日17:30,51.3,51.0
