时间,今值,预测值
2017年9月27日 (第二季度)16:30, , 
2017年8月24日 (第二季度)16:30  ,0.0%,0.5%
2017年6月30日 (第一季度)16:30,0.7%, 
2017年5月25日 (第一季度)16:30  ,0.8%, 
2017年3月31日 (第四季度)16:30,-0.9%, 
2017年2月22日 (第四季度)17:30  ,-0.9%,0.2%
2016年12月23日 (第三季度)17:30,-2.2%, 
2016年11月25日 (第三季度)17:30  ,-1.6%,-2.1%
2016年9月30日 (第二季度)16:30,-0.8%,-0.8%
2016年8月26日 (第二季度)16:30  ,-0.8%,-1.4%
2016年6月30日 (第一季度)16:30,-0.8%, 
2016年5月26日 (第一季度)16:30  ,-0.4%,-0.1%
2016年3月31日 (第四季度)16:30,3.0%, 
2016年2月25日 (第四季度)17:30  ,2.4%, 
2015年12月23日 (第三季度)17:30,5.8%, 
2015年11月27日 (第三季度)17:30  ,6.6%, 
2015年9月30日 (第二季度)16:30,3.1%, 
2015年8月28日 (第二季度)16:30  ,5.0%,4.0%
2015年6月30日 (第一季度)16:30,5.7%, 
2015年5月28日 (第一季度)16:30  ,3.7%, 
2015年3月31日 (第四季度)16:30,3.7%, 
2015年2月26日 (第四季度)17:30  ,2.1%, 
2014年12月23日 (第三季度)17:30,5.2%,7.0%
2014年11月26日 (第三季度)17:30  ,6.3%,9.7%
