时间,今值,预测值
2017年9月27日 (第二季度)16:30, , 
2017年8月24日 (第二季度)16:30  ,0.0%,0.4%
2017年6月30日 (第一季度)16:30,0.6%,0.6%
2017年5月25日 (第一季度)16:30  ,0.6%,0.2%
2017年3月31日 (第四季度)16:30,-0.9%,-1.0%
2017年2月22日 (第四季度)17:30  ,-1.0%,0.0%
2016年12月23日 (第三季度)17:30,0.4%,0.9%
2016年11月25日 (第三季度)17:30  ,0.9%,0.6%
2016年9月30日 (第二季度)16:30,1.0%,0.5%
2016年8月26日 (第二季度)16:30  ,0.5%,-0.8%
2016年6月30日 (第一季度)16:30,-0.6%,-0.4%
2016年5月26日 (第一季度)16:30  ,-0.5%,0.1%
2016年3月31日 (第四季度)16:30,-2.0%,-2.0%
2016年2月25日 (第四季度)17:30  ,-2.1%,0.9%
2015年12月23日 (第三季度)17:30,2.2%,2.2%
2015年11月27日 (第三季度)17:30  ,2.2%,1.5%
2015年9月30日 (第二季度)16:30,1.6%,2.9%
2015年8月28日 (第二季度)16:30  ,2.9%,1.7%
2015年6月30日 (第一季度)16:30,2.0%,1.8%
2015年5月28日 (第一季度)16:30  ,1.7%,1.0%
2015年3月31日 (第四季度)16:30,-0.9%,-1.4%
2015年2月26日 (第四季度)17:30  ,-1.4%,1.9%
2014年12月23日 (第三季度)17:30,-1.4%,0.7%
2014年11月26日 (第三季度)17:30  ,-0.7%,2.3%
2014年9月30日 (第二季度)16:30,3.3%,1.6%
2014年6月27日16:30,5.0%,2.7%
2014年5月22日 (第一季度)16:30  ,2.7%,2.3%
2014年3月28日17:30,2.4%,2.4%
2014年2月26日17:30  ,2.4%,2.6%
2013年12月20日17:30,2.0%,1.6%
2013年11月27日17:30  ,1.4%,2.3%
2013年9月26日16:30,-2.7%,0.9%
2013年8月23日16:30  ,0.9%,0.6%
2013年6月27日16:30,-1.9%,-0.4%
2013年5月23日16:30  ,-0.4%,1.7%
2013年3月27日17:30,-0.8%,-1.2%
2013年2月27日17:30  ,-1.2%,2.2%
2012年12月21日17:30,3.8%,3.5%
2012年11月27日17:30  ,3.7%,1.3%
2012年9月27日16:30,0.9%,-1.5%
2012年8月24日16:30  ,-1.5%,2.8%
2012年6月28日16:30,1.9%,3.6%
2012年5月24日16:30  ,3.6%,3.2%
2012年3月28日16:30,-3.3%,-5.4%
2012年2月24日17:30  ,-5.6%,-0.4%
2011年12月22日17:30,0.3%,-1.3%
2011年11月24日17:30  ,-1.4%,-0.5%
2011年10月5日16:30,11.6%, 
2011年6月28日16:30,-3.2%,-7.1%
2011年5月25日16:30  ,-7.1%,2.4%
2011年3月29日16:30,0.0%,-2.3%
2011年2月25日17:30  ,-2.5%,-0.4%
2010年12月22日17:30,3.1%,-0.1%
2010年11月24日17:30  ,-0.2%,0.6%
2010年9月28日16:30,0.7%,-1.6%
2010年8月27日16:30  ,-1.6%,2.3%
2010年6月30日16:30,7.8%,6.1%
2010年5月21日16:30  ,6.0%, 
2010年3月26日17:30,-4.3%,-5.6%
2010年2月25日17:30  ,-5.8%,0.2%
2009年12月18日17:30,-0.6%,-2.8%
2009年11月24日17:30  ,-3.0%,-3.5%
2009年9月25日16:30,-10.2%,-10.4%
2009年8月27日16:30  ,-10.4%,-3.6%
2009年6月30日16:30,-7.6%,-5.5%
2009年5月21日16:30  ,-5.5%,-4.0%
2009年3月26日17:30,-1.5%,-3.9%
2009年2月24日17:30,-3.9%,-4.2%
2008年12月19日17:30,-1.3%,-0.2%
2008年11月25日17:30,-0.2%,-2.0%
2008年9月30日16:30,-1.0%,-1.9%
2008年6月26日16:30,-1.8%,-1.4%
2008年5月22日17:30,-1.4%,0.4%
2008年3月27日17:30,1.8%,-0.5%
2008年2月26日17:30,-0.5%,1.0%
