时间,今值,预测值
2017年9月8日 (七月)16:30,-11.58B,-11.95B
2017年8月10日 (六月)16:30,-12.72B,-11.00B
2017年7月7日 (五月)16:30,-11.86B,-10.80B
2017年6月9日 (四月)16:30,-10.38B,-12.00B
2017年5月11日 (三月)16:30,-13.44B,-11.80B
2017年4月7日 (二月)16:30,-12.46B,-10.90B
2017年3月10日 (一月)17:30,-10.83B,-11.05B
2017年2月10日 (十二月)17:30,-10.89B,-11.50B
2017年1月11日 (十一月)17:30,-12.16B,-11.20B
2016年12月9日 (十月)17:30,-9.71B,-11.80B
2016年11月9日 (九月)17:30,-12.70B,-11.20B
2016年10月7日 (八月)16:30,-12.11B,-11.30B
2016年9月9日 (七月)16:30,-11.76B,-11.75B
2016年8月9日 (六月)16:30,-12.41B,-10.00B
2016年7月8日 (五月)16:30,-9.88B,-10.65B
2016年6月9日 (四月)16:30,-10.53B,-11.20B
2016年5月10日 (三月)16:30,-11.20B,-11.30B
2016年4月8日 (二月)16:30,-11.96B,-10.20B
2016年3月11日 (一月)17:30,-10.29B,-10.30B
2016年2月9日 (十二月)17:30,-9.92B,-10.40B
2016年1月8日 (十一月)17:30,-10.64B,-10.50B
2015年12月10日 (十月)17:30,-11.83B,-9.70B
2015年11月6日 (九月)17:30,-9.35B,-10.60B
2015年10月9日 (八月)16:30,-11.15B,-10.00B
2015年9月9日 (七月)16:30,-11.08B,-9.50B
2015年8月7日 (六月)16:30,-9.18B,-9.30B
2015年7月10日 (五月)16:30,-8.00B,-9.70B
2015年6月9日 (四月)16:30,-8.56B,-9.90B
2015年5月8日 (三月)16:30,-10.12B,-9.80B
2015年4月9日 (二月)16:30,-10.34B,-9.00B
2015年3月12日 (一月)17:30,-8.41B,-9.70B
2015年2月6日 (十二月)17:30,-10.15B,-9.10B
2015年1月9日 (十一月)17:30,-8.85B,-9.40B
2014年12月10日 (十月)17:30,-9.62B,-9.53B
2014年11月7日 (九月)17:30,-9.82B,-9.40B
2014年10月10日 (八月)16:30,-9.10B,-9.60B
2014年9月9日16:30,-10.19B,-9.10B
2014年8月8日16:30,-9.41B,-8.80B
2014年7月10日16:30,-9.20B,-8.75B
2014年6月6日16:30,-8.92B,-8.65B
2014年5月9日16:30,-8.48B,-9.00B
2014年4月9日16:30,-9.09B,-9.20B
2014年3月14日17:30,-9.79B,-8.60B
2014年2月7日17:30,-7.72B,-9.30B
2014年1月9日17:30,-9.44B,-9.45B
2013年12月10日17:30,-9.73B,-9.35B
2013年11月8日17:30,-9.82B,-9.20B
2013年10月9日16:30,-9.63B,-9.00B
2013年9月6日16:30,-9.85B,-8.15B
2013年8月9日16:30,-8.08B,-8.50B
2013年7月9日16:30,-8.49B,-8.47B
2013年6月7日16:30,-8.2B,-8.8B
2013年5月10日16:30,-9.1B,-9.0B
2013年4月9日16:30,-9.4B,-8.6B
2013年3月12日17:30,-8.2B,-9.0B
2013年2月7日17:30,-8.9B,-8.9B
2013年1月9日17:30,-9.2B,-9.1B
2012年12月6日17:30,-9.5B,-8.8B
2012年11月9日17:30,-8.4B,-8.9B
2012年10月9日16:30,-9.8B,-8.5B
2012年9月11日16:30,-7.2B,-9.0B
2012年8月9日16:30,-10.1B,-8.6B
2012年7月10日16:30,-8.4B,-9.0B
2012年6月15日16:30,-10.1B,-8.5B
2012年5月15日16:30,-8.6B,-8.4B
2012年4月12日16:30,-8.8B,-7.7B
2012年3月13日17:30,-7.5B,-7.8B
2012年2月9日17:30,-7.1B,-8.4B
2012年1月11日17:30,-8.6B,-8.3B
2011年12月9日17:30,-7.6B,-9.5B
2011年11月9日17:30,-9.8B,-8.0B
2011年10月13日16:30,-7.8B,-8.8B
2011年9月13日16:30,-8.9B,-8.5B
2011年8月9日16:30,-8.9B,-8.2B
2011年7月12日16:30,-8.5B,-7.3B
2011年6月9日16:30,-7.4B,-7.5B
2011年5月11日16:30,-7.7B,-7.4B
2011年4月12日16:30,-6.8B,-8.1B
2011年3月9日17:30,-7.1B,-8.5B
2011年2月9日17:30,-9.2B,-8.6B
2011年1月12日17:30,-8.7B,-8.2B
2010年12月9日17:30,-8.5B,-8.1B
2010年11月9日17:30,-8.2B,-7.9B
2010年10月12日16:30,-8.2B,-8.0B
2010年9月9日16:30,-8.7B,-7.5B
2010年8月10日16:30,-7.4B,-7.7B
2010年7月9日16:30,-8.1B,-7.1B
2010年6月9日16:30,-7.3B,-7.0B
2010年5月13日16:30,-7.5B,-6.5B
2010年4月13日16:30,-6.2B,-7.3B
2010年3月9日17:30,-8.0B,-7.0B
2010年2月9日17:30,-7.3B,-6.6B
2010年1月12日17:30,-6.8B,-7.0B
2009年12月9日17:30,-7.1B,-7.0B
2009年11月10日17:30,-7.2B,-6.2B
2009年10月9日16:30,-6.2B,-6.5B
2009年9月9日16:30,-6.5B,-6.3B
2009年8月11日16:30,-6.5B,-6.3B
2009年7月9日16:30,-6.3B,-6.8B
2009年6月10日16:30,-7.0B,-6.4B
2009年5月12日16:30,-6.6B,-7.2B
2009年4月9日16:30,-7.3B,-7.6B
2009年3月11日17:30,-7.7B,-7.5B
2009年2月10日17:30,-7.4B,-8.1B
2009年1月13日17:30,-8.3B,-7.6B
2008年12月9日17:30,-7.8B,-7.5B
2008年11月11日17:30,-7.5B,-8.0B
2008年10月9日16:30,-8.2B,-7.6B
2008年9月10日16:30,-7.7B,-7.5B
2008年8月11日16:30,-7.7B,-7.4B
2008年7月9日16:30,-7.5B,-7.4B
2008年6月11日17:30,-7.6B,-7.3B
2008年5月12日17:30,-7.4B,-7.5B
2008年4月10日16:30,-7.5B,-7.6B
2008年3月12日17:30,-7.5B,-7.5B
2008年2月11日17:30,-7.6B,-7.4B
2008年1月1日 (十二月)17:00,-8.02B, 
2007年12月1日 (十一月)17:00,-8.82B, 
2007年11月1日 (十月)17:00,-7.92B, 
2007年10月1日 (九月)17:00,-7.95B, 
2007年9月1日 (八月)17:00,-8.25B, 
2007年8月1日 (七月)17:00,-7.80B, 
2007年7月1日 (六月)17:00,-7.56B, 
2007年6月1日 (五月)17:00,-7.69B, 
2007年5月1日 (四月)17:00,-7.02B, 
2007年4月1日 (三月)17:00,-7.32B, 
2007年3月1日 (二月)17:00,-7.53B, 
2007年2月1日 (一月)17:00,-7.41B, 
2007年1月1日 (十二月)17:00,-7.08B, 
2006年12月1日 (十一月)17:00,-6.97B, 
2006年11月1日 (十月)17:00,-6.99B, 
2006年10月1日 (九月)17:00,-6.52B, 
2006年9月1日 (八月)17:00,-7.04B, 
2006年8月1日 (七月)17:00,-6.81B, 
2006年7月1日 (六月)17:00,-5.68B, 
2006年6月1日 (五月)17:00,-5.56B, 
2006年5月1日 (四月)17:00,-5.78B, 
2006年4月1日 (三月)17:00,-5.24B, 
2006年3月1日 (二月)17:00,-6.83B, 
2006年2月1日 (一月)17:00,-6.91B, 
2006年1月1日 (十二月)17:00,-5.82B, 
2005年12月1日 (十一月)17:00,-6.58B, 
2005年11月1日 (十月)17:00,-5.45B, 
2005年10月1日 (九月)17:00,-5.79B, 
2005年9月1日 (八月)17:00,-6.98B, 
2005年8月1日 (七月)17:00,-5.81B, 
2005年7月1日 (六月)17:00,-4.96B, 
2005年6月1日 (五月)17:00,-5.52B, 
2005年5月1日 (四月)17:00,-6.31B, 
2005年4月1日 (三月)17:00,-5.65B, 
2005年3月1日 (二月)17:00,-4.93B, 
2005年2月1日 (一月)17:00,-5.83B, 
2005年1月1日 (十二月)17:00,-5.13B, 
2004年12月1日 (十一月)17:00,-5.18B, 
2004年11月1日 (十月)17:00,-6.02B, 
2004年10月1日 (九月)17:00,-4.71B, 
2004年9月1日 (八月)17:00,-5.47B, 
2004年8月1日 (七月)17:00,-5.44B, 
2004年7月1日 (六月)17:00,-5.49B, 
2004年6月1日 (五月)17:00,-5.58B, 
2004年5月1日 (四月)17:00,-5.06B, 
2004年4月1日 (三月)17:00,-4.61B, 
2004年3月1日 (二月)17:00,-4.58B, 
2004年2月1日 (一月)17:00,-5.68B, 
2004年1月1日 (十二月)17:00,-4.39B, 
2003年12月1日 (十一月)17:00,-4.52B, 
2003年11月1日 (十月)17:00,-4.20B, 
2003年10月1日 (九月)17:00,-4.81B, 
2003年9月1日 (八月)17:00,-3.70B, 
2003年8月1日 (七月)17:00,-3.61B, 
2003年7月1日 (六月)17:00,-4.84B, 
2003年6月1日 (五月)17:00,-4.12B, 
2003年5月1日 (四月)17:00,-2.71B, 
2003年4月1日 (三月)17:00,-4.58B, 
2003年3月1日 (二月)17:00,-3.27B, 
2003年2月1日 (一月)17:00,-4.07B, 
2003年1月1日 (十二月)17:00,-3.99B, 
2002年12月1日 (十一月)17:00,-4.87B, 
2002年11月1日 (十月)17:00,-4.28B, 
2002年10月1日 (九月)17:00,-3.63B, 
2002年9月1日 (八月)17:00,-4.23B, 
2002年8月1日 (七月)17:00,-4.22B, 
2002年7月1日 (六月)17:00,-3.49B, 
2002年6月1日 (五月)17:00,-3.07B, 
2002年5月1日 (四月)17:00,-3.89B, 
2002年4月1日 (三月)17:00,-3.64B, 
2002年3月1日 (二月)17:00,-3.92B, 
2002年2月1日 (一月)17:00,-3.80B, 
2002年1月1日 (十二月)17:00,-4.10B, 
2001年12月1日 (十一月)17:00,-3.25B, 
2001年11月1日 (十月)17:00,-3.06B, 
2001年10月1日 (九月)17:00,-2.86B, 
2001年9月1日 (八月)17:00,-4.23B, 
2001年8月1日 (七月)17:00,-3.26B, 
2001年7月1日 (六月)17:00,-3.74B, 
2001年6月1日 (五月)17:00,-3.72B, 
2001年5月1日 (四月)17:00,-3.64B, 
2001年4月1日 (三月)17:00,-3.29B, 
2001年3月1日 (二月)17:00,-3.30B, 
2001年2月1日 (一月)17:00,-3.08B, 
2001年1月1日 (十二月)17:00,-3.05B, 
2000年12月1日 (十一月)17:00,-2.88B, 
2000年11月1日 (十月)17:00,-2.72B, 
2000年10月1日 (九月)17:00,-2.94B, 
2000年9月1日 (八月)17:00,-2.89B, 
2000年8月1日 (七月)17:00,-3.61B, 
2000年7月1日 (六月)17:00,-2.43B, 
2000年6月1日 (五月)17:00,-2.79B, 
2000年5月1日 (四月)17:00,-3.04B, 
2000年4月1日 (三月)17:00,-2.13B, 
2000年3月1日 (二月)17:00,-2.73B, 
2000年2月1日 (一月)17:00,-2.87B, 
2000年1月1日 (十二月)17:00,-2.64B, 
1999年12月1日 (十一月)17:00,-2.31B, 
1999年11月1日 (十月)17:00,-2.03B, 
1999年10月1日 (九月)17:00,-1.98B, 
1999年9月1日 (八月)17:00,-2.33B, 
1999年8月1日 (七月)17:00,-2.88B, 
1999年7月1日 (六月)17:00,-2.82B, 
1999年6月1日 (五月)17:00,-1.93B, 
1999年5月1日 (四月)17:00,-2.62B, 
1999年4月1日 (三月)17:00,-2.41B, 
1999年3月1日 (二月)17:00,-2.65B, 
1999年2月1日 (一月)17:00,-2.77B, 
1999年1月1日 (十二月)17:00,-1.94B, 
1998年12月1日 (十一月)17:00,-2.05B, 
1998年11月1日 (十月)17:00,-1.82B, 
1998年10月1日 (九月)17:00,-2.12B, 
1998年9月1日 (八月)17:00,-1.64B, 
1998年8月1日 (七月)17:00,-2.10B, 
1998年7月1日 (六月)17:00,-2.16B, 
1998年6月1日 (五月)17:00,-2.16B, 
1998年5月1日 (四月)17:00,-1.68B, 
1998年4月1日 (三月)17:00,-1.77B, 
1998年3月1日 (二月)17:00,-1.76B, 
1998年2月1日 (一月)17:00,-1.00B, 
1998年1月1日 (十二月)17:00,-1.39B, 
1997年12月1日 (十一月)17:00,-1.43B, 
1997年11月1日 (十月)17:00,-1.30B, 
1997年10月1日 (九月)17:00,-1.13B, 
1997年9月1日 (八月)17:00,-1.00B, 
1997年8月1日 (七月)17:00,-0.65B, 
1997年7月1日 (六月)17:00,-1.19B, 
1997年6月1日 (五月)17:00,-0.85B, 
1997年5月1日 (四月)17:00,-1.11B, 
1997年4月1日 (三月)17:00,-1.07B, 
1997年3月1日 (二月)17:00,-0.80B, 
1997年2月1日 (一月)17:00,-0.43B, 
1997年1月1日 (十二月)17:00,-1.22B, 
1996年12月1日 (十一月)17:00,-1.08B, 
1996年11月1日 (十月)17:00,-0.74B, 
1996年10月1日 (九月)17:00,-1.23B, 
1996年9月1日 (八月)17:00,-0.81B, 
1996年8月1日 (七月)17:00,-1.05B, 
1996年7月1日 (六月)17:00,-1.29B, 
1996年6月1日 (五月)17:00,-1.06B, 
1996年5月1日 (四月)17:00,-1.37B, 
1996年4月1日 (三月)17:00,-1.27B, 
1996年3月1日 (二月)17:00,-1.38B, 
1996年2月1日 (一月)17:00,-1.23B, 
1996年1月1日 (十二月)17:00,-0.95B, 
1995年12月1日 (十一月)17:00,-0.55B, 
1995年11月1日 (十月)17:00,-1.73B, 
1995年10月1日 (九月)17:00,-1.41B, 
1995年9月1日 (八月)17:00,-1.34B, 
1995年8月1日 (七月)17:00,-0.95B, 
1995年7月1日 (六月)17:00,-1.09B, 
1995年6月1日 (五月)17:00,-1.16B, 
1995年5月1日 (四月)17:00,-1.18B, 
1995年4月1日 (三月)17:00,-0.41B, 
1995年3月1日 (二月)17:00,-0.61B, 
1995年2月1日 (一月)17:00,-0.65B, 
1995年1月1日 (十二月)17:00,-1.47B, 
1994年12月1日 (十一月)17:00,-0.74B, 
1994年11月1日 (十月)17:00,-0.75B, 
1994年10月1日 (九月)17:00,-0.91B, 
1994年9月1日 (八月)17:00,-0.51B, 
1994年8月1日 (七月)17:00,-1.05B, 
1994年7月1日 (六月)17:00,-0.56B, 
1994年6月1日 (五月)17:00,-1.21B, 
1994年5月1日 (四月)17:00,-0.78B, 
1994年4月1日 (三月)17:00,-1.16B, 
1994年3月1日 (二月)17:00,-1.15B, 
1994年2月1日 (一月)17:00,-0.86B, 
1994年1月1日 (十二月)17:00,-1.11B, 
1993年12月1日 (十一月)17:00,-1.10B, 
1993年11月1日 (十月)17:00,-0.97B, 
1993年10月1日 (九月)17:00,-1.12B, 
1993年9月1日 (八月)17:00,-0.70B, 
1993年8月1日 (七月)17:00,-1.26B, 
1993年7月1日 (六月)17:00,-0.97B, 
1993年6月1日 (五月)17:00,-0.93B, 
1993年5月1日 (四月)17:00,-1.27B, 
1993年4月1日 (三月)17:00,-0.99B, 
1993年3月1日 (二月)17:00,-1.37B, 
1993年2月1日 (一月)17:00,-1.29B, 
1993年1月1日 (十二月)17:00,-1.73B, 
1992年12月1日 (十一月)17:00,-1.23B, 
1992年11月1日 (十月)17:00,-1.16B, 
1992年10月1日 (九月)17:00,-0.96B, 
1992年9月1日 (八月)17:00,-1.20B, 
1992年8月1日 (七月)17:00,-1.15B, 
1992年7月1日 (六月)17:00,-0.96B, 
1992年6月1日 (五月)17:00,-0.82B, 
1992年5月1日 (四月)17:00,-1.17B, 
1992年4月1日 (三月)17:00,-0.76B, 
1992年3月1日 (二月)17:00,-0.92B, 
1992年2月1日 (一月)17:00,-0.99B, 
1992年1月1日 (十二月)17:00,-0.78B, 
1991年12月1日 (十一月)17:00,-0.97B, 
1991年11月1日 (十月)17:00,-0.97B, 
1991年10月1日 (九月)17:00,-1.14B, 
1991年9月1日 (八月)17:00,-0.78B, 
1991年8月1日 (七月)17:00,-0.54B, 
1991年7月1日 (六月)17:00,-0.48B, 
1991年6月1日 (五月)17:00,-0.86B, 
1991年5月1日 (四月)17:00,-0.68B, 
1991年4月1日 (三月)17:00,-0.92B, 
1991年3月1日 (二月)17:00,-0.80B, 
1991年2月1日 (一月)17:00,-1.29B, 
1991年1月1日 (十二月)17:00,-0.95B, 
1990年12月1日 (十一月)17:00,-1.04B, 
1990年11月1日 (十月)17:00,-1.22B, 
1990年10月1日 (九月)17:00,-0.76B, 
1990年9月1日 (八月)17:00,-1.37B, 
1990年8月1日 (七月)17:00,-1.88B, 
1990年7月1日 (六月)17:00,-1.71B, 
1990年6月1日 (五月)17:00,-1.53B, 
1990年5月1日 (四月)17:00,-2.16B, 
1990年4月1日 (三月)17:00,-2.36B, 
1990年3月1日 (二月)17:00,-1.58B, 
1990年2月1日 (一月)17:00,-2.13B, 
1990年1月1日 (十二月)17:00,-1.02B, 
1989年12月1日 (十一月)17:00,-2.02B, 
1989年11月1日 (十月)17:00,-1.82B, 
1989年10月1日 (九月)17:00,-2.23B, 
1989年9月1日 (八月)17:00,-2.46B, 
1989年8月1日 (七月)17:00,-2.05B, 
1989年7月1日 (六月)17:00,-2.26B, 
1989年6月1日 (五月)17:00,-2.13B, 
1989年5月1日 (四月)17:00,-2.32B, 
1989年4月1日 (三月)17:00,-2.05B, 
1989年3月1日 (二月)17:00,-2.33B, 
1989年2月1日 (一月)17:00,-2.03B, 
1989年1月1日 (十二月)17:00,-2.00B, 
1988年12月1日 (十一月)17:00,-2.26B, 
1988年11月1日 (十月)17:00,-2.47B, 
1988年10月1日 (九月)17:00,-1.78B, 
