时间,今值,预测值
2017年9月13日 (七月)16:30, ,4.4%
2017年8月16日 (六月)16:30,4.4%,4.5%
2017年7月12日 (五月)16:30,4.5%,4.6%
2017年6月14日 (四月)16:30,4.6%,4.6%
2017年5月17日 (三月)16:30,4.6%,4.7%
2017年4月12日 (二月)16:30,4.7%,4.7%
2017年3月15日 (一月)17:30,4.7%,4.8%
2017年2月15日 (十二月)17:30,4.8%,4.8%
2017年1月18日 (十一月)17:30,4.8%,4.8%
2016年12月14日 (十月)17:30,4.8%,4.8%
2016年11月16日 (九月)17:30,4.8%,4.9%
2016年10月19日 (八月)16:30,4.9%,4.9%
2016年9月14日 (七月)16:30,4.9%,4.9%
2016年8月17日 (六月)16:30,4.9%,4.9%
2016年7月20日 (五月)16:30,4.9%,5.0%
2016年6月15日 (四月)16:30,5.0%,5.1%
2016年5月18日 (三月)16:30,5.1%,5.1%
2016年4月20日 (二月)16:30,5.1%,5.1%
2016年3月16日 (一月)17:30,5.1%,5.1%
2016年2月17日 (十二月)17:30,5.1%,5.0%
2016年1月20日 (十一月)17:30,5.1%,5.2%
2015年12月16日 (十月)17:30,5.2%,5.3%
2015年11月11日 (九月)17:30,5.3%,5.4%
2015年10月14日 (八月)16:30,5.4%,5.5%
2015年9月16日 (七月)16:30,5.5%,5.6%
2015年8月12日 (六月)16:30,5.6%,5.6%
2015年7月15日 (五月)16:30,5.6%,5.5%
2015年6月17日 (四月)16:30,5.5%,5.5%
2015年5月13日 (三月)16:30,5.5%,5.5%
2015年4月17日 (二月)16:30,5.6%,5.6%
2015年3月18日 (一月)17:30,5.7%,5.6%
2015年2月18日 (十二月)17:30,5.7%,5.8%
2015年1月21日 (十一月)17:30,5.8%,5.9%
2014年12月17日 (十月)17:30,6.0%,5.9%
2014年11月12日 (九月)17:30,6.0%,5.9%
2014年10月15日 (八月)16:30,6.0%,6.1%
2014年9月17日16:30,6.2%,6.3%
2014年8月13日16:30,6.4%,6.4%
2014年7月16日16:30,6.5%,6.5%
2014年6月11日16:30,6.6%,6.7%
2014年5月14日16:30,6.8%,6.8%
2014年4月16日16:30,6.9%,7.1%
2014年3月19日17:30,7.2%,7.2%
2014年2月19日17:30,7.2%,7.1%
2014年1月22日17:30,7.1%,7.3%
2013年12月18日17:30,7.4%,7.6%
2013年11月13日17:30,7.6%,7.7%
2013年10月16日16:30,7.7%,7.7%
2013年9月11日16:30,7.7%,7.8%
2013年8月14日16:30,7.8%,7.8%
2013年7月17日16:30,7.8%,7.8%
2013年6月12日16:30,7.8%,7.8%
2013年5月15日16:30,7.8%,7.9%
2013年4月17日16:30,7.9%,7.8%
2013年3月20日17:30,7.8%,7.8%
2013年2月20日17:30,7.8%,7.7%
2013年1月23日17:30,7.7%,7.8%
