时间,今值,预测值
2017年9月13日 (八月)16:30, ,0.6K
2017年8月16日 (七月)16:30,-4.2K,3.7K
2017年7月12日 (六月)16:30,6.0K,10.0K
2017年6月14日 (五月)16:30,7.3K,20.3K
2017年5月17日 (四月)16:30,19.4K,7.5K
2017年4月12日 (三月)16:30,25.5K,-3.0K
2017年3月15日 (二月)17:30,-11.3K,-5.0K
2017年2月15日 (一月)17:30,-42.4K,0.8K
2017年1月18日 (十二月)17:30,-10.1K,5.0K
2016年12月14日 (十一月)17:30,2.4K,5.5K
2016年11月16日 (十月)17:30,9.8K,2.0K
2016年10月19日 (九月)16:30,0.7K,3.0K
2016年9月14日 (八月)16:30,2.4K,1.8K
2016年8月17日 (七月)16:30,-8.6K,9.5K
2016年7月20日 (六月)16:30,0.4K,3.5K
2016年6月15日 (五月)16:30,-0.4K,-0.1K
2016年5月18日 (四月)16:30,-2.4K,4.3K
2016年4月20日 (三月)16:30,6.7K,-11.3K
2016年3月16日 (二月)17:30,-18.0K,-9.1K
2016年2月17日 (一月)17:30,-14.8K,-3.0K
2016年1月20日 (十二月)17:30,-4.3K,2.5K
2015年12月16日 (十一月)17:30,3.9K,1.5K
2015年11月11日 (十月)17:30,3.3K,1.5K
2015年10月14日 (九月)16:30,4.6K,-2.1K
2015年9月16日 (八月)16:30,1.2K,-5.0K
2015年8月12日 (七月)16:30,-4.9K,1.5K
2015年7月15日 (六月)16:30,7.0K,-8.8K
2015年6月17日 (五月)16:30,-6.5K,-12.3K
2015年5月13日 (四月)16:30,-12.6K,-20.0K
2015年4月17日 (三月)16:30,-20.7K,-29.5K
2015年3月18日 (二月)17:30,-31.0K,-30.0K
2015年2月18日 (一月)17:30,-38.6K,-25.0K
2015年1月21日 (十二月)17:30,-29.7K,-25.0K
2014年12月17日 (十一月)17:30,-26.9K,-21.2K
2014年11月12日 (十月)17:30,-20.4K,-24.9K
2014年10月15日 (九月)16:30,-18.6K,-35.0K
2014年9月17日 (八月)16:30,-37.2K,-30.0K
2014年8月13日16:30,-33.6K,-30.0K
2014年7月16日16:30,-36.3K,-27.0K
2014年6月11日16:30,-27.4K,-25.0K
2014年5月14日16:30,-25.1K,-30.0K
2014年4月16日16:30,-30.4K,-30.0K
2014年3月19日17:30,-34.6K,-25.0K
2014年2月19日17:30,-27.6K,-20.0K
2014年1月22日17:30,-24.0K,-35.0K
2013年12月18日17:30,-36.7K,-35.0K
2013年11月13日17:30,-41.7K,-35.0K
2013年10月16日16:30,-41.7K,-25.0K
2013年9月11日16:30,-32.6K,-22.0K
2013年8月14日16:30,-29.2K,-15.0K
2013年7月17日16:30,-21.2K,-8.0K
2013年6月12日16:30,-8.6K,-5.0K
2013年5月15日16:30,-7.3K,-3.0K
2013年4月17日16:30,-7.0K,0.5K
2013年3月20日17:30,-1.5K,-5.0K
2013年2月20日17:30,-12.5K,-5.0K
2013年1月23日17:30,-12.1K,0.1K
2012年12月12日17:30,-3.0K,7.0K
2012年11月14日17:30,10.1K,-5.1K
2012年10月17日16:30,-4.0K,-1.0K
2012年9月12日16:30,-15.0K,0.5K
2012年8月15日16:30,-5.9K,6.0K
2012年7月18日16:30,6.1K,5.0K
2012年6月20日16:30,8.1K,-3.0K
2012年5月16日16:30,-13.7K,5.0K
2012年4月18日16:30,3.6K,7.0K
2012年3月14日17:30,7.2K,6.0K
2012年2月15日17:30,6.9K,3.2K
2012年1月18日17:30,1.2K,8.0K
2011年12月14日17:30,3.0K,17.0K
2011年11月16日17:30,5.3K,21.0K
2011年10月12日16:30,17.5K,24.0K
2011年9月14日16:30,20.3K,35.0K
2011年8月17日16:30,37.1K,20.0K
2011年7月13日16:30,24.5K,15.0K
2011年6月15日16:30,19.6K,6.5K
2011年5月18日16:30,12.4K,0.5K
2011年4月13日16:30,0.7K,-3.0K
2011年3月16日17:30,-10.2K,1.3K
2011年2月16日17:30,2.4K,-3.3K
2011年1月19日17:30,-4.1K,-1.4K
2010年12月15日17:30,-1.2K,-3.0K
2010年11月17日17:30,-3.7K,6.0K
2010年10月13日16:30,5.3K,3.9K
2010年9月15日16:30,2.3K,-5.1K
2010年8月11日16:30,-3.8K,-17.4K
2010年7月14日16:30,-20.8K,-20.2K
2010年6月16日16:30,-30.9K,-25.3K
2010年5月12日16:30,-27.1K,-20.1K
2010年4月21日16:30,-32.9K,-6.0K
2010年3月17日17:30,-32.3K,8.5K
2010年2月17日17:30,23.5K,-15.0K
2010年1月20日17:30,-15.2K,-3.0K
2009年12月16日17:30,-6.3K,14.0K
2009年11月11日17:30,12.9K,20.8K
2009年10月14日16:30,20.8K,24.8K
2009年9月16日16:30,24.4K,24.6K
2009年8月12日16:30,24.9K,25.5K
2009年7月15日16:30,23.8K,41.9K
2009年6月17日16:30,39.3K,60.5K
2009年5月12日21:00,57.1K,85.0K
2009年4月22日16:30,73.7K,117.0K
2009年3月18日17:30,138.4K,84.5K
2009年2月11日17:30,73.8K,88.5K
2009年1月21日17:30,77.9K,82.0K
2008年12月17日17:30,75.7K,45.0K
2008年11月12日17:30,36.5K,40.0K
2008年10月15日16:30,31.8K,35.5K
2008年9月17日16:30,32.5K,22.2K
2008年8月13日16:30,20.1K,17.5K
2008年7月16日16:30,15.5K,10.0K
2008年6月11日17:30,9.0K,8.0K
2008年5月14日17:30,7.2K,0.1K
2008年4月16日16:30,-1.2K,-1.8K
2008年3月19日17:30,-2.8K,-5.0K
2008年2月13日17:30,-10.8K,-5.2K
2008年1月1日 (十二月)17:00,-10.00K, 
2007年12月1日 (十一月)17:00,-11.10K, 
2007年11月1日 (十月)17:00,-8.20K, 
2007年10月1日 (九月)17:00,-6.80K, 
2007年9月1日 (八月)17:00,-5.00K, 
2007年8月1日 (七月)17:00,-5.60K, 
2007年7月1日 (六月)17:00,-8.90K, 
2007年6月1日 (五月)17:00,-7.40K, 
2007年5月1日 (四月)17:00,-18.60K, 
2007年4月1日 (三月)17:00,-14.70K, 
2007年3月1日 (二月)17:00,-14.10K, 
2007年2月1日 (一月)17:00,-14.30K, 
2007年1月1日 (十二月)17:00,-9.40K, 
2006年12月1日 (十一月)17:00,-9.30K, 
2006年11月1日 (十月)17:00,0.60K, 
2006年10月1日 (九月)17:00,6.50K, 
2006年9月1日 (八月)17:00,-5.20K, 
2006年8月1日 (七月)17:00,0.80K, 
2006年7月1日 (六月)17:00,5.40K, 
2006年6月1日 (五月)17:00,5.00K, 
2006年5月1日 (四月)17:00,9.40K, 
2006年4月1日 (三月)17:00,12.20K, 
2006年3月1日 (二月)17:00,10.20K, 
2006年2月1日 (一月)17:00,5.60K, 
2006年1月1日 (十二月)17:00,7.20K, 
2005年12月1日 (十一月)17:00,12.70K, 
2005年11月1日 (十月)17:00,12.10K, 
2005年10月1日 (九月)17:00,7.90K, 
2005年9月1日 (八月)17:00,1.50K, 
2005年8月1日 (七月)17:00,3.50K, 
2005年7月1日 (六月)17:00,9.10K, 
2005年6月1日 (五月)17:00,13.80K, 
