时间,今值,预测值
2017年9月4日 (八月)16:30,51.1,52.0
2017年8月2日 (七月)16:30,51.9,54.5
2017年7月4日 (六月)16:30,54.8,55.0
2017年6月2日 (五月)16:30,56.0,52.7
2017年5月3日 (四月)16:30,53.1,52.0
2017年4月4日 (三月)16:30,52.2,52.4
2017年3月2日 (二月)17:30,52.5,52.2
2017年2月2日 (一月)17:30,52.2,53.8
2017年1月4日 (十二月)17:30,54.2,52.8
2016年12月2日 (十一月)17:30,52.8,52.2
2016年11月2日 (十月)17:30,52.6,51.8
2016年10月4日 (九月)16:30,52.3,49.0
2016年9月2日 (八月)16:30,49.2,46.1
2016年8月2日 (七月)16:30,45.9,43.8
2016年7月4日 (六月)16:30,46.0,50.5
2016年6月2日 (五月)16:30,51.2,52.0
2016年5月4日 (四月)16:30,52.0,54.0
2016年4月4日 (三月)16:30,54.2,54.0
2016年3月2日 (二月)17:30,54.2,55.5
2016年2月2日 (一月)17:30,55.0,57.5
2016年1月5日 (十二月)17:30,57.8,56.0
2015年12月2日 (十一月)17:30,55.3,58.2
2015年11月3日 (十月)17:30,58.8,58.8
2015年10月2日 (九月)16:30,59.9,57.5
2015年9月2日 (八月)16:30,57.3,57.5
2015年8月4日 (七月)16:30,57.1,58.4
2015年7月2日 (六月)16:30,58.1,56.5
2015年6月2日 (五月)16:30,55.9,55.0
2015年5月5日 (四月)16:30,54.2,57.5
2015年4月2日 (三月)16:30,57.8,59.5
2015年3月3日 (二月)17:30,60.1,59.0
2015年2月3日 (一月)17:30,59.1,57.0
2015年1月5日 (十二月)17:30,57.6,59.0
2014年12月2日 (十一月)17:30,59.4,61.2
2014年11月4日 (十月)17:30,61.4,63.5
2014年10月2日 (九月)16:30,64.2,63.5
2014年9月2日16:30,64.0,61.4
2014年8月4日16:30,62.4,62.0
2014年7月2日16:30,62.6,59.5
2014年6月3日16:30,60.0,60.8
2014年5月2日16:30,60.8,62.0
2014年4月2日16:30,62.5,63.0
2014年3月4日17:30,62.6,63.0
2014年2月4日17:30,64.6,61.5
2014年1月3日17:30,62.1,62.0
2013年12月3日17:30,62.6,59.0
2013年11月4日17:30,59.4,58.9
2013年10月2日16:30,58.9,59.2
2013年9月3日16:30,59.1,58.3
2013年8月2日16:30,57.0,51.5
2013年7月2日16:30,51.0,51.1
2013年6月4日16:30,50.8,49.6
2013年5月2日16:30,49.4,48.0
2013年4月3日16:30,47.2,47.5
2013年3月4日17:30,46.8,49.0
2013年2月4日17:30,48.7,49.1
2013年1月3日17:30,48.7,49.5
2012年12月4日17:30,49.3,50.5
2012年11月2日17:30,50.9,49.1
2012年10月2日16:30,49.5,49.8
2012年9月4日16:30,49.0,50.0
2012年8月2日16:30,50.9,48.0
2012年7月3日16:30,48.2,53.0
2012年6月6日16:30,54.4,54.2
2012年5月2日16:30,55.8,54.0
2012年4月3日16:30,56.7,53.5
2012年3月2日17:30,54.3,51.3
2012年2月2日17:30,51.4,52.9
2012年1月4日17:30,53.2,52.0
2011年12月2日17:30,52.3,52.0
2011年11月2日17:30,53.9,50.2
2011年10月4日16:30,50.1,51.6
2011年9月2日16:30,52.6,53.1
2011年8月2日16:30,53.5,53.1
2011年7月4日16:30,53.6,53.5
2011年6月2日16:30,54.0,53.5
2011年5月4日16:30,53.3,55.9
2011年4月4日16:30,56.4,54.8
2011年3月2日17:30,56.5,53.1
2011年2月2日17:30,53.7,49.7
2011年1月5日17:30,49.1,51.2
2010年12月2日17:30,51.8,51.3
2010年11月2日17:30,51.6,53.0
2010年10月4日16:30,53.8,51.7
2010年9月2日16:30,52.1,53.7
2010年8月3日16:30,54.1,58.2
2010年7月2日16:30,58.4,58.6
2010年6月2日16:30,58.5,58.3
2010年5月5日16:30,58.2,53.5
2010年4月6日16:30,53.1,48.8
2010年3月2日17:30,48.5,49.0
2010年2月2日17:30,48.6,48.2
2010年1月5日17:30,47.1,47.6
2009年12月2日17:30,47.0,47.0
2009年11月3日17:30,46.2,47.2
2009年10月2日16:30,46.7,48.0
2009年9月2日16:30,47.7,48.1
2009年8月4日16:30,47.0,46.0
2009年7月2日16:30,44.5,46.1
2009年6月2日16:30,45.9,39.1
2009年5月5日16:30,38.1,31.9
2009年4月2日16:30,30.9,27.6
2009年3月3日17:30,27.8,34.2
2009年2月3日17:30,34.5,28.8
2009年1月5日17:30,29.3,30.5
2008年12月2日17:30,31.8,33.8
2008年11月4日17:30,35.1,37.7
2008年10月2日16:30,38.8,39.0
2008年9月2日16:30,40.5,36.0
2008年8月4日16:30,36.7,37.6
2008年7月2日16:30,38.8,43.1
2008年6月3日17:30,43.9,45.7
2008年5月2日16:30,46.1,47.0
2008年4月2日16:30,47.2,52.0
2008年3月4日17:30,52.4,53.1
