时间,今值,预测值
2017年9月8日 (七月)16:30,-0.9%,-0.2%
2017年8月10日 (六月)16:30,-0.1%,1.5%
2017年7月7日 (五月)16:30,-1.2%,0.7%
2017年6月9日 (四月)16:30,-1.6%,0.3%
2017年5月11日 (三月)16:30,-0.7%,0.3%
2017年4月7日 (二月)16:30,-1.7%,0.1%
2017年3月10日 (一月)17:30,-0.4%,-0.2%
2017年2月10日 (十二月)17:30,1.8%,1.0%
2017年1月11日 (十一月)17:30,-0.2%,0.3%
2016年12月9日 (十月)17:30,-0.6%,0.2%
2016年11月11日 (九月)17:30,0.3%,0.2%
2016年10月14日 (八月)17:30,-1.5%,0.0%
2016年9月9日 (七月)17:30,0.0%,-1.0%
2016年8月12日 (六月)17:30,-0.9%,0.9%
2016年7月15日 (五月)17:30,-2.1%,-1.1%
2016年6月10日 (四月)17:30,2.5%,1.5%
2016年5月13日 (三月)17:30,-3.6%,-2.8%
2016年4月15日 (二月)17:30,-0.3%,0.0%
2016年3月12日 (一月)17:30,-0.10%, 
2016年2月10日 (十二月)17:30,3.00%, 
2016年1月10日 (十一月)17:30,-0.90%, 
2015年12月11日 (十月)17:30,0.50%, 
2015年11月10日 (九月)17:30,0.90%, 
2015年10月11日 (八月)17:30,-2.70%, 
2015年9月10日 (七月)17:30,0.80%, 
2015年8月10日 (六月)17:30,0.10%, 
2015年7月11日 (五月)17:30,-0.20%, 
2015年6月10日 (四月)17:30,-0.10%, 
2015年5月11日 (三月)17:30,2.30%, 
2015年4月10日 (二月)17:30,-1.60%, 
2015年3月13日 (一月)17:30,2.50%, 
2015年2月10日 (十二月)17:30,-0.20%, 
2015年1月10日 (十一月)17:30,1.90%, 
2014年12月11日 (十月)17:30,-1.40%, 
2014年11月10日 (九月)17:30,0.20%, 
2014年10月11日 (八月)17:30,1.20%, 
2014年9月10日 (七月)17:30,1.70%, 
2014年8月10日 (六月)17:30,0.10%, 
2014年7月11日 (五月)17:30,-0.30%, 
2014年6月10日 (四月)17:30,1.30%, 
2014年5月11日 (三月)17:30,1.60%, 
2014年4月10日 (二月)17:30,-1.20%, 
2014年3月13日 (一月)17:30,2.70%, 
2014年2月10日 (十二月)17:30,0.70%, 
2014年1月10日 (十一月)17:30,-1.40%, 
2013年12月11日 (十月)17:30,1.50%, 
2013年11月10日 (九月)17:30,-0.70%, 
2013年10月11日 (八月)17:30,3.00%, 
2013年9月10日 (七月)17:30,-0.30%, 
2013年8月10日 (六月)17:30,1.60%, 
2013年7月11日 (五月)17:30,0.70%, 
2013年6月10日 (四月)17:30,0.20%, 
2013年5月11日 (三月)17:30,-0.50%, 
2013年4月10日 (二月)17:30,2.70%, 
2013年3月13日 (一月)17:30,-1.50%, 
2013年2月10日 (十二月)17:30,-1.60%, 
2013年1月10日 (十一月)17:30,1.60%, 
2012年12月11日 (十月)17:30,0.50%, 
2012年11月10日 (九月)17:30,0.00%, 
2012年10月11日 (八月)17:30,-0.50%, 
2012年9月10日 (七月)17:30,1.50%, 
2012年8月10日 (六月)17:30,-4.30%, 
2012年7月11日 (五月)17:30,0.50%, 
2012年6月10日 (四月)17:30,-3.00%, 
2012年5月11日 (三月)17:30,1.40%, 
2012年4月10日 (二月)17:30,-2.00%, 
2012年3月12日 (一月)17:30,-5.50%, 
2012年2月10日 (十二月)17:30,3.80%, 
2012年1月10日 (十一月)17:30,1.60%, 
2011年12月11日 (十月)17:30,-1.80%, 
2011年11月10日 (九月)17:30,0.60%, 
2011年10月11日 (八月)17:30,-2.40%, 
2011年9月10日 (七月)17:30,-0.10%, 
2011年8月10日 (六月)17:30,1.30%, 
2011年7月11日 (五月)17:30,-0.30%, 
2011年6月10日 (四月)17:30,-0.30%, 
2011年5月11日 (三月)17:30,1.50%, 
2011年4月10日 (二月)17:30,-0.10%, 
2011年3月13日 (一月)17:30,3.30%, 
2011年2月10日 (十二月)17:30,-3.20%, 
2011年1月10日 (十一月)17:30,-0.30%, 
2010年12月11日 (十月)17:30,-1.20%, 
2010年11月10日 (九月)17:30,-1.90%, 
2010年10月11日 (八月)17:30,3.30%, 
2010年9月10日 (七月)17:30,-0.70%, 
2010年8月10日 (六月)17:30,0.90%, 
2010年7月11日 (五月)17:30,2.30%, 
2010年6月10日 (四月)17:30,1.70%, 
2010年5月11日 (三月)17:30,0.80%, 
2010年4月10日 (二月)17:30,4.80%, 
