时间,今值,预测值
2017年9月5日 (八月)16:30,53.2,53.5
2017年8月3日 (七月)16:30,53.8,53.6
2017年7月5日 (六月)16:30,53.4,53.5
2017年6月5日 (五月)16:30,53.8,55.0
2017年5月4日 (四月)16:30,55.8,54.5
2017年4月5日 (三月)16:30,55.0,53.5
2017年3月3日 (二月)17:30,53.3,54.1
2017年2月3日 (一月)17:30,54.5,55.8
2017年1月5日 (十二月)17:30,56.2,54.7
2016年12月5日 (十一月)17:30,55.2,54.0
2016年11月3日 (十月)17:30,54.5,52.4
2016年10月5日 (九月)16:30,52.6,52.0
2016年9月5日 (八月)16:30,52.9,50.0
2016年8月3日 (七月)16:30,47.4,47.4
2016年7月22日 (七月)16:30  ,47.4,48.9
2016年7月5日 (六月)16:30,52.3,52.7
2016年6月3日 (五月)16:30,53.5,52.5
2016年5月5日 (四月)16:30,52.3,53.5
2016年4月5日 (三月)16:30,53.7,53.7
2016年3月3日 (二月)17:30,52.7,55.1
2016年2月3日 (一月)17:30,55.6,55.3
2016年1月6日 (十二月)17:30,55.5,55.6
2015年12月3日 (十一月)17:30,55.9,55.0
2015年11月4日 (十月)17:30,54.9,54.5
2015年10月5日 (九月)16:30,53.3,56.0
2015年9月3日 (八月)16:30,55.6,57.6
2015年8月5日 (七月)16:30,57.4,58.0
2015年7月3日 (六月)16:30,58.5,57.4
2015年6月3日 (五月)16:30,56.5,59.2
2015年5月6日 (四月)16:30,59.5,58.5
2015年4月7日 (三月)16:30,58.9,57.0
2015年3月4日 (二月)17:30,56.7,57.5
2015年2月4日 (一月)17:30,57.2,56.3
2015年1月6日 (十二月)17:30,55.8,58.5
2014年12月3日 (十一月)17:30,58.6,56.6
2014年11月5日 (十月)17:30,56.2,58.5
2014年10月3日 (九月)16:30,58.7,59.1
2014年9月3日16:30,60.5,58.5
2014年8月5日16:30,59.1,57.9
2014年7月3日16:30,57.7,58.3
2014年6月4日16:30,58.6,58.2
2014年5月6日16:30,58.7,57.6
2014年4月3日16:30,57.6,58.1
2014年3月5日17:28,58.2,58.0
2014年2月5日17:28,58.3,59.0
2014年1月6日17:28,58.8,60.0
2013年12月4日17:28,60.0,62.0
2013年11月5日17:28,62.5,59.8
2013年10月3日16:28,60.3,60.0
2013年9月4日16:28,60.5,59.0
2013年8月5日16:28,60.2,57.2
2013年7月3日16:28,56.9,54.5
2013年6月5日16:28,54.9,53.0
2013年5月3日16:28,52.9,52.4
2013年4月4日16:28,52.4,51.5
2013年3月5日17:30,51.8,51.0
2013年2月5日17:30,51.5,49.8
2013年1月4日17:30,48.9,50.4
2012年12月5日17:30,50.2,51.1
2012年11月5日17:30,50.6,52.0
2012年10月3日16:30,52.2,53.1
2012年9月4日22:40,53.7,51.5
2012年8月3日16:30,51.0,51.5
2012年7月4日16:30,51.3,53.0
2012年6月7日16:30,53.3,52.7
2012年5月3日16:30,53.3,54.6
2012年4月4日16:30,55.3,53.5
2012年3月5日17:30,53.8,55.0
2012年2月3日17:30,56.0,53.5
2012年1月5日17:30,54.0,51.5
2011年12月5日17:30,52.1,50.5
2011年11月3日17:30,51.3,52.0
2011年10月5日16:30,52.9,50.5
2011年9月5日16:30,51.1,54.3
2011年8月3日16:30,55.4,53.2
2011年7月5日16:30,53.9,53.5
2011年6月3日16:30,53.8,54.2
2011年5月5日16:30,54.3,56.0
2011年4月5日16:30,57.1,52.9
2011年3月3日17:30,52.6,54.0
2011年2月3日17:30,54.5,51.1
2011年1月6日17:30,49.7,52.9
2010年12月3日17:30,53.0,53.2
2010年11月3日17:30,53.2,52.6
2010年10月5日16:30,52.8,51.2
2010年9月3日16:30,51.3,53.1
2010年8月4日16:30,53.1,54.6
2010年7月5日16:30,54.4,55.2
2010年6月3日16:30,55.4,55.6
2010年5月6日16:30,55.3,57.1
2010年4月7日16:30,56.5,58.4
2010年3月3日17:30,58.4,55.0
2010年2月3日17:30,54.5,56.8
2010年1月6日17:30,56.8,56.8
2009年12月3日17:30,56.6,57.0
2009年11月4日17:30,56.9,55.4
2009年10月5日16:30,55.3,54.5
2009年9月3日16:30,54.1,53.9
2009年8月5日16:30,53.2,52.0
2009年7月3日16:30,51.6,51.7
2009年6月3日16:30,51.7,49.4
2009年5月6日16:30,48.7,46.3
2009年4月3日16:30,45.5,43.6
2009年3月4日17:30,43.2,41.6
2009年2月4日17:30,42.5,40.3
2009年1月6日17:30,40.2,39.0
2008年12月3日17:30,40.1,41.2
2008年11月5日17:30,42.4,44.5
2008年10月3日16:30,46.0,48.0
2008年9月3日16:30,49.2,47.0
2008年8月5日16:30,47.4,46.7
2008年7月3日16:30,47.1,49.5
2008年6月4日17:30,49.8,50.4
2008年5月6日16:30,50.4,51.7
2008年4月3日16:30,52.1,53.3
2008年3月5日17:30,54.0,52.0
