时间,今值,预测值
2017年9月12日 (八月)16:30, ,2.5%
2017年8月15日 (七月)16:30,2.4%,2.5%
2017年7月18日 (六月)16:30,2.4%,2.6%
2017年6月13日 (五月)16:30,2.6%,2.4%
2017年5月16日 (四月)16:30,2.4%,2.2%
2017年4月11日 (三月)16:30,1.8%,1.9%
2017年3月21日 (二月)17:30,2.0%,1.8%
2017年2月14日 (一月)17:30,1.6%,1.8%
2017年1月17日 (十二月)17:30,1.6%,1.5%
2016年12月13日 (十一月)17:30,1.4%,1.3%
2016年11月15日17:30,1.2%,1.4%
2016年10月18日16:30,1.5%,1.4%
2016年9月13日16:30,1.3%,1.4%
2016年8月16日16:30,1.3%,1.3%
2016年7月19日16:30,1.4%,1.3%
2016年6月14日16:30,1.2%,1.3%
2016年5月17日16:30,1.2%,1.5%
2016年4月12日16:30,1.5%,1.3%
2016年3月22日17:30,1.2%,1.2%
2016年2月16日17:30,1.2%,1.3%
2016年1月19日17:30,1.4%,1.2%
2015年12月15日17:30,1.2%,1.2%
2015年11月17日17:30,1.1%,1.0%
2015年10月13日16:30,1.0%,1.1%
2015年9月15日16:30,1.0%,1.0%
2015年8月18日16:30,1.2%,0.8%
2015年7月14日16:30,0.8%,0.9%
2015年6月16日16:30,0.9%,1.0%
2015年5月19日16:30,0.8%,1.0%
2015年4月14日16:30,1.0%,1.2%
2015年3月24日17:30,1.2%,1.3%
2015年2月17日17:30,1.4%,1.3%
2015年1月13日17:30,1.3%,1.4%
2014年12月16日17:30,1.2%,1.5%
2014年11月18日17:30,1.5%,1.6%
2014年10月14日16:30,1.5%,1.8%
2014年9月16日16:30,1.9%,1.8%
2014年8月19日16:30,1.8%,1.9%
2014年7月15日16:30,2.0%,1.7%
2014年6月17日16:30,1.6%,1.7%
2014年5月20日16:30,2.0%,1.8%
2014年4月15日17:30,1.6%,1.6%
2014年3月25日17:30,1.7%,1.6%
2014年2月18日17:30,1.6%,1.9%
2014年1月14日17:30,1.7%,1.8%
2013年12月17日17:30,1.8%,1.8%
2013年11月12日17:30,1.7%,2.0%
2013年10月15日16:30,2.2%,2.0%
2013年9月17日16:30,2.0%,2.1%
2013年8月13日16:30,2.0%,2.3%
2013年7月16日16:30,2.3%,2.3%
2013年6月18日16:30,2.2%,2.1%
2013年5月21日16:30,2.0%,2.3%
2013年4月16日16:30,2.4%,2.3%
2013年3月19日17:30,2.3%,2.2%
2013年2月12日17:30,2.3%,2.4%
2013年1月15日17:30,2.4%,2.6%
2012年12月18日17:30,2.6%,2.7%
2012年11月13日17:30,2.6%,2.2%
2012年10月16日16:30,2.1%,2.1%
2012年9月18日16:30,2.1%,2.2%
2012年8月14日16:30,2.3%,2.1%
2012年7月17日16:30,2.1%,2.3%
2012年6月19日16:30,2.2%,2.3%
2012年5月22日16:30,2.1%,2.2%
2012年4月17日16:30,2.5%,2.4%
2012年3月20日17:30,2.4%,2.4%
2012年2月14日17:30,2.6%,2.7%
2012年1月17日17:30,3.0%,3.0%
2011年12月13日17:30,3.2%,3.3%
2011年11月15日17:30,3.4%,3.3%
2011年10月18日16:30,3.3%,3.2%
2011年9月13日16:30,3.1%,3.0%
2011年8月16日16:30,3.1%,3.1%
2011年7月12日16:30,2.8%,3.4%
2011年6月14日16:30,3.3%,3.5%
2011年5月17日16:30,3.7%,3.4%
2011年4月12日16:30,3.2%,3.4%
2011年3月22日17:30,3.4%,3.2%
2011年2月15日17:30,3.0%,3.0%
2011年1月18日17:30,2.9%,2.6%
2010年12月14日17:30,2.7%,2.7%
2010年11月16日17:30,2.7%,2.6%
2010年10月12日16:30,2.7%,2.6%
2010年9月14日16:30,2.8%,2.6%
2010年8月17日16:30,2.6%,3.0%
2010年7月13日16:30,3.1%,2.7%
2010年6月15日16:30,2.9%,3.0%
2010年5月18日16:30,3.1%,2.9%
2010年4月20日16:30,3.0%,2.8%
2010年3月23日17:30,2.9%,3.0%
2010年2月16日17:30,3.1%,3.2%
2010年1月19日17:30,2.8%,2.3%
2009年12月15日17:30,1.9%,1.8%
2009年11月17日17:30,1.8%,1.7%
2009年10月13日16:30,1.7%,1.7%
2009年9月15日16:30,1.8%,1.6%
2009年8月18日16:30,1.8%,1.5%
2009年7月14日16:30,1.6%,1.6%
2009年6月16日16:30,1.6%,1.5%
2009年5月19日16:30,1.5%,1.7%
2009年4月21日16:30,1.7%,1.5%
2009年3月24日17:30,1.6%,1.3%
2009年2月17日17:30,1.3%,1.0%
2009年1月20日17:30,1.1%,1.4%
2008年12月16日17:30,2.0%,1.8%
2008年11月18日17:30,1.9%,2.2%
2008年10月14日16:30,2.2%,2.1%
2008年9月16日16:30,2.0%,1.9%
2008年8月14日17:00,1.7%,1.8%
2008年8月12日16:30,1.9%,1.7%
2008年7月15日16:30,1.6%,1.5%
2008年6月17日16:30,1.5%,1.5%
2008年5月21日20:00,0.3%,0.2%
2008年5月13日17:30,1.4%,1.3%
2008年4月15日16:30,1.2%,1.3%
2008年3月18日17:30,1.2%,1.4%
2008年2月12日17:30,1.3%,1.5%
