时间,今值,预测值
2017年9月20日 (八月)16:30, ,1.1%
2017年9月14日 (八月)16:30, , 
2017年8月17日 (七月)16:30,1.3%,1.4%
2017年7月20日 (六月)16:30,2.9%,2.5%
2017年6月15日 (五月)16:30,0.9%,1.7%
2017年5月18日 (四月)16:30,4.0%,2.1%
2017年4月21日 (三月)16:30,1.7%,3.4%
2017年3月23日 (二月)17:30,3.7%,2.6%
2017年2月17日 (一月)17:30,1.5%,3.4%
2017年1月20日 (十二月)17:30,4.3%,7.2%
2016年12月15日 (十一月)17:30,5.9%,5.9%
2016年11月17日 (十月)17:30,7.4%,5.3%
2016年10月20日 (九月)16:30,4.1%,4.8%
2016年9月15日 (八月)16:30,6.2%,5.4%
2016年8月18日 (七月)16:30,5.9%,4.2%
2016年7月21日 (六月)16:30,4.3%,5.0%
2016年6月16日 (五月)16:30,6.0%,3.9%
2016年5月19日 (四月)16:30,4.3%,2.5%
2016年4月21日 (三月)16:30,2.7%,4.4%
2016年3月24日 (二月)17:30,3.8%,3.8%
2016年2月19日 (一月)17:30,5.2%,3.6%
2016年1月22日 (十二月)17:30,2.6%,4.3%
2015年12月17日 (十一月)17:30,5.0%,3.0%
2015年11月19日 (十月)17:30,3.8%,4.2%
2015年10月22日 (九月)16:30,6.5%,4.8%
2015年9月17日 (八月)16:30,3.7%,3.8%
2015年8月20日 (七月)16:30,4.2%,4.4%
2015年7月23日 (六月)16:30,4.0%,4.9%
2015年6月18日 (五月)16:30,4.6%,4.8%
2015年5月21日 (四月)16:30,4.7%,3.8%
2015年4月23日 (三月)16:30,4.2%,5.4%
2015年3月26日 (二月)17:30,5.7%,4.7%
2015年2月20日 (一月)17:30,5.4%,5.9%
2015年1月23日 (十二月)17:30,4.3%,3.0%
2014年12月18日 (十一月)17:30,6.4%,4.2%
2014年11月20日 (十月)17:30,4.3%,3.8%
2014年10月23日 (九月)16:30,2.7%,2.8%
2014年9月18日 (八月)16:30,3.9%,4.1%
2014年8月21日16:30,2.6%,3.0%
2014年7月24日16:30,3.6%,3.9%
2014年6月19日16:30,3.9%,4.3%
2014年5月21日16:30,6.9%,5.2%
2014年4月25日16:30,4.2%,3.8%
2014年3月27日17:30,3.7%,2.5%
2014年2月21日17:30,4.3%,5.0%
2014年1月17日17:30,5.3%,2.6%
2013年12月19日17:30,2.0%,2.3%
2013年11月14日17:30,1.8%,3.1%
2013年10月17日16:30,2.2%,2.1%
2013年9月19日16:30,2.1%,3.3%
2013年8月15日16:30,3.0%,2.5%
2013年7月18日16:30,2.2%,1.7%
2013年6月20日16:30,1.9%,0.2%
2013年5月22日16:30,0.5%,2.0%
2013年4月18日16:30,-0.5%,-0.6%
2013年3月21日17:30,2.6%,0.5%
2013年2月15日17:30,-0.6%,0.8%
2013年1月18日17:30,0.3%,1.1%
2012年12月20日17:30,0.9%,1.5%
2012年11月15日17:30,0.6%,1.7%
2012年10月18日16:30,2.5%,2.1%
2012年9月20日16:30,2.7%,2.7%
2012年8月16日16:30,2.8%,1.4%
2012年7月19日16:30,1.6%,2.4%
2012年6月21日16:30,2.4%,2.0%
2012年5月23日16:30,-1.1%,1.0%
2012年4月20日16:30,3.3%,1.4%
2012年3月1日 (二月)17:00,1.00%, 
2012年2月1日 (一月)17:00,2.00%, 
2012年1月1日 (十二月)17:00,2.60%, 
2011年12月1日 (十一月)17:00,0.70%, 
2011年11月1日 (十月)17:00,0.90%, 
2011年10月1日 (九月)17:00,0.60%, 
2011年9月1日 (八月)17:00,0.00%, 
2011年8月1日 (七月)17:00,0.00%, 
2011年7月1日 (六月)17:00,0.40%, 
2011年6月1日 (五月)17:00,0.20%, 
2011年5月1日 (四月)17:00,2.80%, 
2011年4月1日 (三月)17:00,1.30%, 
2011年3月1日 (二月)17:00,1.30%, 
2011年2月1日 (一月)17:00,5.30%, 
2011年1月1日 (十二月)17:00,1.00%, 
2010年12月1日 (十一月)17:00,1.10%, 
2010年11月1日 (十月)17:00,-0.10%, 
2010年10月1日 (九月)17:00,0.50%, 
2010年9月1日 (八月)17:00,0.40%, 
2010年8月1日 (七月)17:00,1.30%, 
2010年7月1日 (六月)17:00,1.30%, 
2010年6月1日 (五月)17:00,2.20%, 
2010年5月1日 (四月)17:00,1.80%, 
2010年4月1日 (三月)17:00,2.20%, 
2010年3月1日 (二月)17:00,3.50%, 
2010年2月1日 (一月)17:00,0.90%, 
2010年1月1日 (十二月)17:00,2.10%, 
