时间,今值,预测值
2017年9月20日 (八月)16:30, ,0.2%
2017年9月14日 (八月)16:30, , 
2017年8月17日 (七月)16:30,0.3%,0.2%
2017年7月20日 (六月)16:30,0.6%,0.4%
2017年6月15日 (五月)16:30,-1.2%,-0.8%
2017年5月18日 (四月)16:30,2.3%,1.0%
2017年4月21日 (三月)16:30,-1.8%,-0.2%
2017年3月23日 (二月)17:30,1.4%,0.4%
2017年2月17日 (一月)17:30,-0.3%,0.9%
2017年1月20日 (十二月)17:30,-1.9%,-0.1%
2016年12月15日 (十一月)17:30,0.2%,0.2%
2016年11月17日 (十月)17:30,1.9%,0.4%
2016年10月20日 (九月)16:30,0.0%,0.4%
2016年9月15日 (八月)16:30,-0.2%,-0.4%
2016年8月18日 (七月)16:30,1.4%,0.2%
2016年7月21日 (六月)16:30,-0.9%,-0.6%
2016年6月16日 (五月)16:30,0.9%,0.2%
2016年5月19日 (四月)16:30,1.3%,0.5%
2016年4月21日 (三月)16:30,-1.3%,-0.1%
2016年3月24日 (二月)17:30,-0.4%,-0.7%
2016年2月19日 (一月)17:30,2.3%,0.8%
2016年1月22日 (十二月)17:30,-1.0%,-0.3%
2015年12月17日 (十一月)17:30,1.7%,0.5%
2015年11月19日 (十月)17:30,-0.6%,-0.5%
2015年10月22日 (九月)16:30,1.9%,0.3%
2015年9月17日 (八月)16:30,0.2%,0.2%
2015年8月20日 (七月)16:30,0.1%,0.4%
2015年7月23日 (六月)16:30,-0.2%,0.3%
2015年6月18日 (五月)16:30,0.2%,0.2%
2015年5月21日 (四月)16:30,1.2%,0.4%
2015年4月23日 (三月)16:30,-0.5%,0.4%
2015年3月26日 (二月)17:30,0.7%,0.4%
2015年2月20日 (一月)17:30,-0.3%,-0.2%
2015年1月23日 (十二月)17:30,0.4%,-0.6%
2014年12月18日 (十一月)17:30,1.6%,0.3%
2014年11月20日 (十月)17:30,0.8%,0.4%
2014年10月23日 (九月)16:30,-0.3%,-0.1%
2014年9月18日 (八月)16:30,0.4%,0.4%
2014年8月21日16:30,0.1%,0.4%
2014年7月24日16:30,0.1%,0.3%
2014年6月19日16:30,-0.5%,-0.5%
2014年5月21日16:30,1.3%,0.5%
2014年4月25日16:30,0.1%,-0.4%
2014年3月27日17:30,1.7%,0.5%
2014年2月21日17:30,-1.5%,-1.0%
2014年1月17日17:30,2.6%,0.4%
2013年12月19日17:30,0.3%,0.3%
2013年11月14日17:30,-0.7%,0.1%
2013年10月17日16:30,0.6%,0.4%
2013年9月19日16:30,-0.9%,0.4%
2013年8月15日16:30,1.1%,0.6%
2013年7月18日16:30,0.2%,0.2%
2013年6月20日16:30,2.1%,0.8%
2013年5月22日16:30,-1.3%,0.0%
2013年4月18日16:30,-0.7%,-0.8%
2013年3月21日17:30,2.1%,0.5%
2013年2月15日17:30,-0.6%,0.4%
2013年1月18日17:30,-0.1%,0.2%
2012年12月20日17:30,0.0%,0.3%
2012年11月15日17:30,-0.8%,-0.1%
2012年10月18日16:30,0.6%,0.4%
2012年9月20日16:30,-0.2%,-0.4%
2012年8月16日16:30,0.3%,-0.1%
2012年7月19日16:30,0.1%,0.6%
2012年6月21日16:30,1.4%,1.2%
2012年5月23日16:30,-2.3%,-0.8%
2012年4月20日16:30,1.8%,0.5%
2012年3月22日17:30,-0.8%,-0.5%
2012年2月17日17:30,0.9%,-0.2%
2012年1月20日17:30,0.6%,0.6%
2011年12月15日17:30,-0.4%,-0.2%
2011年11月17日17:30,0.6%,-0.2%
2011年10月20日16:30,0.6%,0.1%
2011年9月15日16:30,-0.2%,-0.2%
2011年8月18日16:30,0.2%,0.3%
2011年7月21日16:30,0.7%,0.6%
2011年6月16日16:30,-1.4%,-0.5%
2011年5月19日16:30,1.1%,1.0%
2011年4月21日16:30,0.2%,-0.5%
2011年3月24日17:30,-0.8%,-0.4%
2011年2月18日17:30,1.9%,0.5%
2011年1月21日17:30,-0.8%,-0.1%
2010年12月16日17:30,0.3%,0.5%
2010年11月18日17:30,0.5%,0.2%
2010年10月21日16:30,-0.2%,0.4%
2010年9月16日16:30,-0.5%,0.3%
2010年8月19日16:30,1.1%,0.4%
2010年7月22日16:30,0.7%,0.5%
2010年6月17日16:30,0.6%,0.1%
2010年5月20日16:30,0.3%,0.3%
2010年4月22日16:30,0.4%,0.7%
2010年3月25日17:30,2.1%,0.6%
2010年2月19日17:30,-1.8%,-0.5%
2010年1月22日17:30,0.3%,1.3%
2009年12月17日17:30,-0.3%,0.5%
2009年11月19日17:30,0.4%,0.6%
2009年10月22日16:30,0.0%,0.5%
2009年9月17日16:30,0.0%,0.3%
2009年8月20日16:30,0.4%,0.4%
2009年7月23日16:30,1.2%,0.4%
2009年6月18日16:30,-0.6%,0.3%
2009年5月21日16:30,0.9%,0.5%
2009年4月24日16:30,0.3%,-0.3%
2009年3月26日17:30,-1.9%,-0.3%
2009年2月20日17:30,0.7%,0.0%
2009年1月23日17:30,1.6%,-0.7%
2008年12月18日17:30,0.3%,-0.6%
2008年11月20日17:30,-0.1%,-0.9%
2008年10月23日16:30,-0.4%,-0.8%
2008年9月18日16:30,1.2%,-0.4%
2008年8月21日16:30,0.8%,-0.3%
2008年7月24日16:30,-3.9%,-2.5%
2008年6月19日16:30,3.5%,-0.1%
2008年5月22日17:30,-0.2%,-0.5%
2008年4月24日16:30,-0.4%,-0.2%
2008年3月20日17:30,1.0%,-0.1%
2008年2月21日17:30,0.8%,0.3%
2008年1月1日 (十二月)17:00,-0.40%, 
2007年12月1日 (十一月)17:00,0.50%, 
2007年11月1日 (十月)17:00,-1.00%, 
2007年10月1日 (九月)17:00,0.20%, 
2007年9月1日 (八月)17:00,0.30%, 
2007年8月1日 (七月)17:00,0.50%, 
2007年7月1日 (六月)17:00,0.10%, 
2007年6月1日 (五月)17:00,-0.50%, 
2007年5月1日 (四月)17:00,0.40%, 
2007年4月1日 (三月)17:00,1.00%, 
2007年3月1日 (二月)17:00,1.00%, 
2007年2月1日 (一月)17:00,-0.30%, 
2007年1月1日 (十二月)17:00,0.20%, 
2006年12月1日 (十一月)17:00,0.20%, 
2006年11月1日 (十月)17:00,0.80%, 
2006年10月1日 (九月)17:00,-0.40%, 
2006年9月1日 (八月)17:00,-0.10%, 
2006年8月1日 (七月)17:00,0.20%, 
2006年7月1日 (六月)17:00,0.20%, 
2006年6月1日 (五月)17:00,0.70%, 
2006年5月1日 (四月)17:00,0.10%, 
2006年4月1日 (三月)17:00,0.90%, 
2006年3月1日 (二月)17:00,-0.20%, 
2006年2月1日 (一月)17:00,1.10%, 
2006年1月1日 (十二月)17:00,-0.30%, 
2005年12月1日 (十一月)17:00,0.90%, 
2005年11月1日 (十月)17:00,0.20%, 
