时间,今值,预测值
2017年9月7日 (七月)09:30,-2%, 
2017年8月3日 (六月)09:30,-1%, 
2017年7月6日 (五月)09:30,9%, 
2017年6月8日 (四月)09:30,-8%, 
2017年5月4日 (三月)09:30,2%, 
2017年4月4日 (二月)09:30,1%, 
2017年3月2日 (一月)08:30,-3%, 
2017年2月2日 (十二月)08:30,5%, 
2017年1月6日 (十一月)08:30,8%, 
2016年12月8日 (十月)08:30,1%, 
2016年11月3日 (九月)08:30,2%, 
2016年10月6日 (八月)08:30,0%, 
2016年9月8日 (七月)09:30,3%, 
2016年8月2日 (六月)09:30,-1%, 
2016年7月5日 (五月)09:30,1%, 
2016年6月2日 (四月)09:30,1%, 
2016年5月5日 (三月)09:30,4%, 
2016年4月5日 (二月)09:30,-1%, 
2016年3月3日 (一月)08:30,1%, 
2016年2月3日 (十二月)08:30,-5%, 
2016年1月7日 (十一月)08:30,1%, 
2015年12月3日 (十月)08:30,-3%, 
2015年11月4日 (九月)08:30,3%, 
2015年10月6日 (八月)08:30,0%, 
2015年9月3日 (七月)09:30,2%, 
2015年8月4日 (六月)09:30,3%, 
2015年7月2日 (五月)09:30,1%, 
2015年6月4日 (四月)09:30,-6%, 
2015年5月5日 (三月)09:30,-2%, 
2015年4月2日 (二月)08:30,1%, 
2015年3月5日 (一月)08:30,1%, 
2015年2月3日 (十二月)08:30,1%, 
2015年1月6日 (十一月)08:30,1%, 
2014年12月4日 (十月)08:30,2%, 
2014年11月4日 (九月)08:30,1%, 
2014年10月2日 (八月)09:30,-2%, 
2014年9月4日09:30,1%, 
2014年8月5日09:30,0%, 
2014年7月2日09:30,-5%, 
2014年6月5日09:30,-1%, 
2014年5月6日09:30,-2%, 
2014年4月3日08:30,0%, 
2014年3月6日08:30,4%, 
2014年2月6日08:30,4%, 
2014年1月7日08:30,0%, 
